 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+08 eV = 3.67493E+06 a.u.
 #
 # Z =   1
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.00000E-45  3.57106E-29  3.15971E+14   1.0E+00
  1.000E-04  7.61557E-13  8.84776E-07  3.15959E+10  3.15971E+10   1.0E+00
  1.250E-04  1.18994E-12  3.62402E-07  1.29416E+10  1.29422E+10   1.0E+00
  1.500E-04  1.71346E-12  1.74779E-07  6.24148E+09  6.24140E+09   1.0E+00
  1.750E-04  2.33225E-12  9.43388E-08  3.36890E+09  3.36895E+09   1.0E+00
  2.000E-04  3.04617E-12  5.53005E-08  1.97482E+09  1.97482E+09   1.0E+00
  2.250E-04  3.85530E-12  3.45240E-08  1.23288E+09  1.23287E+09   1.0E+00
  2.500E-04  4.75964E-12  2.26512E-08  8.08889E+08  8.08886E+08   1.0E+00
  2.750E-04  5.75917E-12  1.54710E-08  5.52480E+08  5.52480E+08   1.0E+00
  3.000E-04  6.85391E-12  1.09235E-08  3.90086E+08  3.90088E+08   1.0E+00
  3.250E-04  8.04379E-12  7.93081E-09  2.83214E+08  2.83213E+08   1.0E+00
  3.500E-04  9.32893E-12  5.89625E-09  2.10559E+08  2.10560E+08   1.0E+00
  3.750E-04  1.07092E-11  4.47429E-09  1.59780E+08  1.59780E+08   1.0E+00
  4.000E-04  1.21847E-11  3.45628E-09  1.23426E+08  1.23426E+08   1.0E+00
  4.250E-04  1.37554E-11  2.71202E-09  9.68481E+07  9.68482E+07   1.0E+00
  4.500E-04  1.54213E-11  2.15774E-09  7.70542E+07  7.70543E+07   1.0E+00
  4.750E-04  1.71823E-11  1.73810E-09  6.20688E+07  6.20687E+07   1.0E+00
  5.000E-04  1.90386E-11  1.41569E-09  5.05553E+07  5.05553E+07   1.0E+00
  5.250E-04  2.09900E-11  1.16470E-09  4.15920E+07  4.15920E+07   1.0E+00
  5.500E-04  2.30367E-11  9.66939E-10  3.45300E+07  3.45300E+07   1.0E+00
  5.750E-04  2.51785E-11  8.09428E-10  2.89052E+07  2.89052E+07   1.0E+00
  6.000E-04  2.74156E-11  6.82723E-10  2.43805E+07  2.43805E+07   1.0E+00
  6.250E-04  2.97478E-11  5.79868E-10  2.07074E+07  2.07075E+07   1.0E+00
  6.500E-04  3.21752E-11  4.95674E-10  1.77008E+07  1.77008E+07   1.0E+00
  6.750E-04  3.46979E-11  4.26220E-10  1.52206E+07  1.52206E+07   1.0E+00
  7.000E-04  3.73157E-11  3.68516E-10  1.31600E+07  1.31600E+07   1.0E+00
  7.250E-04  4.00286E-11  3.20256E-10  1.14365E+07  1.14366E+07   1.0E+00
  7.500E-04  4.28368E-11  2.79643E-10  9.98623E+06  9.98624E+06   1.0E+00
  7.750E-04  4.57402E-11  2.45269E-10  8.75872E+06  8.75871E+06   1.0E+00
  8.000E-04  4.87388E-11  2.16018E-10  7.71413E+06  7.71413E+06   1.0E+00
  8.250E-04  5.18325E-11  1.91000E-10  6.82074E+06  6.82074E+06   1.0E+00
  8.500E-04  5.50215E-11  1.69501E-10  6.05301E+06  6.05301E+06   1.0E+00
  8.750E-04  5.83057E-11  1.50944E-10  5.39032E+06  5.39033E+06   1.0E+00
  9.000E-04  6.16850E-11  1.34859E-10  4.81589E+06  4.81590E+06   1.0E+00
  9.250E-04  6.51595E-11  1.20860E-10  4.31599E+06  4.31599E+06   1.0E+00
  9.500E-04  6.87293E-11  1.08631E-10  3.87930E+06  3.87929E+06   1.0E+00
  9.750E-04  7.23943E-11  9.79108E-11  3.49646E+06  3.49646E+06   1.0E+00
  1.000E-03  7.61544E-11  8.84809E-11  3.15971E+06  3.15971E+06   1.0E+00
  1.250E-03  1.18991E-10  3.62418E-11  1.29422E+06  1.29422E+06   1.0E+00
  1.500E-03  1.71347E-10  1.74777E-11  6.24140E+05  6.24140E+05   1.0E+00
  1.750E-03  2.33223E-10  9.43403E-12  3.36895E+05  3.36895E+05   1.0E+00
  2.000E-03  3.04617E-10  5.53006E-12  1.97482E+05  1.97482E+05   1.0E+00
  2.250E-03  3.85531E-10  3.45239E-12  1.23287E+05  1.23287E+05   1.0E+00
  2.500E-03  4.75965E-10  2.26511E-12  8.08886E+04  8.08886E+04   1.0E+00
  2.750E-03  5.75917E-10  1.54710E-12  5.52480E+04  5.52480E+04   1.0E+00
  3.000E-03  6.85389E-10  1.09236E-12  3.90088E+04  3.90088E+04   1.0E+00
  3.250E-03  8.04380E-10  7.93079E-13  2.83213E+04  2.83213E+04   1.0E+00
  3.500E-03  9.32891E-10  5.89627E-13  2.10560E+04  2.10560E+04   1.0E+00
