 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+07 eV = 3.30744E+06 a.u.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Electron density: Read from file ./database/z_001.den                                                                                                    
 #                   Number of data points =  751
 #                   Volume integral = 1.00000E+00
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Integrated cross sections:
 # Total elastic cross section = 1.08497E-20 cm**2 = 3.87448E-04 a0**2
 # 1st transport cross section = 2.98108E-28 cm**2 = 1.06456E-11 a0**2
 # 2nd transport cross section = 8.78099E-28 cm**2 = 3.13575E-11 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.78483E-13  3.13712E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  8.77301E-13  3.13290E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  8.76637E-13  3.13053E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  8.75827E-13  3.12764E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  8.74871E-13  3.12422E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  8.73770E-13  3.12029E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  8.72523E-13  3.11584E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  8.71133E-13  3.11087E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  8.69602E-13  3.10541E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  8.67927E-13  3.09942E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  8.66112E-13  3.09294E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  8.64160E-13  3.08597E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  8.62067E-13  3.07850E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  8.59840E-13  3.07054E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  8.57477E-13  3.06211E+04  0.00000E+00  1.0E-05
