 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   1,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+01  5.03769E-16  4.01128E-16  4.68153E-16  0.00000E+00  1.0E-07
   1.50000E+01  3.14892E-16  2.17790E-16  2.78960E-16  0.00000E+00  1.0E-07
   2.00000E+01  2.22801E-16  1.37479E-16  1.88348E-16  0.00000E+00  1.0E-07
   2.50000E+01  1.69839E-16  9.52016E-17  1.37275E-16  0.00000E+00  1.0E-07
   3.00000E+01  1.36018E-16  7.01543E-17  1.05343E-16  0.00000E+00  1.0E-07
   3.50000E+01  1.12801E-16  5.40473E-17  8.38899E-17  0.00000E+00  1.0E-07
   4.00000E+01  9.59981E-17  4.30482E-17  6.86954E-17  0.00000E+00  1.0E-07
   4.50000E+01  8.33387E-17  3.51847E-17  5.74903E-17  0.00000E+00  1.0E-07
   5.00000E+01  7.34943E-17  2.93562E-17  4.89594E-17  0.00000E+00  1.0E-07
   5.50000E+01  6.56413E-17  2.49084E-17  4.22946E-17  0.00000E+00  1.1E-07
   6.00000E+01  5.92443E-17  2.14317E-17  3.69755E-17  0.00000E+00  1.1E-07
   6.50000E+01  5.39414E-17  1.86588E-17  3.26536E-17  0.00000E+00  1.1E-07
   7.00000E+01  4.94796E-17  1.64091E-17  2.90881E-17  0.00000E+00  1.0E-07
   7.50000E+01  4.56774E-17  1.45569E-17  2.61075E-17  0.00000E+00  1.0E-07
   8.00000E+01  4.24013E-17  1.30123E-17  2.35873E-17  0.00000E+00  1.9E-07
   8.50000E+01  3.95512E-17  1.17098E-17  2.14348E-17  0.00000E+00  1.7E-07
   9.00000E+01  3.70505E-17  1.06004E-17  1.95799E-17  0.00000E+00  1.5E-07
   9.50000E+01  3.48397E-17  9.64717E-18  1.79687E-17  0.00000E+00  2.6E-07
   1.00000E+02  3.28719E-17  8.82161E-18  1.65591E-17  0.00000E+00  2.2E-07
   2.00000E+02  1.52911E-17  2.61806E-18  5.38029E-18  0.00000E+00  5.4E-07
   3.00000E+02  9.91865E-18  1.28005E-18  2.74324E-18  0.00000E+00  1.0E-06
   4.00000E+02  7.33289E-18  7.68660E-19  1.69003E-18  0.00000E+00  1.4E-06
   5.00000E+02  5.81496E-18  5.16804E-19  1.15669E-18  0.00000E+00  1.9E-06
   6.00000E+02  4.81733E-18  3.73300E-19  8.46735E-19  0.00000E+00  2.1E-06
   7.00000E+02  4.11186E-18  2.83356E-19  6.49519E-19  0.00000E+00  2.5E-06
   8.00000E+02  3.58671E-18  2.23054E-19  5.15703E-19  0.00000E+00  3.5E-06
   9.00000E+02  3.18062E-18  1.80544E-19  4.20434E-19  0.00000E+00  3.4E-06
   1.00000E+03  2.85724E-18  1.49386E-19  3.50026E-19  0.00000E+00  4.0E-06
   2.00000E+03  1.41875E-18  4.26719E-20  1.03526E-19  0.00000E+00  7.3E-06
   3.00000E+03  9.45413E-19  2.04009E-20  5.03251E-20  0.00000E+00  1.2E-05
   4.00000E+03  7.09916E-19  1.20619E-20  3.00687E-20  0.00000E+00  2.3E-05
   5.00000E+03  5.68997E-19  8.01622E-21  2.01344E-20  0.00000E+00  2.4E-05
   6.00000E+03  4.75209E-19  5.73798E-21  1.44960E-20  0.00000E+00  3.3E-05
   7.00000E+03  4.08296E-19  4.32366E-21  1.09742E-20  0.00000E+00  3.9E-05
   8.00000E+03  3.58155E-19  3.38302E-21  8.62030E-21  0.00000E+00  4.1E-05
   9.00000E+03  3.19182E-19  2.72443E-21  6.96537E-21  0.00000E+00  5.8E-05
   1.00000E+04  2.88020E-19  2.24458E-21  5.75532E-21  0.00000E+00  1.7E-07
   2.00000E+04  1.47986E-19  6.27620E-22  1.63817E-21  0.00000E+00  1.3E-07
   3.00000E+04  1.00679E-19  2.94969E-22  7.76273E-22  0.00000E+00  3.7E-04
   4.00000E+04  7.75693E-20  1.74677E-22  4.62875E-22  0.00000E+00  4.8E-04
   5.00000E+04  6.37288E-20  1.16632E-22  3.10708E-22  0.00000E+00  5.9E-04
   6.00000E+04  5.45120E-20  8.40116E-23  2.24786E-22  0.00000E+00  7.0E-04
   7.00000E+04  4.79290E-20  6.37665E-23  1.71254E-22  0.00000E+00  8.0E-04
   8.00000E+04  4.30047E-20  5.02905E-23  1.35502E-22  0.00000E+00  9.0E-04
   9.00000E+04  3.91731E-20  4.08379E-23  1.10352E-22  0.00000E+00  9.9E-04
   1.00000E+05  3.61150E-20  3.39352E-23  9.19389E-23  0.00000E+00  7.9E-04
   2.00000E+05  2.24519E-20  1.03450E-23  2.85190E-23  0.00000E+00  7.1E-04
   3.00000E+05  1.80005E-20  5.31110E-24  1.47871E-23  0.00000E+00  9.3E-04
   4.00000E+05  1.58345E-20  3.35147E-24  9.39232E-24  0.00000E+00  9.0E-04
   5.00000E+05  1.45735E-20  2.35943E-24  6.64305E-24  0.00000E+00  9.8E-04
   6.00000E+05  1.37591E-20  1.77657E-24  5.01947E-24  0.00000E+00  8.5E-04
   7.00000E+05  1.31960E-20  1.39967E-24  3.96529E-24  0.00000E+00  9.1E-04
   8.00000E+05  1.27880E-20  1.13911E-24  3.23413E-24  0.00000E+00  9.6E-04
   9.00000E+05  1.24765E-20  9.49946E-25  2.70185E-24  0.00000E+00  1.0E-03
   1.00000E+06  1.22552E-20  8.07500E-25  2.30012E-24  0.00000E+00  8.1E-04
   2.00000E+06  1.13005E-20  2.72497E-25  7.82121E-25  0.00000E+00  9.7E-04
   3.00000E+06  1.10726E-20  1.41068E-25  4.06193E-25  0.00000E+00  7.8E-04
   4.00000E+06  1.09837E-20  8.73031E-26  2.51864E-25  0.00000E+00  8.1E-04
   5.00000E+06  1.09402E-20  5.97431E-26  1.72587E-25  0.00000E+00  8.3E-04
   6.00000E+06  1.09196E-20  4.36351E-26  1.26185E-25  0.00000E+00  8.5E-04
   7.00000E+06  1.09015E-20  3.33526E-26  9.65294E-26  0.00000E+00  8.5E-04
   8.00000E+06  1.08892E-20  2.63728E-26  7.63812E-26  0.00000E+00  8.6E-04
   9.00000E+06  1.08808E-20  2.14080E-26  6.20391E-26  0.00000E+00  8.7E-04
   1.00000E+07  1.08722E-20  1.77448E-26  5.14502E-26  0.00000E+00  8.7E-04
   2.00000E+07  1.08399E-20  5.04984E-27  1.46913E-26  0.00000E+00  1.0E-03
   3.00000E+07  1.08377E-20  2.38586E-27  6.95633E-27  0.00000E+00  1.5E-03
   4.00000E+07  1.08441E-20  1.39370E-27  4.07119E-27  0.00000E+00  2.0E-03
   5.00000E+07  1.08467E-20  9.15491E-28  2.67900E-27  0.00000E+00  2.5E-03
   6.00000E+07  1.08529E-20  6.48069E-28  1.89971E-27  0.00000E+00  3.0E-03
   7.00000E+07  1.08533E-20  4.83051E-28  1.41835E-27  0.00000E+00  3.5E-03
   8.00000E+07  1.08510E-20  3.73990E-28  1.09990E-27  0.00000E+00  4.0E-03
   9.00000E+07  1.08497E-20  2.98108E-28  8.78099E-28  0.00000E+00  4.5E-03
   1.00000E+08  1.08478E-20  2.43168E-28  7.17323E-28  0.00000E+00  5.0E-03
