 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+07 eV = 3.67493E+05 a.u.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Electron density: Read from file ./database/z_001.den                                                                                                    
 #                   Number of data points =  751
 #                   Volume integral = 1.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 1.09428E-20 cm**2 = 3.90773E-04 a0**2
 # 1st transport cross section = 1.78510E-26 cm**2 = 6.37472E-10 a0**2
 # 2nd transport cross section = 5.17689E-26 cm**2 = 1.84870E-09 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.18470E-14  4.23064E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.18468E-14  4.23057E+02  0.00000E+00  1.0E-07
  1.250E-04  1.18994E-12  1.18467E-14  4.23052E+02  0.00000E+00  1.0E-07
  1.500E-04  1.71346E-12  1.18465E-14  4.23047E+02  0.00000E+00  1.0E-07
  1.750E-04  2.33225E-12  1.18463E-14  4.23041E+02  0.00000E+00  1.0E-07
  2.000E-04  3.04617E-12  1.18461E-14  4.23034E+02  0.00000E+00  1.0E-07
  2.250E-04  3.85530E-12  1.18459E-14  4.23025E+02  0.00000E+00  1.0E-07
  2.500E-04  4.75964E-12  1.18457E-14  4.23016E+02  0.00000E+00  1.0E-07
  2.750E-04  5.75917E-12  1.18454E-14  4.23006E+02  0.00000E+00  1.0E-07
  3.000E-04  6.85391E-12  1.18451E-14  4.22995E+02  0.00000E+00  1.0E-07
  3.250E-04  8.04379E-12  1.18447E-14  4.22983E+02  0.00000E+00  1.0E-07
  3.500E-04  9.32893E-12  1.18444E-14  4.22970E+02  0.00000E+00  1.0E-07
  3.750E-04  1.07092E-11  1.18440E-14  4.22957E+02  0.00000E+00  1.0E-07
  4.000E-04  1.21847E-11  1.18436E-14  4.22942E+02  0.00000E+00  1.0E-07
  4.250E-04  1.37554E-11  1.18431E-14  4.22926E+02  0.00000E+00  1.0E-07
  4.500E-04  1.54213E-11  1.18427E-14  4.22909E+02  0.00000E+00  1.0E-07
  4.750E-04  1.71823E-11  1.18422E-14  4.22891E+02  0.00000E+00  1.0E-07
  5.000E-04  1.90386E-11  1.18416E-14  4.22873E+02  0.00000E+00  1.0E-07
  5.250E-04  2.09900E-11  1.18411E-14  4.22853E+02  0.00000E+00  1.0E-07
  5.500E-04  2.30367E-11  1.18405E-14  4.22833E+02  0.00000E+00  1.0E-07
  5.750E-04  2.51785E-11  1.18399E-14  4.22811E+02  0.00000E+00  1.0E-07
  6.000E-04  2.74156E-11  1.18393E-14  4.22789E+02  0.00000E+00  1.0E-07
  6.250E-04  2.97478E-11  1.18386E-14  4.22765E+02  0.00000E+00  1.0E-07
  6.500E-04  3.21752E-11  1.18379E-14  4.22741E+02  0.00000E+00  1.0E-07
