 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+07 eV = 3.67493E+05 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file ./database/z_008.den                                                                                                    
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 2.75250E-19 cm**2 = 9.82937E-03 a0**2
 # 1st transport cross section = 1.02976E-24 cm**2 = 3.67735E-08 a0**2
 # 2nd transport cross section = 2.96910E-24 cm**2 = 1.06028E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.66682E-13  5.95233E+03  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.66681E-13  5.95227E+03  0.00000E+00  1.0E-07
  1.250E-04  1.18994E-12  1.66680E-13  5.95223E+03  0.00000E+00  1.0E-07
  1.500E-04  1.71346E-12  1.66678E-13  5.95219E+03  0.00000E+00  1.0E-07
  1.750E-04  2.33225E-12  1.66677E-13  5.95214E+03  0.00000E+00  1.0E-07
  2.000E-04  3.04617E-12  1.66675E-13  5.95208E+03  0.00000E+00  1.0E-07
  2.250E-04  3.85530E-12  1.66673E-13  5.95201E+03  0.00000E+00  1.0E-07
  2.500E-04  4.75964E-12  1.66671E-13  5.95194E+03  0.00000E+00  1.0E-07
  2.750E-04  5.75917E-12  1.66669E-13  5.95185E+03  0.00000E+00  1.0E-07
  3.000E-04  6.85391E-12  1.66666E-13  5.95176E+03  0.00000E+00  1.0E-07
  3.250E-04  8.04379E-12  1.66664E-13  5.95166E+03  0.00000E+00  1.0E-07
  3.500E-04  9.32893E-12  1.66661E-13  5.95156E+03  0.00000E+00  1.0E-07
  3.750E-04  1.07092E-11  1.66657E-13  5.95144E+03  0.00000E+00  1.0E-07
  4.000E-04  1.21847E-11  1.66654E-13  5.95132E+03  0.00000E+00  1.0E-07
  4.250E-04  1.37554E-11  1.66650E-13  5.95119E+03  0.00000E+00  1.0E-07
  4.500E-04  1.54213E-11  1.66646E-13  5.95105E+03  0.00000E+00  1.0E-07
  4.750E-04  1.71823E-11  1.66642E-13  5.95090E+03  0.00000E+00  1.0E-07
  5.000E-04  1.90386E-11  1.66638E-13  5.95075E+03  0.00000E+00  1.0E-07
  5.250E-04  2.09900E-11  1.66633E-13  5.95059E+03  0.00000E+00  1.0E-07
  5.500E-04  2.30367E-11  1.66629E-13  5.95042E+03  0.00000E+00  1.0E-07
  5.750E-04  2.51785E-11  1.66624E-13  5.95024E+03  0.00000E+00  1.0E-07
  6.000E-04  2.74156E-11  1.66618E-13  5.95005E+03  0.00000E+00  1.0E-07
  6.250E-04  2.97478E-11  1.66613E-13  5.94986E+03  0.00000E+00  1.0E-07
  6.500E-04  3.21752E-11  1.66607E-13  5.94966E+03  0.00000E+00  1.0E-07
  6.750E-04  3.46979E-11  1.66602E-13  5.94945E+03  0.00000E+00  1.0E-07
  7.000E-04  3.73157E-11  1.66595E-13  5.94923E+03  0.00000E+00  1.0E-07
  7.250E-04  4.00286E-11  1.66589E-13  5.94901E+03  0.00000E+00  1.0E-07
  7.500E-04  4.28368E-11  1.66583E-13  5.94877E+03  0.00000E+00  1.0E-07
  7.750E-04  4.57402E-11  1.66576E-13  5.94853E+03  0.00000E+00  1.0E-07
  8.000E-04  4.87388E-11  1.66569E-13  5.94828E+03  0.00000E+00  1.0E-07
  8.250E-04  5.18325E-11  1.66562E-13  5.94803E+03  0.00000E+00  1.0E-07
  8.500E-04  5.50215E-11  1.66554E-13  5.94776E+03  0.00000E+00  1.0E-07
  8.750E-04  5.83057E-11  1.66547E-13  5.94749E+03  0.00000E+00  1.0E-07
  9.000E-04  6.16850E-11  1.66539E-13  5.94721E+03  0.00000E+00  1.0E-07
  9.250E-04  6.51595E-11  1.66531E-13  5.94692E+03  0.00000E+00  1.0E-07
  9.500E-04  6.87293E-11  1.66522E-13  5.94662E+03  0.00000E+00  1.0E-07
  9.750E-04  7.23943E-11  1.66514E-13  5.94632E+03  0.00000E+00  1.0E-07
  1.000E-03  7.61544E-11  1.66505E-13  5.94601E+03  0.00000E+00  1.0E-07
  1.250E-03  1.18991E-10  1.66406E-13  5.94246E+03  0.00000E+00  1.0E-07
  1.500E-03  1.71347E-10  1.66284E-13  5.93812E+03  0.00000E+00  1.0E-07
  1.750E-03  2.33223E-10  1.66141E-13  5.93300E+03  0.00000E+00  1.0E-07
  2.000E-03  3.04617E-10  1.65976E-13  5.92710E+03  0.00000E+00  1.0E-07
  2.250E-03  3.85531E-10  1.65789E-13  5.92042E+03  0.00000E+00  1.0E-07
  2.500E-03  4.75965E-10  1.65580E-13  5.91297E+03  0.00000E+00  1.0E-07
  2.750E-03  5.75917E-10  1.65350E-13  5.90475E+03  0.00000E+00  1.0E-07
