 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 2.0000000E+04 eV
 #
 # Furness-McCarthy exchange potential
 #
 # No correlation-polarization potential
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 4.6394467E-18  3.9405011E-18
 # 1st transport cs: 3.2468424E-20  3.2456468E-20
 # 2nd transport cs: 8.1346263E-20  8.1310260E-20
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  9.995378E-16  4.844342E-16  0.000000E+00
  1.000000E-04  7.615575E-13  9.995378E-16  4.844342E-16  4.103823E-11
  1.250000E-04  1.189937E-12  9.995378E-16  4.844342E-16  5.129778E-11
  1.500000E-04  1.713463E-12  9.995378E-16  4.844342E-16  6.155734E-11
  1.750000E-04  2.332246E-12  9.995378E-16  4.844342E-16  7.181690E-11
  2.000000E-04  3.046174E-12  9.995378E-16  4.844342E-16  8.207645E-11
  2.250000E-04  3.855305E-12  9.995378E-16  4.844342E-16  9.233601E-11
  2.500000E-04  4.759637E-12  9.995378E-16  4.844342E-16  1.025956E-10
  2.750000E-04  5.759171E-12  9.995378E-16  4.844342E-16  1.128551E-10
  3.000000E-04  6.853906E-12  9.995378E-16  4.844342E-16  1.231147E-10
  3.250000E-04  8.043788E-12  9.995378E-16  4.844342E-16  1.333742E-10
  3.500000E-04  9.328927E-12  9.995378E-16  4.844342E-16  1.436338E-10
  3.750000E-04  1.070921E-11  9.995378E-16  4.844342E-16  1.538934E-10
  4.000000E-04  1.218470E-11  9.995378E-16  4.844342E-16  1.641529E-10
  4.250000E-04  1.375539E-11  9.995377E-16  4.844342E-16  1.744125E-10
  4.500000E-04  1.542128E-11  9.995377E-16  4.844342E-16  1.846720E-10
  4.750000E-04  1.718231E-11  9.995377E-16  4.844342E-16  1.949316E-10
  5.000000E-04  1.903860E-11  9.995377E-16  4.844342E-16  2.051911E-10
  5.250000E-04  2.099004E-11  9.995377E-16  4.844342E-16  2.154507E-10
  5.500000E-04  2.303668E-11  9.995377E-16  4.844342E-16  2.257103E-10
  5.750000E-04  2.517853E-11  9.995377E-16  4.844342E-16  2.359698E-10
  6.000000E-04  2.741557E-11  9.995377E-16  4.844342E-16  2.462294E-10
  6.250000E-04  2.974782E-11  9.995377E-16  4.844342E-16  2.564889E-10
  6.500000E-04  3.217521E-11  9.995376E-16  4.844342E-16  2.667485E-10
  6.750000E-04  3.469786E-11  9.995376E-16  4.844342E-16  2.770080E-10
  7.000000E-04  3.731565E-11  9.995376E-16  4.844342E-16  2.872676E-10
  7.250000E-04  4.002865E-11  9.995376E-16  4.844342E-16  2.975272E-10
  7.500000E-04  4.283685E-11  9.995376E-16  4.844342E-16  3.077867E-10
  7.750000E-04  4.574019E-11  9.995376E-16  4.844342E-16  3.180463E-10
  8.000000E-04  4.873879E-11  9.995376E-16  4.844342E-16  3.283058E-10
  8.250000E-04  5.183254E-11  9.995375E-16  4.844342E-16  3.385654E-10
  8.500000E-04  5.502154E-11  9.995375E-16  4.844342E-16  3.488250E-10
  8.750000E-04  5.830569E-11  9.995375E-16  4.844341E-16  3.590845E-10
  9.000000E-04  6.168505E-11  9.995375E-16  4.844341E-16  3.693441E-10
  9.250000E-04  6.515954E-11  9.995375E-16  4.844341E-16  3.796036E-10
  9.500000E-04  6.872930E-11  9.995375E-16  4.844341E-16  3.898632E-10
  9.750000E-04  7.239426E-11  9.995374E-16  4.844341E-16  4.001228E-10
  1.000000E-03  7.615436E-11  9.995374E-16  4.844341E-16  4.103823E-10
  1.250000E-03  1.189912E-10  9.995372E-16  4.844341E-16  5.129780E-10
  1.500000E-03  1.713473E-10  9.995369E-16  4.844340E-16  6.155736E-10
  1.750000E-03  2.332227E-10  9.995366E-16  4.844339E-16  7.181693E-10
  2.000000E-03  3.046174E-10  9.995362E-16  4.844338E-16  8.207651E-10
  2.250000E-03  3.855314E-10  9.995358E-16  4.844337E-16  9.233609E-10
  2.500000E-03  4.759647E-10  9.995353E-16  4.844336E-16  1.025957E-09
  2.750000E-03  5.759173E-10  9.995348E-16  4.844334E-16  1.128553E-09
  3.000000E-03  6.853892E-10  9.995342E-16  4.844333E-16  1.231149E-09
  3.250000E-03  8.043804E-10  9.995335E-16  4.844331E-16  1.333745E-09
  3.500000E-03  9.328908E-10  9.995329E-16  4.844329E-16  1.436341E-09
  3.750000E-03  1.070921E-09  9.995321E-16  4.844327E-16  1.538937E-09
  4.000000E-03  1.218470E-09  9.995313E-16  4.844325E-16  1.641534E-09
  4.250000E-03  1.375538E-09  9.995305E-16  4.844323E-16  1.744130E-09
  4.500000E-03  1.542126E-09  9.995296E-16  4.844320E-16  1.846727E-09
  4.750000E-03  1.718233E-09  9.995287E-16  4.844318E-16  1.949323E-09
  5.000000E-03  1.903859E-09  9.995277E-16  4.844315E-16  2.051920E-09
  5.250000E-03  2.099004E-09  9.995267E-16  4.844313E-16  2.154517E-09
  5.500000E-03  2.303669E-09  9.995256E-16  4.844310E-16  2.257114E-09
  5.750000E-03  2.517853E-09  9.995244E-16  4.844307E-16  2.359712E-09
  6.000000E-03  2.741557E-09  9.995232E-16  4.844303E-16  2.462309E-09
  6.250000E-03  2.974779E-09  9.995220E-16  4.844300E-16  2.564907E-09
  6.500000E-03  3.217521E-09  9.995207E-16  4.844297E-16  2.667505E-09
  6.750000E-03  3.469783E-09  9.995194E-16  4.844293E-16  2.770102E-09
  7.000000E-03  3.731563E-09  9.995180E-16  4.844289E-16  2.872701E-09
  7.250000E-03  4.002863E-09  9.995165E-16  4.844286E-16  2.975299E-09
  7.500000E-03  4.283682E-09  9.995150E-16  4.844282E-16  3.077897E-09
  7.750000E-03  4.574021E-09  9.995135E-16  4.844278E-16  3.180496E-09
  8.000000E-03  4.873879E-09  9.995119E-16  4.844273E-16  3.283095E-09
  8.250000E-03  5.183256E-09  9.995102E-16  4.844269E-16  3.385694E-09
  8.500000E-03  5.502152E-09  9.995085E-16  4.844264E-16  3.488294E-09
  8.750000E-03  5.830568E-09  9.995068E-16  4.844260E-16  3.590893E-09
  9.000000E-03  6.168503E-09  9.995050E-16  4.844255E-16  3.693493E-09
  9.250000E-03  6.515957E-09  9.995032E-16  4.844250E-16  3.796093E-09
  9.500000E-03  6.872931E-09  9.995013E-16  4.844245E-16  3.898693E-09
  9.750000E-03  7.239423E-09  9.994993E-16  4.844240E-16  4.001294E-09
  1.000000E-02  7.615435E-09  9.994973E-16  4.844234E-16  4.103895E-09
