 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 3.5000000E+01 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 1.6661974E-15  9.6675049E-16
 # 1st transport cs: 5.6411171E-16  5.1348428E-16
 # 2nd transport cs: 6.2861984E-16  5.0475693E-16
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  2.881987E-15  9.814941E-16  0.000000E+00
  1.000000E-04  7.615575E-13  2.881987E-15  9.814941E-16 -3.341736E-10
  1.250000E-04  1.189937E-12  2.881987E-15  9.814941E-16 -4.177170E-10
  1.500000E-04  1.713463E-12  2.881987E-15  9.814941E-16 -5.012604E-10
  1.750000E-04  2.332246E-12  2.881987E-15  9.814941E-16 -5.848038E-10
  2.000000E-04  3.046174E-12  2.881987E-15  9.814941E-16 -6.683472E-10
  2.250000E-04  3.855305E-12  2.881987E-15  9.814941E-16 -7.518905E-10
  2.500000E-04  4.759637E-12  2.881987E-15  9.814941E-16 -8.354339E-10
  2.750000E-04  5.759171E-12  2.881987E-15  9.814941E-16 -9.189773E-10
  3.000000E-04  6.853906E-12  2.881987E-15  9.814941E-16 -1.002521E-09
  3.250000E-04  8.043788E-12  2.881987E-15  9.814941E-16 -1.086064E-09
  3.500000E-04  9.328927E-12  2.881987E-15  9.814941E-16 -1.169608E-09
  3.750000E-04  1.070921E-11  2.881987E-15  9.814941E-16 -1.253151E-09
  4.000000E-04  1.218470E-11  2.881987E-15  9.814941E-16 -1.336694E-09
  4.250000E-04  1.375539E-11  2.881987E-15  9.814941E-16 -1.420238E-09
  4.500000E-04  1.542128E-11  2.881987E-15  9.814941E-16 -1.503781E-09
  4.750000E-04  1.718231E-11  2.881987E-15  9.814941E-16 -1.587324E-09
  5.000000E-04  1.903860E-11  2.881987E-15  9.814941E-16 -1.670868E-09
  5.250000E-04  2.099004E-11  2.881987E-15  9.814941E-16 -1.754411E-09
  5.500000E-04  2.303668E-11  2.881987E-15  9.814941E-16 -1.837955E-09
  5.750000E-04  2.517853E-11  2.881987E-15  9.814941E-16 -1.921498E-09
  6.000000E-04  2.741557E-11  2.881987E-15  9.814941E-16 -2.005041E-09
  6.250000E-04  2.974782E-11  2.881987E-15  9.814941E-16 -2.088585E-09
  6.500000E-04  3.217521E-11  2.881987E-15  9.814941E-16 -2.172128E-09
  6.750000E-04  3.469786E-11  2.881987E-15  9.814941E-16 -2.255672E-09
  7.000000E-04  3.731565E-11  2.881987E-15  9.814941E-16 -2.339215E-09
  7.250000E-04  4.002865E-11  2.881987E-15  9.814941E-16 -2.422758E-09
  7.500000E-04  4.283685E-11  2.881987E-15  9.814941E-16 -2.506302E-09
  7.750000E-04  4.574019E-11  2.881987E-15  9.814941E-16 -2.589845E-09
  8.000000E-04  4.873879E-11  2.881987E-15  9.814941E-16 -2.673389E-09
  8.250000E-04  5.183254E-11  2.881987E-15  9.814941E-16 -2.756932E-09
  8.500000E-04  5.502154E-11  2.881987E-15  9.814941E-16 -2.840475E-09
  8.750000E-04  5.830569E-11  2.881987E-15  9.814941E-16 -2.924019E-09
  9.000000E-04  6.168505E-11  2.881987E-15  9.814941E-16 -3.007562E-09
  9.250000E-04  6.515954E-11  2.881987E-15  9.814941E-16 -3.091106E-09
  9.500000E-04  6.872930E-11  2.881987E-15  9.814941E-16 -3.174649E-09
  9.750000E-04  7.239426E-11  2.881987E-15  9.814941E-16 -3.258192E-09
  1.000000E-03  7.615436E-11  2.881987E-15  9.814941E-16 -3.341736E-09
  1.250000E-03  1.189912E-10  2.881987E-15  9.814941E-16 -4.177170E-09
  1.500000E-03  1.713473E-10  2.881987E-15  9.814940E-16 -5.012604E-09
  1.750000E-03  2.332227E-10  2.881987E-15  9.814940E-16 -5.848038E-09
  2.000000E-03  3.046174E-10  2.881987E-15  9.814940E-16 -6.683472E-09
  2.250000E-03  3.855314E-10  2.881987E-15  9.814940E-16 -7.518906E-09
  2.500000E-03  4.759647E-10  2.881987E-15  9.814940E-16 -8.354340E-09
  2.750000E-03  5.759173E-10  2.881987E-15  9.814939E-16 -9.189774E-09
  3.000000E-03  6.853892E-10  2.881987E-15  9.814939E-16 -1.002521E-08
  3.250000E-03  8.043804E-10  2.881987E-15  9.814939E-16 -1.086064E-08
  3.500000E-03  9.328908E-10  2.881986E-15  9.814938E-16 -1.169608E-08
  3.750000E-03  1.070921E-09  2.881986E-15  9.814938E-16 -1.253151E-08
  4.000000E-03  1.218470E-09  2.881986E-15  9.814937E-16 -1.336695E-08
  4.250000E-03  1.375538E-09  2.881986E-15  9.814937E-16 -1.420238E-08
  4.500000E-03  1.542126E-09  2.881986E-15  9.814936E-16 -1.503782E-08
  4.750000E-03  1.718233E-09  2.881986E-15  9.814936E-16 -1.587325E-08
  5.000000E-03  1.903859E-09  2.881986E-15  9.814935E-16 -1.670869E-08
  5.250000E-03  2.099004E-09  2.881985E-15  9.814935E-16 -1.754412E-08
  5.500000E-03  2.303669E-09  2.881985E-15  9.814934E-16 -1.837956E-08
  5.750000E-03  2.517853E-09  2.881985E-15  9.814934E-16 -1.921499E-08
  6.000000E-03  2.741557E-09  2.881985E-15  9.814933E-16 -2.005043E-08
  6.250000E-03  2.974779E-09  2.881985E-15  9.814932E-16 -2.088586E-08
  6.500000E-03  3.217521E-09  2.881984E-15  9.814931E-16 -2.172130E-08
  6.750000E-03  3.469783E-09  2.881984E-15  9.814931E-16 -2.255673E-08
  7.000000E-03  3.731563E-09  2.881984E-15  9.814930E-16 -2.339217E-08
  7.250000E-03  4.002863E-09  2.881984E-15  9.814929E-16 -2.422760E-08
  7.500000E-03  4.283682E-09  2.881983E-15  9.814928E-16 -2.506304E-08
  7.750000E-03  4.574021E-09  2.881983E-15  9.814927E-16 -2.589848E-08
  8.000000E-03  4.873879E-09  2.881983E-15  9.814927E-16 -2.673391E-08
  8.250000E-03  5.183256E-09  2.881983E-15  9.814926E-16 -2.756935E-08
  8.500000E-03  5.502152E-09  2.881982E-15  9.814925E-16 -2.840479E-08
