 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 7.0000000E+02 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 1.0217934E-16  7.7975056E-17
 # 1st transport cs: 9.3704480E-18  9.3118704E-18
 # 2nd transport cs: 1.7607464E-17  1.7442522E-17
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  1.838831E-15  7.511701E-16  0.000000E+00
  1.000000E-04  7.615575E-13  1.838831E-15  7.511701E-16  1.362855E-10
  1.250000E-04  1.189937E-12  1.838831E-15  7.511701E-16  1.703568E-10
  1.500000E-04  1.713463E-12  1.838831E-15  7.511701E-16  2.044282E-10
  1.750000E-04  2.332246E-12  1.838831E-15  7.511701E-16  2.384996E-10
  2.000000E-04  3.046174E-12  1.838831E-15  7.511701E-16  2.725709E-10
  2.250000E-04  3.855305E-12  1.838831E-15  7.511701E-16  3.066423E-10
  2.500000E-04  4.759637E-12  1.838831E-15  7.511701E-16  3.407137E-10
  2.750000E-04  5.759171E-12  1.838831E-15  7.511701E-16  3.747850E-10
  3.000000E-04  6.853906E-12  1.838831E-15  7.511701E-16  4.088564E-10
  3.250000E-04  8.043788E-12  1.838831E-15  7.511701E-16  4.429278E-10
  3.500000E-04  9.328927E-12  1.838831E-15  7.511701E-16  4.769991E-10
  3.750000E-04  1.070921E-11  1.838831E-15  7.511701E-16  5.110705E-10
  4.000000E-04  1.218470E-11  1.838831E-15  7.511701E-16  5.451419E-10
  4.250000E-04  1.375539E-11  1.838831E-15  7.511701E-16  5.792132E-10
  4.500000E-04  1.542128E-11  1.838831E-15  7.511701E-16  6.132846E-10
  4.750000E-04  1.718231E-11  1.838831E-15  7.511701E-16  6.473560E-10
  5.000000E-04  1.903860E-11  1.838831E-15  7.511701E-16  6.814273E-10
  5.250000E-04  2.099004E-11  1.838831E-15  7.511701E-16  7.154987E-10
  5.500000E-04  2.303668E-11  1.838831E-15  7.511701E-16  7.495701E-10
  5.750000E-04  2.517853E-11  1.838831E-15  7.511701E-16  7.836414E-10
  6.000000E-04  2.741557E-11  1.838831E-15  7.511701E-16  8.177128E-10
  6.250000E-04  2.974782E-11  1.838831E-15  7.511701E-16  8.517842E-10
  6.500000E-04  3.217521E-11  1.838831E-15  7.511701E-16  8.858555E-10
  6.750000E-04  3.469786E-11  1.838831E-15  7.511700E-16  9.199269E-10
  7.000000E-04  3.731565E-11  1.838831E-15  7.511700E-16  9.539983E-10
  7.250000E-04  4.002865E-11  1.838831E-15  7.511700E-16  9.880696E-10
  7.500000E-04  4.283685E-11  1.838831E-15  7.511700E-16  1.022141E-09
  7.750000E-04  4.574019E-11  1.838831E-15  7.511700E-16  1.056212E-09
  8.000000E-04  4.873879E-11  1.838831E-15  7.511700E-16  1.090284E-09
  8.250000E-04  5.183254E-11  1.838831E-15  7.511700E-16  1.124355E-09
  8.500000E-04  5.502154E-11  1.838831E-15  7.511700E-16  1.158426E-09
  8.750000E-04  5.830569E-11  1.838830E-15  7.511700E-16  1.192498E-09
  9.000000E-04  6.168505E-11  1.838830E-15  7.511700E-16  1.226569E-09
  9.250000E-04  6.515954E-11  1.838830E-15  7.511700E-16  1.260641E-09
  9.500000E-04  6.872930E-11  1.838830E-15  7.511700E-16  1.294712E-09
  9.750000E-04  7.239426E-11  1.838830E-15  7.511700E-16  1.328783E-09
  1.000000E-03  7.615436E-11  1.838830E-15  7.511699E-16  1.362855E-09
  1.250000E-03  1.189912E-10  1.838830E-15  7.511698E-16  1.703568E-09
  1.500000E-03  1.713473E-10  1.838830E-15  7.511697E-16  2.044282E-09
  1.750000E-03  2.332227E-10  1.838829E-15  7.511696E-16  2.384995E-09
  2.000000E-03  3.046174E-10  1.838829E-15  7.511694E-16  2.725708E-09
  2.250000E-03  3.855314E-10  1.838828E-15  7.511692E-16  3.066422E-09
  2.500000E-03  4.759647E-10  1.838828E-15  7.511690E-16  3.407135E-09
  2.750000E-03  5.759173E-10  1.838827E-15  7.511687E-16  3.747848E-09
  3.000000E-03  6.853892E-10  1.838826E-15  7.511685E-16  4.088561E-09
  3.250000E-03  8.043804E-10  1.838825E-15  7.511682E-16  4.429274E-09
  3.500000E-03  9.328908E-10  1.838824E-15  7.511679E-16  4.769987E-09
  3.750000E-03  1.070921E-09  1.838824E-15  7.511676E-16  5.110699E-09
  4.000000E-03  1.218470E-09  1.838822E-15  7.511672E-16  5.451411E-09
  4.250000E-03  1.375538E-09  1.838821E-15  7.511668E-16  5.792124E-09
  4.500000E-03  1.542126E-09  1.838820E-15  7.511664E-16  6.132836E-09
  4.750000E-03  1.718233E-09  1.838819E-15  7.511660E-16  6.473547E-09
  5.000000E-03  1.903859E-09  1.838818E-15  7.511655E-16  6.814259E-09
  5.250000E-03  2.099004E-09  1.838816E-15  7.511651E-16  7.154970E-09
  5.500000E-03  2.303669E-09  1.838815E-15  7.511646E-16  7.495682E-09
  5.750000E-03  2.517853E-09  1.838814E-15  7.511641E-16  7.836393E-09
  6.000000E-03  2.741557E-09  1.838812E-15  7.511635E-16  8.177103E-09
