 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 7.0000000E+06 eV
 #
 # Furness-McCarthy exchange potential
 #
 # No correlation-polarization potential
 #
 # No absorption potential
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 3.4932774E-19  2.9778515E-19
 # 1st transport cs: 1.9947991E-24  1.9938403E-24
 # 2nd transport cs: 5.7389552E-24  5.7360799E-24
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  0.000000E+00  0.000000E+00  2.000506E-13  9.721323E-14  0.000000E+00
  1.000000E-04  7.615575E-13  2.000484E-13  9.721266E-14  0.000000E+00
  1.250000E-04  1.189937E-12  2.000472E-13  9.721233E-14  0.000000E+00
  1.500000E-04  1.713463E-12  2.000457E-13  9.721194E-14  0.000000E+00
  1.750000E-04  2.332246E-12  2.000440E-13  9.721147E-14  0.000000E+00
  2.000000E-04  3.046174E-12  2.000420E-13  9.721094E-14  0.000000E+00
  2.250000E-04  3.855305E-12  2.000397E-13  9.721033E-14  0.000000E+00
  2.500000E-04  4.759637E-12  2.000371E-13  9.720965E-14  0.000000E+00
  2.750000E-04  5.759171E-12  2.000343E-13  9.720890E-14  0.000000E+00
  3.000000E-04  6.853906E-12  2.000312E-13  9.720807E-14  0.000000E+00
  3.250000E-04  8.043788E-12  2.000278E-13  9.720718E-14  0.000000E+00
  3.500000E-04  9.328927E-12  2.000241E-13  9.720621E-14  0.000000E+00
  3.750000E-04  1.070921E-11  2.000202E-13  9.720518E-14  0.000000E+00
  4.000000E-04  1.218470E-11  2.000160E-13  9.720407E-14  0.000000E+00
  4.250000E-04  1.375539E-11  2.000116E-13  9.720289E-14  0.000000E+00
  4.500000E-04  1.542128E-11  2.000069E-13  9.720163E-14  0.000000E+00
  4.750000E-04  1.718231E-11  2.000019E-13  9.720031E-14  0.000000E+00
  5.000000E-04  1.903860E-11  1.999966E-13  9.719891E-14  0.000000E+00
  5.250000E-04  2.099004E-11  1.999911E-13  9.719745E-14  0.000000E+00
  5.500000E-04  2.303668E-11  1.999853E-13  9.719591E-14  0.000000E+00
  5.750000E-04  2.517853E-11  1.999792E-13  9.719430E-14  0.000000E+00
  6.000000E-04  2.741557E-11  1.999728E-13  9.719262E-14  0.000000E+00
  6.250000E-04  2.974782E-11  1.999662E-13  9.719086E-14  0.000000E+00
  6.500000E-04  3.217521E-11  1.999593E-13  9.718904E-14  0.000000E+00
  6.750000E-04  3.469786E-11  1.999522E-13  9.718714E-14  0.000000E+00
  7.000000E-04  3.731565E-11  1.999448E-13  9.718517E-14  0.000000E+00
  7.250000E-04  4.002865E-11  1.999371E-13  9.718314E-14  0.000000E+00
  7.500000E-04  4.283685E-11  1.999291E-13  9.718102E-14  0.000000E+00
  7.750000E-04  4.574019E-11  1.999209E-13  9.717884E-14  0.000000E+00
  8.000000E-04  4.873879E-11  1.999124E-13  9.717659E-14  0.000000E+00
  8.250000E-04  5.183254E-11  1.999036E-13  9.717426E-14  0.000000E+00
  8.500000E-04  5.502154E-11  1.998946E-13  9.717187E-14  0.000000E+00
  8.750000E-04  5.830569E-11  1.998853E-13  9.716940E-14  0.000000E+00
  9.000000E-04  6.168505E-11  1.998757E-13  9.716686E-14  0.000000E+00
  9.250000E-04  6.515954E-11  1.998659E-13  9.716425E-14  0.000000E+00
  9.500000E-04  6.872930E-11  1.998557E-13  9.716157E-14  0.000000E+00
  9.750000E-04  7.239426E-11  1.998454E-13  9.715881E-14  0.000000E+00
  1.000000E-03  7.615436E-11  1.998347E-13  9.715599E-14  0.000000E+00
  1.250000E-03  1.189912E-10  1.997134E-13  9.712381E-14  0.000000E+00
  1.500000E-03  1.713473E-10  1.995653E-13  9.708451E-14  0.000000E+00
  1.750000E-03  2.332227E-10  1.993904E-13  9.703809E-14  0.000000E+00
  2.000000E-03  3.046174E-10  1.991889E-13  9.698457E-14  0.000000E+00
  2.250000E-03  3.855314E-10  1.989608E-13  9.692397E-14  0.000000E+00
  2.500000E-03  4.759647E-10  1.987063E-13  9.685631E-14  0.000000E+00
  2.750000E-03  5.759173E-10  1.984255E-13  9.678161E-14  0.000000E+00
  3.000000E-03  6.853892E-10  1.981186E-13  9.669989E-14  0.000000E+00
  3.250000E-03  8.043804E-10  1.977857E-13  9.661119E-14  0.000000E+00
  3.500000E-03  9.328908E-10  1.974269E-13  9.651552E-14  0.000000E+00
  3.750000E-03  1.070921E-09  1.970426E-13  9.641293E-14  0.000000E+00
  4.000000E-03  1.218470E-09  1.966328E-13  9.630344E-14  0.000000E+00
  4.250000E-03  1.375538E-09  1.961978E-13  9.618710E-14  0.000000E+00
  4.500000E-03  1.542126E-09  1.957379E-13  9.606393E-14  0.000000E+00
  4.750000E-03  1.718233E-09  1.952532E-13  9.593399E-14  0.000000E+00
  5.000000E-03  1.903859E-09  1.947440E-13  9.579730E-14  0.000000E+00
  5.250000E-03  2.099004E-09  1.942105E-13  9.565392E-14  0.000000E+00
  5.500000E-03  2.303669E-09  1.936531E-13  9.550390E-14  0.000000E+00
  5.750000E-03  2.517853E-09  1.930721E-13  9.534727E-14  0.000000E+00
  6.000000E-03  2.741557E-09  1.924676E-13  9.518410E-14  0.000000E+00
  6.250000E-03  2.974779E-09  1.918401E-13  9.501442E-14  0.000000E+00
  6.500000E-03  3.217521E-09  1.911898E-13  9.483831E-14  0.000000E+00
  6.750000E-03  3.469783E-09  1.905171E-13  9.465580E-14  0.000000E+00
  7.000000E-03  3.731563E-09  1.898223E-13  9.446697E-14  0.000000E+00
  7.250000E-03  4.002863E-09  1.891057E-13  9.427186E-14  0.000000E+00
  7.500000E-03  4.283682E-09  1.883678E-13  9.407055E-14  0.000000E+00
  7.750000E-03  4.574021E-09  1.876088E-13  9.386309E-14  0.000000E+00
  8.000000E-03  4.873879E-09  1.868291E-13  9.364955E-14  0.000000E+00
  8.250000E-03  5.183256E-09  1.860292E-13  9.342999E-14  0.000000E+00
  8.500000E-03  5.502152E-09  1.852093E-13  9.320449E-14  0.000000E+00
  8.750000E-03  5.830568E-09  1.843700E-13  9.297310E-14  0.000000E+00
  9.000000E-03  6.168503E-09  1.835116E-13  9.273591E-14  0.000000E+00
  9.250000E-03  6.515957E-09  1.826344E-13  9.249298E-14  0.000000E+00
  9.500000E-03  6.872931E-09  1.817390E-13  9.224439E-14  0.000000E+00
  9.750000E-03  7.239423E-09  1.808257E-13  9.199021E-14  0.000000E+00
  1.000000E-02  7.615435E-09  1.798949E-13  9.173052E-14  0.000000E+00
  1.250000E-02  1.189912E-08  1.697246E-13  8.884800E-14  0.000000E+00
  1.500000E-02  1.713473E-08  1.583018E-13  8.550545E-14  0.000000E+00
  1.750000E-02  2.332227E-08  1.460814E-13  8.179202E-14  0.000000E+00
  2.000000E-02  3.046174E-08  1.334956E-13  7.779876E-14  0.000000E+00
