

  **** Partial wave analysis (DPWA0) ******************************************


  Kinetic energy = 1.00000E+07 eV

      L       Phase(spin UP)     Phase(spin DOWN)
  -----------------------------------------------
       0      5.82323152E-02      0.00000000E+00
       1      5.26606053E-02      5.78787577E-02
       2      4.95798733E-02      5.24830137E-02
       3      4.74306713E-02      4.94614780E-02
       4      4.57758536E-02      4.73418749E-02
       5      4.44291114E-02      4.57048165E-02
       6      4.32932030E-02      4.43699139E-02
       7      4.23108101E-02      4.32424624E-02
       8      4.14452572E-02      4.22664122E-02
       9      4.06716397E-02      4.14057924E-02
      10      3.99722643E-02      4.06361215E-02
      11      3.93341056E-02      3.99399751E-02
      12      3.87472945E-02      3.93045073E-02
      13      3.82041733E-02      3.87199730E-02
      14      3.76986804E-02      3.81788034E-02
      15      3.72259350E-02      3.76750020E-02
      16      3.67819492E-02      3.72037366E-02
      17      3.63634218E-02      3.67610566E-02
      18      3.59675901E-02      3.63436901E-02
      19      3.55921179E-02      3.59488970E-02
      20      3.52350124E-02      3.55743595E-02
      21      3.48945597E-02      3.52180997E-02
      22      3.45692756E-02      3.48784159E-02
      23      3.42578657E-02      3.45538338E-02
      24      3.39591946E-02      3.42430673E-02
      25      3.36722608E-02      3.39449882E-02
      26      3.33961766E-02      3.36586009E-02
      27      3.31301514E-02      3.33830228E-02
      28      3.28734779E-02      3.31174674E-02
      29      3.26255210E-02      3.28612314E-02
      30      3.23857080E-02      3.26136828E-02
      31      3.21535211E-02      3.23742518E-02
      32      3.19284903E-02      3.21424230E-02
      33      3.17101877E-02      3.19177285E-02
      34      3.14982227E-02      3.16997425E-02
      35      3.12922378E-02      3.14880761E-02
      36      3.10919049E-02      3.12823731E-02
      37      3.08969223E-02      3.10823070E-02
      38      3.07070117E-02      3.08875770E-02
      39      3.05219159E-02      3.06979061E-02
      40      3.03413970E-02      3.05130380E-02
      41      3.01652343E-02      3.03327358E-02
      42      2.99932224E-02      3.01567793E-02
      43      2.98251704E-02      2.99849642E-02
      44      2.96609003E-02      2.98171000E-02
      45      2.95002455E-02      2.96530092E-02
      46      2.93430505E-02      2.94925261E-02
      47      2.91891696E-02      2.93354955E-02
      48      2.90384659E-02      2.91817720E-02
      49      2.88908110E-02      2.90312194E-02
      50      2.87460842E-02      2.88837096E-02
