

  **** Partial wave analysis (DPWAI0) ******************************************


  Kinetic energy = 1.00000E+06 eV

              --------- Spin UP ---------      -------- Spin DOWN --------
      L         Re(phase)      Im(phase)         Re(phase)      Im(phase)
  --------------------------------------------------------------------------
       0      4.74412613E-02  9.29057E-05      0.00000000E+00  0.00000E+00
       1      4.09494671E-02  9.29006E-05      4.48190779E-02  9.29049E-05
       2      3.74931273E-02  9.28920E-05      3.96382891E-02  9.28983E-05
       3      3.51188874E-02  9.28803E-05      3.66190385E-02  9.28886E-05
       4      3.33067557E-02  9.28659E-05      3.44633522E-02  9.28759E-05
       5      3.18403233E-02  9.28489E-05      3.27823600E-02  9.28606E-05
       6      3.06083808E-02  9.28295E-05      3.14033598E-02  9.28427E-05
       7      2.95460926E-02  9.28078E-05      3.02338741E-02  9.28225E-05
       8      2.86123104E-02  9.27839E-05      2.92184330E-02  9.28000E-05
       9      2.77792679E-02  9.27579E-05      2.83210913E-02  9.27754E-05
      10      2.70273376E-02  9.27298E-05      2.75172048E-02  9.27487E-05
      11      2.63421292E-02  9.26998E-05      2.67891327E-02  9.27200E-05
      12      2.57127761E-02  9.26679E-05      2.61238090E-02  9.26893E-05
      13      2.51308712E-02  9.26342E-05      2.55112843E-02  9.26568E-05
      14      2.45897756E-02  9.25987E-05      2.49438061E-02  9.26224E-05
      15      2.40841552E-02  9.25615E-05      2.44152160E-02  9.25863E-05
      16      2.36096593E-02  9.25225E-05      2.39205401E-02  9.25485E-05
      17      2.31626931E-02  9.24820E-05      2.34557033E-02  9.25090E-05
      18      2.27402517E-02  9.24399E-05      2.30173249E-02  9.24680E-05
      19      2.23397977E-02  9.23962E-05      2.26025690E-02  9.24253E-05
      20      2.19591692E-02  9.23509E-05      2.22090338E-02  9.23811E-05
      21      2.15965088E-02  9.23043E-05      2.18346667E-02  9.23353E-05
      22      2.12502094E-02  9.22561E-05      2.14777002E-02  9.22882E-05
      23      2.09188707E-02  9.22066E-05      2.11366010E-02  9.22396E-05
      24      2.06012654E-02  9.21556E-05      2.08100306E-02  9.21895E-05
      25      2.02963119E-02  9.21034E-05      2.04968135E-02  9.21381E-05
      26      2.00030519E-02  9.20498E-05      2.01959119E-02  9.20854E-05
      27      1.97206323E-02  9.19949E-05      1.99064049E-02  9.20314E-05
      28      1.94482906E-02  9.19387E-05      1.96274714E-02  9.19760E-05
      29      1.91853424E-02  9.18813E-05      1.93583767E-02  9.19194E-05
      30      1.89311709E-02  9.18226E-05      1.90984600E-02  9.18616E-05
      31      1.86852186E-02  9.17628E-05      1.88471255E-02  9.18025E-05
      32      1.84469795E-02  9.17018E-05      1.86038339E-02  9.17423E-05
      33      1.82159935E-02  9.16396E-05      1.83680954E-02  9.16809E-05
      34      1.79918406E-02  9.15763E-05      1.81394638E-02  9.16184E-05
      35      1.77741363E-02  9.15119E-05      1.79175315E-02  9.15547E-05
      36      1.75625280E-02  9.14464E-05      1.77019255E-02  9.14899E-05
      37      1.73566916E-02  9.13799E-05      1.74923030E-02  9.14241E-05
      38      1.71563282E-02  9.13122E-05      1.72883487E-02  9.13571E-05
      39      1.69611617E-02  9.12436E-05      1.70897716E-02  9.12892E-05
      40      1.67709366E-02  9.11739E-05      1.68963030E-02  9.12202E-05
      41      1.65854159E-02  9.11033E-05      1.67076937E-02  9.11502E-05
      42      1.64043794E-02  9.10316E-05      1.65237125E-02  9.10792E-05
      43      1.62276222E-02  9.09590E-05      1.63441448E-02  9.10072E-05
      44      1.60549531E-02  9.08855E-05      1.61687902E-02  9.09343E-05
      45      1.58861939E-02  9.08110E-05      1.59974622E-02  9.08604E-05
      46      1.57211775E-02  9.07356E-05      1.58299863E-02  9.07856E-05
      47      1.55597477E-02  9.06593E-05      1.56661994E-02  9.07099E-05
      48      1.54017579E-02  9.05821E-05      1.55059484E-02  9.06333E-05
      49      1.52470703E-02  9.05040E-05      1.53490899E-02  9.05558E-05
      50      1.50955554E-02  9.04251E-05      1.51954890E-02  9.04774E-05
      51      1.49470914E-02  9.03453E-05      1.50450188E-02  9.03982E-05
      52      1.48015631E-02  9.02647E-05      1.48975598E-02  9.03181E-05
      53      1.46588622E-02  9.01833E-05      1.47529992E-02  9.02372E-05
      54      1.45188862E-02  9.01010E-05      1.46112307E-02  9.01556E-05
      55      1.43815380E-02  9.00180E-05      1.44721536E-02  9.00730E-05
      56      1.42467258E-02  8.99342E-05      1.43356728E-02  8.99898E-05
      57      1.41143626E-02  8.98496E-05      1.42016981E-02  8.99057E-05
      58      1.39843660E-02  8.97643E-05      1.40701441E-02  8.98208E-05
      59      1.38566574E-02  8.96782E-05      1.39409296E-02  8.97353E-05
      60      1.37311625E-02  8.95914E-05      1.38139776E-02  8.96490E-05
      61      1.36078104E-02  8.95038E-05      1.36892149E-02  8.95619E-05
      62      1.34865335E-02  8.94156E-05      1.35665718E-02  8.94741E-05
      63      1.33672678E-02  8.93267E-05      1.34459819E-02  8.93857E-05
      64      1.32499518E-02  8.92370E-05      1.33273821E-02  8.92965E-05
      65      1.31345271E-02  8.91467E-05      1.32107119E-02  8.92066E-05
      66      1.30209379E-02  8.90558E-05      1.30959140E-02  8.91161E-05
      67      1.29091308E-02  8.89641E-05      1.29829332E-02  8.90249E-05
      68      1.27990549E-02  8.88718E-05      1.28717170E-02  8.89330E-05
      69      1.26906612E-02  8.87789E-05      1.27622152E-02  8.88405E-05
      70      1.25839032E-02  8.86854E-05      1.26543797E-02  8.87474E-05
      71      1.24787359E-02  8.85911E-05      1.25481644E-02  8.86536E-05
      72      1.23751164E-02  8.84964E-05      1.24435252E-02  8.85591E-05
      73      1.22730036E-02  8.84011E-05      1.23404197E-02  8.84642E-05
      74      1.21723580E-02  8.83050E-05      1.22388073E-02  8.83687E-05
