 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 1.00000E+07 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.250E-04  1.18994E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.500E-04  1.71346E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.750E-04  2.33225E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.000E-04  3.04617E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.250E-04  3.85530E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.500E-04  4.75964E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.750E-04  5.75917E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.000E-04  6.85391E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.250E-04  8.04379E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.500E-04  9.32893E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.750E-04  1.07092E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.000E-04  1.21847E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.250E-04  1.37554E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.500E-04  1.54213E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  4.750E-04  1.71823E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.000E-04  1.90386E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.250E-04  2.09900E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.500E-04  2.30367E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  5.750E-04  2.51785E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.000E-04  2.74156E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.250E-04  2.97478E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.500E-04  3.21752E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  6.750E-04  3.46979E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.000E-04  3.73157E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.250E-04  4.00286E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.500E-04  4.28368E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  7.750E-04  4.57402E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.000E-04  4.87388E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.250E-04  5.18325E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.500E-04  5.50215E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.750E-04  5.83057E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.000E-04  6.16850E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.250E-04  6.51595E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.500E-04  6.87293E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.750E-04  7.23943E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.000E-03  7.61544E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.250E-03  1.18991E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.500E-03  1.71347E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.750E-03  2.33223E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.000E-03  3.04617E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.250E-03  3.85531E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
