 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Al,  Z =  13,  atomic weight = 2.69815E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.20927E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 13
 #
 # Electron density: Read from file ./database/z_013.den                                                                                                    
 #                   Number of data points =  801
 #                   Volume integral = 1.30000E+01
 #
 # Muffin-tin model:    Rmt = 1.43000E-08 cm
 #   Atomic density:   Vmol = 6.02370E+22 1/cm**3
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 8.70744E-17 cm**2 = 3.10948E+00 a0**2
 # 1st transport cross section = 1.18265E-17 cm**2 = 4.22331E-01 a0**2
 # 2nd transport cross section = 1.98400E-17 cm**2 = 7.08498E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.67036E-16  2.38203E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  6.67036E-16  2.38203E+01  3.12845E-10  1.0E-07
  1.250E-04  1.18994E-12  6.67036E-16  2.38203E+01  3.91056E-10  1.0E-07
  1.500E-04  1.71346E-12  6.67036E-16  2.38203E+01  4.69267E-10  1.0E-07
  1.750E-04  2.33225E-12  6.67036E-16  2.38203E+01  5.47478E-10  1.0E-07
  2.000E-04  3.04617E-12  6.67036E-16  2.38203E+01  6.25689E-10  1.0E-07
  2.250E-04  3.85530E-12  6.67036E-16  2.38203E+01  7.03900E-10  1.0E-07
  2.500E-04  4.75964E-12  6.67036E-16  2.38203E+01  7.82111E-10  1.0E-07
  2.750E-04  5.75917E-12  6.67036E-16  2.38203E+01  8.60323E-10  1.0E-07
  3.000E-04  6.85391E-12  6.67036E-16  2.38203E+01  9.38534E-10  1.0E-07
  3.250E-04  8.04379E-12  6.67036E-16  2.38203E+01  1.01674E-09  1.0E-07
  3.500E-04  9.32893E-12  6.67036E-16  2.38203E+01  1.09496E-09  1.0E-07
  3.750E-04  1.07092E-11  6.67036E-16  2.38203E+01  1.17317E-09  1.0E-07
  4.000E-04  1.21847E-11  6.67036E-16  2.38203E+01  1.25138E-09  1.0E-07
  4.250E-04  1.37554E-11  6.67036E-16  2.38203E+01  1.32959E-09  1.0E-07
  4.500E-04  1.54213E-11  6.67036E-16  2.38203E+01  1.40780E-09  1.0E-07
  4.750E-04  1.71823E-11  6.67036E-16  2.38203E+01  1.48601E-09  1.0E-07
  5.000E-04  1.90386E-11  6.67036E-16  2.38203E+01  1.56422E-09  1.0E-07
  5.250E-04  2.09900E-11  6.67036E-16  2.38203E+01  1.64243E-09  1.0E-07
  5.500E-04  2.30367E-11  6.67036E-16  2.38203E+01  1.72065E-09  1.0E-07
  5.750E-04  2.51785E-11  6.67036E-16  2.38203E+01  1.79886E-09  1.0E-07
  6.000E-04  2.74156E-11  6.67036E-16  2.38203E+01  1.87707E-09  1.0E-07
  6.250E-04  2.97478E-11  6.67036E-16  2.38203E+01  1.95528E-09  1.0E-07
  6.500E-04  3.21752E-11  6.67036E-16  2.38203E+01  2.03349E-09  1.0E-07
  6.750E-04  3.46979E-11  6.67036E-16  2.38203E+01  2.11170E-09  1.0E-07
  7.000E-04  3.73157E-11  6.67036E-16  2.38203E+01  2.18991E-09  1.0E-07
  7.250E-04  4.00286E-11  6.67036E-16  2.38203E+01  2.26812E-09  1.0E-07
  7.500E-04  4.28368E-11  6.67036E-16  2.38203E+01  2.34633E-09  1.0E-07
  7.750E-04  4.57402E-11  6.67036E-16  2.38203E+01  2.42455E-09  1.0E-07
  8.000E-04  4.87388E-11  6.67036E-16  2.38203E+01  2.50276E-09  1.0E-07
  8.250E-04  5.18325E-11  6.67036E-16  2.38203E+01  2.58097E-09  1.0E-07
  8.500E-04  5.50215E-11  6.67036E-16  2.38203E+01  2.65918E-09  1.0E-07
  8.750E-04  5.83057E-11  6.67036E-16  2.38203E+01  2.73739E-09  1.0E-07
  9.000E-04  6.16850E-11  6.67036E-16  2.38203E+01  2.81560E-09  1.0E-07
  9.250E-04  6.51595E-11  6.67036E-16  2.38203E+01  2.89381E-09  1.0E-07
  9.500E-04  6.87293E-11  6.67036E-16  2.38203E+01  2.97202E-09  1.0E-07
  9.750E-04  7.23943E-11  6.67036E-16  2.38203E+01  3.05023E-09  1.0E-07
  1.000E-03  7.61544E-11  6.67036E-16  2.38203E+01  3.12845E-09  1.0E-07
  1.250E-03  1.18991E-10  6.67036E-16  2.38203E+01  3.91056E-09  1.0E-07
  1.500E-03  1.71347E-10  6.67036E-16  2.38203E+01  4.69267E-09  1.0E-07
  1.750E-03  2.33223E-10  6.67036E-16  2.38203E+01  5.47478E-09  1.0E-07
  2.000E-03  3.04617E-10  6.67036E-16  2.38203E+01  6.25689E-09  1.0E-07
  2.250E-03  3.85531E-10  6.67036E-16  2.38203E+01  7.03900E-09  1.0E-07
  2.500E-03  4.75965E-10  6.67036E-16  2.38203E+01  7.82111E-09  1.0E-07
  2.750E-03  5.75917E-10  6.67036E-16  2.38203E+01  8.60323E-09  1.0E-07
  3.000E-03  6.85389E-10  6.67036E-16  2.38203E+01  9.38534E-09  1.0E-07
  3.250E-03  8.04380E-10  6.67036E-16  2.38203E+01  1.01674E-08  1.0E-07
  3.500E-03  9.32891E-10  6.67036E-16  2.38203E+01  1.09496E-08  1.0E-07
  3.750E-03  1.07092E-09  6.67036E-16  2.38203E+01  1.17317E-08  1.0E-07
  4.000E-03  1.21847E-09  6.67036E-16  2.38203E+01  1.25138E-08  1.0E-07
  4.250E-03  1.37554E-09  6.67036E-16  2.38203E+01  1.32959E-08  1.0E-07
  4.500E-03  1.54213E-09  6.67036E-16  2.38203E+01  1.40780E-08  1.0E-07
  4.750E-03  1.71823E-09  6.67036E-16  2.38203E+01  1.48601E-08  1.0E-07
  5.000E-03  1.90386E-09  6.67036E-16  2.38203E+01  1.56422E-08  1.0E-07
  5.250E-03  2.09900E-09  6.67036E-16  2.38203E+01  1.64243E-08  1.0E-07
  5.500E-03  2.30367E-09  6.67036E-16  2.38203E+01  1.72065E-08  1.0E-07
  5.750E-03  2.51785E-09  6.67036E-16  2.38203E+01  1.79886E-08  1.0E-07
  6.000E-03  2.74156E-09  6.67036E-16  2.38203E+01  1.87707E-08  1.0E-07
  6.250E-03  2.97478E-09  6.67036E-16  2.38203E+01  1.95528E-08  1.0E-07
  6.500E-03  3.21752E-09  6.67036E-16  2.38203E+01  2.03349E-08  1.0E-07
  6.750E-03  3.46978E-09  6.67036E-16  2.38203E+01  2.11170E-08  1.0E-07
  7.000E-03  3.73156E-09  6.67036E-16  2.38203E+01  2.18991E-08  1.0E-07
  7.250E-03  4.00286E-09  6.67036E-16  2.38203E+01  2.26812E-08  1.0E-07
  7.500E-03  4.28368E-09  6.67036E-16  2.38203E+01  2.34634E-08  1.0E-07
  7.750E-03  4.57402E-09  6.67036E-16  2.38203E+01  2.42455E-08  1.0E-07
  8.000E-03  4.87388E-09  6.67036E-16  2.38203E+01  2.50276E-08  1.0E-07
  8.250E-03  5.18326E-09  6.67036E-16  2.38203E+01  2.58097E-08  1.0E-07
  8.500E-03  5.50215E-09  6.67036E-16  2.38203E+01  2.65918E-08  1.0E-07
  8.750E-03  5.83057E-09  6.67036E-16  2.38203E+01  2.73739E-08  1.0E-07
  9.000E-03  6.16850E-09  6.67036E-16  2.38203E+01  2.81560E-08  1.0E-07
  9.250E-03  6.51596E-09  6.67036E-16  2.38203E+01  2.89381E-08  1.0E-07
