 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+02 eV = 1.83747E+01 a.u.
 #
 # Element: Al,  Z =  13,  atomic weight = 2.69815E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.20927E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 13
 #
 # Electron density: Read from file ./database/z_013.den                                                                                                    
 #                   Number of data points =  801
 #                   Volume integral = 1.30000E+01
 #
 # Muffin-tin model:    Rmt = 1.43000E-08 cm
 #   Atomic density:   Vmol = 6.02370E+22 1/cm**3
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 1.35802E-16 cm**2 = 4.84957E+00 a0**2
 # 1st transport cross section = 3.16382E-17 cm**2 = 1.12982E+00 a0**2
 # 2nd transport cross section = 4.19971E-17 cm**2 = 1.49974E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.60970E-16  2.00326E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  5.60970E-16  2.00326E+01  7.40495E-12  1.0E-07
  1.250E-04  1.18994E-12  5.60970E-16  2.00326E+01  9.25618E-12  1.0E-07
  1.500E-04  1.71346E-12  5.60970E-16  2.00326E+01  1.11074E-11  1.0E-07
  1.750E-04  2.33225E-12  5.60970E-16  2.00326E+01  1.29587E-11  1.0E-07
  2.000E-04  3.04617E-12  5.60970E-16  2.00326E+01  1.48099E-11  1.0E-07
  2.250E-04  3.85530E-12  5.60970E-16  2.00326E+01  1.66611E-11  1.0E-07
  2.500E-04  4.75964E-12  5.60970E-16  2.00326E+01  1.85124E-11  1.0E-07
  2.750E-04  5.75917E-12  5.60970E-16  2.00326E+01  2.03636E-11  1.0E-07
  3.000E-04  6.85391E-12  5.60970E-16  2.00326E+01  2.22148E-11  1.0E-07
  3.250E-04  8.04379E-12  5.60970E-16  2.00326E+01  2.40661E-11  1.0E-07
  3.500E-04  9.32893E-12  5.60970E-16  2.00326E+01  2.59173E-11  1.0E-07
  3.750E-04  1.07092E-11  5.60970E-16  2.00326E+01  2.77686E-11  1.0E-07
  4.000E-04  1.21847E-11  5.60970E-16  2.00326E+01  2.96198E-11  1.0E-07
  4.250E-04  1.37554E-11  5.60970E-16  2.00326E+01  3.14710E-11  1.0E-07
  4.500E-04  1.54213E-11  5.60970E-16  2.00326E+01  3.33223E-11  1.0E-07
  4.750E-04  1.71823E-11  5.60970E-16  2.00326E+01  3.51735E-11  1.0E-07
  5.000E-04  1.90386E-11  5.60970E-16  2.00326E+01  3.70247E-11  1.0E-07
  5.250E-04  2.09900E-11  5.60970E-16  2.00326E+01  3.88760E-11  1.0E-07
  5.500E-04  2.30367E-11  5.60970E-16  2.00326E+01  4.07272E-11  1.0E-07
  5.750E-04  2.51785E-11  5.60970E-16  2.00326E+01  4.25784E-11  1.0E-07
  6.000E-04  2.74156E-11  5.60970E-16  2.00326E+01  4.44297E-11  1.0E-07
  6.250E-04  2.97478E-11  5.60970E-16  2.00326E+01  4.62809E-11  1.0E-07
  6.500E-04  3.21752E-11  5.60970E-16  2.00326E+01  4.81322E-11  1.0E-07
  6.750E-04  3.46979E-11  5.60970E-16  2.00326E+01  4.99834E-11  1.0E-07
  7.000E-04  3.73157E-11  5.60970E-16  2.00326E+01  5.18346E-11  1.0E-07
  7.250E-04  4.00286E-11  5.60970E-16  2.00326E+01  5.36859E-11  1.0E-07
  7.500E-04  4.28368E-11  5.60970E-16  2.00326E+01  5.55371E-11  1.0E-07
  7.750E-04  4.57402E-11  5.60970E-16  2.00326E+01  5.73883E-11  1.0E-07
  8.000E-04  4.87388E-11  5.60970E-16  2.00326E+01  5.92396E-11  1.0E-07
  8.250E-04  5.18325E-11  5.60970E-16  2.00326E+01  6.10908E-11  1.0E-07
  8.500E-04  5.50215E-11  5.60970E-16  2.00326E+01  6.29421E-11  1.0E-07
  8.750E-04  5.83057E-11  5.60970E-16  2.00326E+01  6.47933E-11  1.0E-07
  9.000E-04  6.16850E-11  5.60970E-16  2.00326E+01  6.66445E-11  1.0E-07
  9.250E-04  6.51595E-11  5.60970E-16  2.00326E+01  6.84958E-11  1.0E-07
  9.500E-04  6.87293E-11  5.60970E-16  2.00326E+01  7.03470E-11  1.0E-07
  9.750E-04  7.23943E-11  5.60970E-16  2.00326E+01  7.21982E-11  1.0E-07
  1.000E-03  7.61544E-11  5.60970E-16  2.00326E+01  7.40495E-11  1.0E-07
  1.250E-03  1.18991E-10  5.60970E-16  2.00326E+01  9.25618E-11  1.0E-07
  1.500E-03  1.71347E-10  5.60970E-16  2.00326E+01  1.11074E-10  1.0E-07
  1.750E-03  2.33223E-10  5.60970E-16  2.00326E+01  1.29587E-10  1.0E-07
  2.000E-03  3.04617E-10  5.60970E-16  2.00326E+01  1.48099E-10  1.0E-07
  2.250E-03  3.85531E-10  5.60970E-16  2.00326E+01  1.66611E-10  1.0E-07
  2.500E-03  4.75965E-10  5.60970E-16  2.00326E+01  1.85124E-10  1.0E-07
  2.750E-03  5.75917E-10  5.60970E-16  2.00326E+01  2.03636E-10  1.0E-07
  3.000E-03  6.85389E-10  5.60970E-16  2.00326E+01  2.22149E-10  1.0E-07
  3.250E-03  8.04380E-10  5.60970E-16  2.00326E+01  2.40661E-10  1.0E-07
  3.500E-03  9.32891E-10  5.60970E-16  2.00326E+01  2.59173E-10  1.0E-07
  3.750E-03  1.07092E-09  5.60970E-16  2.00326E+01  2.77686E-10  1.0E-07
  4.000E-03  1.21847E-09  5.60970E-16  2.00326E+01  2.96198E-10  1.0E-07
  4.250E-03  1.37554E-09  5.60970E-16  2.00326E+01  3.14711E-10  1.0E-07
  4.500E-03  1.54213E-09  5.60970E-16  2.00326E+01  3.33223E-10  1.0E-07
  4.750E-03  1.71823E-09  5.60969E-16  2.00326E+01  3.51736E-10  1.0E-07
  5.000E-03  1.90386E-09  5.60969E-16  2.00326E+01  3.70248E-10  1.0E-07
  5.250E-03  2.09900E-09  5.60969E-16  2.00326E+01  3.88760E-10  1.0E-07
  5.500E-03  2.30367E-09  5.60969E-16  2.00326E+01  4.07273E-10  1.0E-07
  5.750E-03  2.51785E-09  5.60969E-16  2.00326E+01  4.25785E-10  1.0E-07
  6.000E-03  2.74156E-09  5.60969E-16  2.00326E+01  4.44298E-10  1.0E-07
  6.250E-03  2.97478E-09  5.60969E-16  2.00326E+01  4.62810E-10  1.0E-07
  6.500E-03  3.21752E-09  5.60969E-16  2.00326E+01  4.81323E-10  1.0E-07
  6.750E-03  3.46978E-09  5.60969E-16  2.00326E+01  4.99836E-10  1.0E-07
  7.000E-03  3.73156E-09  5.60969E-16  2.00326E+01  5.18348E-10  1.0E-07
  7.250E-03  4.00286E-09  5.60969E-16  2.00326E+01  5.36861E-10  1.0E-07
  7.500E-03  4.28368E-09  5.60969E-16  2.00326E+01  5.55373E-10  1.0E-07
  7.750E-03  4.57402E-09  5.60969E-16  2.00326E+01  5.73886E-10  1.0E-07
  8.000E-03  4.87388E-09  5.60969E-16  2.00326E+01  5.92398E-10  1.0E-07
  8.250E-03  5.18326E-09  5.60969E-16  2.00326E+01  6.10911E-10  1.0E-07
  8.500E-03  5.50215E-09  5.60969E-16  2.00326E+01  6.29424E-10  1.0E-07
  8.750E-03  5.83057E-09  5.60969E-16  2.00326E+01  6.47936E-10  1.0E-07
  9.000E-03  6.16850E-09  5.60969E-16  2.00326E+01  6.66449E-10  1.0E-07
  9.250E-03  6.51596E-09  5.60969E-16  2.00326E+01  6.84962E-10  1.0E-07
  9.500E-03  6.87293E-09  5.60969E-16  2.00326E+01  7.03474E-10  1.0E-07
  9.750E-03  7.23942E-09  5.60969E-16  2.00326E+01  7.21987E-10  1.0E-07
  1.000E-02  7.61544E-09  5.60969E-16  2.00326E+01  7.40500E-10  1.0E-07
  1.250E-02  1.18991E-08  5.60969E-16  2.00326E+01  9.25628E-10  1.0E-07
  1.500E-02  1.71347E-08  5.60969E-16  2.00326E+01  1.11076E-09  1.0E-07
  1.750E-02  2.33223E-08  5.60968E-16  2.00325E+01  1.29589E-09  1.0E-07
  2.000E-02  3.04617E-08  5.60968E-16  2.00325E+01  1.48103E-09  1.0E-07
  2.250E-02  3.85531E-08  5.60968E-16  2.00325E+01  1.66617E-09  1.0E-07
  2.500E-02  4.75965E-08  5.60967E-16  2.00325E+01  1.85132E-09  1.0E-07
  2.750E-02  5.75917E-08  5.60967E-16  2.00325E+01  2.03647E-09  1.0E-07
  3.000E-02  6.85389E-08  5.60966E-16  2.00325E+01  2.22162E-09  1.0E-07
  3.250E-02  8.04380E-08  5.60966E-16  2.00325E+01  2.40678E-09  1.0E-07
  3.500E-02  9.32891E-08  5.60965E-16  2.00324E+01  2.59195E-09  1.0E-07
  3.750E-02  1.07092E-07  5.60965E-16  2.00324E+01  2.77712E-09  1.0E-07
