 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+02 eV = 2.57245E+01 a.u.
 #
 # Element: Al,  Z =  13,  atomic weight = 2.69815E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.20927E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 13
 #
 # Electron density: Read from file ./database/z_013.den                                                                                                    
 #                   Number of data points =  801
 #                   Volume integral = 1.30000E+01
 #
 # Muffin-tin model:    Rmt = 1.43000E-08 cm
 #   Atomic density:   Vmol = 6.02370E+22 1/cm**3
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 1.10024E-16 cm**2 = 3.92903E+00 a0**2
 # 1st transport cross section = 1.98467E-17 cm**2 = 7.08738E-01 a0**2
 # 2nd transport cross section = 2.98023E-17 cm**2 = 1.06426E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.12606E-16  2.18766E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  6.12606E-16  2.18766E+01  1.86215E-10  1.0E-07
  1.250E-04  1.18994E-12  6.12606E-16  2.18766E+01  2.32769E-10  1.0E-07
  1.500E-04  1.71346E-12  6.12606E-16  2.18766E+01  2.79323E-10  1.0E-07
  1.750E-04  2.33225E-12  6.12606E-16  2.18766E+01  3.25877E-10  1.0E-07
  2.000E-04  3.04617E-12  6.12606E-16  2.18766E+01  3.72431E-10  1.0E-07
  2.250E-04  3.85530E-12  6.12606E-16  2.18766E+01  4.18984E-10  1.0E-07
  2.500E-04  4.75964E-12  6.12606E-16  2.18766E+01  4.65538E-10  1.0E-07
  2.750E-04  5.75917E-12  6.12606E-16  2.18766E+01  5.12092E-10  1.0E-07
  3.000E-04  6.85391E-12  6.12606E-16  2.18766E+01  5.58646E-10  1.0E-07
  3.250E-04  8.04379E-12  6.12606E-16  2.18766E+01  6.05200E-10  1.0E-07
  3.500E-04  9.32893E-12  6.12606E-16  2.18766E+01  6.51754E-10  1.0E-07
  3.750E-04  1.07092E-11  6.12606E-16  2.18766E+01  6.98307E-10  1.0E-07
  4.000E-04  1.21847E-11  6.12606E-16  2.18766E+01  7.44861E-10  1.0E-07
  4.250E-04  1.37554E-11  6.12606E-16  2.18766E+01  7.91415E-10  1.0E-07
  4.500E-04  1.54213E-11  6.12606E-16  2.18766E+01  8.37969E-10  1.0E-07
  4.750E-04  1.71823E-11  6.12606E-16  2.18766E+01  8.84523E-10  1.0E-07
  5.000E-04  1.90386E-11  6.12606E-16  2.18766E+01  9.31077E-10  1.0E-07
  5.250E-04  2.09900E-11  6.12606E-16  2.18766E+01  9.77630E-10  1.0E-07
  5.500E-04  2.30367E-11  6.12606E-16  2.18766E+01  1.02418E-09  1.0E-07
  5.750E-04  2.51785E-11  6.12606E-16  2.18766E+01  1.07074E-09  1.0E-07
  6.000E-04  2.74156E-11  6.12606E-16  2.18766E+01  1.11729E-09  1.0E-07
  6.250E-04  2.97478E-11  6.12606E-16  2.18766E+01  1.16385E-09  1.0E-07
  6.500E-04  3.21752E-11  6.12606E-16  2.18766E+01  1.21040E-09  1.0E-07
  6.750E-04  3.46979E-11  6.12606E-16  2.18766E+01  1.25695E-09  1.0E-07
  7.000E-04  3.73157E-11  6.12606E-16  2.18766E+01  1.30351E-09  1.0E-07
  7.250E-04  4.00286E-11  6.12606E-16  2.18766E+01  1.35006E-09  1.0E-07
  7.500E-04  4.28368E-11  6.12606E-16  2.18766E+01  1.39661E-09  1.0E-07
  7.750E-04  4.57402E-11  6.12606E-16  2.18766E+01  1.44317E-09  1.0E-07
  8.000E-04  4.87388E-11  6.12606E-16  2.18766E+01  1.48972E-09  1.0E-07
  8.250E-04  5.18325E-11  6.12606E-16  2.18766E+01  1.53628E-09  1.0E-07
  8.500E-04  5.50215E-11  6.12606E-16  2.18766E+01  1.58283E-09  1.0E-07
  8.750E-04  5.83057E-11  6.12606E-16  2.18766E+01  1.62938E-09  1.0E-07
  9.000E-04  6.16850E-11  6.12606E-16  2.18766E+01  1.67594E-09  1.0E-07
  9.250E-04  6.51595E-11  6.12606E-16  2.18766E+01  1.72249E-09  1.0E-07
  9.500E-04  6.87293E-11  6.12606E-16  2.18766E+01  1.76905E-09  1.0E-07
  9.750E-04  7.23943E-11  6.12606E-16  2.18766E+01  1.81560E-09  1.0E-07
  1.000E-03  7.61544E-11  6.12606E-16  2.18766E+01  1.86215E-09  1.0E-07
  1.250E-03  1.18991E-10  6.12606E-16  2.18766E+01  2.32769E-09  1.0E-07
  1.500E-03  1.71347E-10  6.12606E-16  2.18766E+01  2.79323E-09  1.0E-07
  1.750E-03  2.33223E-10  6.12606E-16  2.18766E+01  3.25877E-09  1.0E-07
  2.000E-03  3.04617E-10  6.12606E-16  2.18766E+01  3.72431E-09  1.0E-07
  2.250E-03  3.85531E-10  6.12606E-16  2.18766E+01  4.18984E-09  1.0E-07
  2.500E-03  4.75965E-10  6.12606E-16  2.18766E+01  4.65538E-09  1.0E-07
  2.750E-03  5.75917E-10  6.12606E-16  2.18766E+01  5.12092E-09  1.0E-07
  3.000E-03  6.85389E-10  6.12606E-16  2.18766E+01  5.58646E-09  1.0E-07
  3.250E-03  8.04380E-10  6.12606E-16  2.18765E+01  6.05200E-09  1.0E-07
  3.500E-03  9.32891E-10  6.12606E-16  2.18765E+01  6.51754E-09  1.0E-07
  3.750E-03  1.07092E-09  6.12606E-16  2.18765E+01  6.98307E-09  1.0E-07
  4.000E-03  1.21847E-09  6.12606E-16  2.18765E+01  7.44861E-09  1.0E-07
  4.250E-03  1.37554E-09  6.12606E-16  2.18765E+01  7.91415E-09  1.0E-07
  4.500E-03  1.54213E-09  6.12606E-16  2.18765E+01  8.37969E-09  1.0E-07
  4.750E-03  1.71823E-09  6.12606E-16  2.18765E+01  8.84523E-09  1.0E-07
  5.000E-03  1.90386E-09  6.12606E-16  2.18765E+01  9.31077E-09  1.0E-07
  5.250E-03  2.09900E-09  6.12606E-16  2.18765E+01  9.77631E-09  1.0E-07
  5.500E-03  2.30367E-09  6.12606E-16  2.18765E+01  1.02418E-08  1.0E-07
  5.750E-03  2.51785E-09  6.12606E-16  2.18765E+01  1.07074E-08  1.0E-07
  6.000E-03  2.74156E-09  6.12606E-16  2.18765E+01  1.11729E-08  1.0E-07
  6.250E-03  2.97478E-09  6.12606E-16  2.18765E+01  1.16385E-08  1.0E-07
  6.500E-03  3.21752E-09  6.12606E-16  2.18765E+01  1.21040E-08  1.0E-07
  6.750E-03  3.46978E-09  6.12606E-16  2.18765E+01  1.25695E-08  1.0E-07
  7.000E-03  3.73156E-09  6.12606E-16  2.18765E+01  1.30351E-08  1.0E-07
  7.250E-03  4.00286E-09  6.12606E-16  2.18765E+01  1.35006E-08  1.0E-07
  7.500E-03  4.28368E-09  6.12606E-16  2.18765E+01  1.39662E-08  1.0E-07
  7.750E-03  4.57402E-09  6.12606E-16  2.18765E+01  1.44317E-08  1.0E-07
  8.000E-03  4.87388E-09  6.12606E-16  2.18765E+01  1.48972E-08  1.0E-07
  8.250E-03  5.18326E-09  6.12605E-16  2.18765E+01  1.53628E-08  1.0E-07
  8.500E-03  5.50215E-09  6.12605E-16  2.18765E+01  1.58283E-08  1.0E-07
  8.750E-03  5.83057E-09  6.12605E-16  2.18765E+01  1.62938E-08  1.0E-07
  9.000E-03  6.16850E-09  6.12605E-16  2.18765E+01  1.67594E-08  1.0E-07
  9.250E-03  6.51596E-09  6.12605E-16  2.18765E+01  1.72249E-08  1.0E-07
  9.500E-03  6.87293E-09  6.12605E-16  2.18765E+01  1.76905E-08  1.0E-07
  9.750E-03  7.23942E-09  6.12605E-16  2.18765E+01  1.81560E-08  1.0E-07
  1.000E-02  7.61544E-09  6.12605E-16  2.18765E+01  1.86215E-08  1.0E-07
  1.250E-02  1.18991E-08  6.12605E-16  2.18765E+01  2.32769E-08  1.0E-07
  1.500E-02  1.71347E-08  6.12605E-16  2.18765E+01  2.79323E-08  1.0E-07
  1.750E-02  2.33223E-08  6.12604E-16  2.18765E+01  3.25877E-08  1.0E-07
  2.000E-02  3.04617E-08  6.12604E-16  2.18765E+01  3.72432E-08  1.0E-07
  2.250E-02  3.85531E-08  6.12603E-16  2.18765E+01  4.18986E-08  1.0E-07
  2.500E-02  4.75965E-08  6.12603E-16  2.18764E+01  4.65540E-08  1.0E-07
  2.750E-02  5.75917E-08  6.12602E-16  2.18764E+01  5.12095E-08  1.0E-07
  3.000E-02  6.85389E-08  6.12601E-16  2.18764E+01  5.58649E-08  1.0E-07
  3.250E-02  8.04380E-08  6.12600E-16  2.18764E+01  6.05204E-08  1.0E-07
  3.500E-02  9.32891E-08  6.12599E-16  2.18763E+01  6.51759E-08  1.0E-07
  3.750E-02  1.07092E-07  6.12599E-16  2.18763E+01  6.98314E-08  1.0E-07
  4.000E-02  1.21847E-07  6.12598E-16  2.18763E+01  7.44869E-08  1.0E-07
  4.250E-02  1.37554E-07  6.12596E-16  2.18762E+01  7.91425E-08  1.0E-07
  4.500E-02  1.54213E-07  6.12595E-16  2.18762E+01  8.37981E-08  1.0E-07
  4.750E-02  1.71823E-07  6.12594E-16  2.18761E+01  8.84536E-08  1.0E-07
  5.000E-02  1.90386E-07  6.12593E-16  2.18761E+01  9.31093E-08  1.0E-07
  5.250E-02  2.09900E-07  6.12592E-16  2.18760E+01  9.77649E-08  1.0E-07
  5.500E-02  2.30367E-07  6.12590E-16  2.18760E+01  1.02421E-07  1.0E-07
  5.750E-02  2.51785E-07  6.12589E-16  2.18759E+01  1.07076E-07  1.0E-07
  6.000E-02  2.74156E-07  6.12587E-16  2.18759E+01  1.11732E-07  1.0E-07
  6.250E-02  2.97478E-07  6.12586E-16  2.18758E+01  1.16388E-07  1.0E-07
  6.500E-02  3.21752E-07  6.12584E-16  2.18758E+01  1.21043E-07  1.0E-07
  6.750E-02  3.46978E-07  6.12582E-16  2.18757E+01  1.25699E-07  1.0E-07
  7.000E-02  3.73156E-07  6.12580E-16  2.18756E+01  1.30355E-07  1.0E-07
  7.250E-02  4.00286E-07  6.12579E-16  2.18756E+01  1.35011E-07  1.0E-07
  7.500E-02  4.28368E-07  6.12577E-16  2.18755E+01  1.39667E-07  1.0E-07
  7.750E-02  4.57402E-07  6.12575E-16  2.18754E+01  1.44323E-07  1.0E-07
  8.000E-02  4.87388E-07  6.12573E-16  2.18754E+01  1.48979E-07  1.0E-07
  8.250E-02  5.18325E-07  6.12571E-16  2.18753E+01  1.53635E-07  1.0E-07
  8.500E-02  5.50215E-07  6.12568E-16  2.18752E+01  1.58291E-07  1.0E-07
  8.750E-02  5.83057E-07  6.12566E-16  2.18751E+01  1.62947E-07  1.0E-07
  9.000E-02  6.16850E-07  6.12564E-16  2.18751E+01  1.67603E-07  1.0E-07
  9.250E-02  6.51596E-07  6.12561E-16  2.18750E+01  1.72259E-07  1.0E-07
  9.500E-02  6.87293E-07  6.12559E-16  2.18749E+01  1.76916E-07  1.0E-07
  9.750E-02  7.23942E-07  6.12557E-16  2.18748E+01  1.81572E-07  1.0E-07
  1.000E-01  7.61543E-07  6.12554E-16  2.18747E+01  1.86228E-07  1.0E-07
  1.250E-01  1.18991E-06  6.12525E-16  2.18737E+01  2.32794E-07  1.0E-07
  1.500E-01  1.71347E-06  6.12489E-16  2.18724E+01  2.79366E-07  1.0E-07
  1.750E-01  2.33223E-06  6.12447E-16  2.18709E+01  3.25945E-07  1.0E-07
  2.000E-01  3.04617E-06  6.12399E-16  2.18691E+01  3.72533E-07  1.0E-07
  2.250E-01  3.85531E-06  6.12343E-16  2.18672E+01  4.19130E-07  1.0E-07
  2.500E-01  4.75964E-06  6.12282E-16  2.18650E+01  4.65738E-07  1.0E-07
  2.750E-01  5.75916E-06  6.12214E-16  2.18626E+01  5.12358E-07  1.0E-07
  3.000E-01  6.85388E-06  6.12139E-16  2.18599E+01  5.58992E-07  1.0E-07
