 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+01 eV = 9.18733E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Electron density: Read from file ./database/z_026.den                                                                                                    
 #                   Number of data points =  763
 #                   Volume integral = 2.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 2.72216E-16 cm**2 = 9.72102E+00 a0**2
 # 1st transport cross section = 2.01579E-16 cm**2 = 7.19851E+00 a0**2
 # 2nd transport cross section = 1.29119E-16 cm**2 = 4.61093E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.94404E-16  1.40844E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.94404E-16  1.40844E+01  2.98269E-10  1.0E-07
  1.250E-04  1.18994E-12  3.94404E-16  1.40844E+01  3.72836E-10  1.0E-07
  1.500E-04  1.71346E-12  3.94404E-16  1.40844E+01  4.47403E-10  1.0E-07
  1.750E-04  2.33225E-12  3.94404E-16  1.40844E+01  5.21970E-10  1.0E-07
  2.000E-04  3.04617E-12  3.94404E-16  1.40844E+01  5.96537E-10  1.0E-07
  2.250E-04  3.85530E-12  3.94404E-16  1.40844E+01  6.71104E-10  1.0E-07
  2.500E-04  4.75964E-12  3.94404E-16  1.40844E+01  7.45671E-10  1.0E-07
  2.750E-04  5.75917E-12  3.94404E-16  1.40844E+01  8.20238E-10  1.0E-07
  3.000E-04  6.85391E-12  3.94404E-16  1.40844E+01  8.94806E-10  1.0E-07
  3.250E-04  8.04379E-12  3.94404E-16  1.40844E+01  9.69373E-10  1.0E-07
  3.500E-04  9.32893E-12  3.94404E-16  1.40844E+01  1.04394E-09  1.0E-07
  3.750E-04  1.07092E-11  3.94404E-16  1.40844E+01  1.11851E-09  1.0E-07
  4.000E-04  1.21847E-11  3.94404E-16  1.40844E+01  1.19307E-09  1.0E-07
  4.250E-04  1.37554E-11  3.94404E-16  1.40844E+01  1.26764E-09  1.0E-07
  4.500E-04  1.54213E-11  3.94404E-16  1.40844E+01  1.34221E-09  1.0E-07
  4.750E-04  1.71823E-11  3.94404E-16  1.40844E+01  1.41678E-09  1.0E-07
  5.000E-04  1.90386E-11  3.94404E-16  1.40844E+01  1.49134E-09  1.0E-07
  5.250E-04  2.09900E-11  3.94404E-16  1.40844E+01  1.56591E-09  1.0E-07
  5.500E-04  2.30367E-11  3.94404E-16  1.40844E+01  1.64048E-09  1.0E-07
  5.750E-04  2.51785E-11  3.94404E-16  1.40844E+01  1.71504E-09  1.0E-07
  6.000E-04  2.74156E-11  3.94404E-16  1.40844E+01  1.78961E-09  1.0E-07
  6.250E-04  2.97478E-11  3.94404E-16  1.40844E+01  1.86418E-09  1.0E-07
  6.500E-04  3.21752E-11  3.94404E-16  1.40844E+01  1.93875E-09  1.0E-07
  6.750E-04  3.46979E-11  3.94404E-16  1.40844E+01  2.01331E-09  1.0E-07
  7.000E-04  3.73157E-11  3.94404E-16  1.40844E+01  2.08788E-09  1.0E-07
  7.250E-04  4.00286E-11  3.94404E-16  1.40844E+01  2.16245E-09  1.0E-07
  7.500E-04  4.28368E-11  3.94404E-16  1.40844E+01  2.23701E-09  1.0E-07
  7.750E-04  4.57402E-11  3.94404E-16  1.40844E+01  2.31158E-09  1.0E-07
