 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+06 eV = 1.10248E+05 a.u.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Electron density: Read from file ./database/z_026.den                                                                                                    
 #                   Number of data points =  763
 #                   Volume integral = 2.60000E+01
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Integrated cross sections:
 # Total elastic cross section = 2.00382E-18 cm**2 = 7.15578E-02 a0**2
 # 1st transport cross section = 8.25614E-23 cm**2 = 2.94832E-06 a0**2
 # 2nd transport cross section = 2.33211E-22 cm**2 = 8.32813E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.39876E-13  8.56613E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.39875E-13  8.56611E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.39875E-13  8.56609E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.39874E-13  8.56607E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.39874E-13  8.56604E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.39873E-13  8.56601E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.39872E-13  8.56598E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.39871E-13  8.56594E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.39870E-13  8.56590E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.39869E-13  8.56586E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.39867E-13  8.56581E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.39866E-13  8.56576E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.39864E-13  8.56571E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.39863E-13  8.56565E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.39861E-13  8.56558E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.39859E-13  8.56552E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.39857E-13  8.56544E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.39855E-13  8.56537E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.39853E-13  8.56529E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.39850E-13  8.56521E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.39848E-13  8.56512E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.39845E-13  8.56503E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.39843E-13  8.56494E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.39840E-13  8.56484E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.39837E-13  8.56474E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.39834E-13  8.56463E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.39831E-13  8.56452E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.39828E-13  8.56441E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.39825E-13  8.56429E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.39821E-13  8.56417E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.39818E-13  8.56405E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.39814E-13  8.56392E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.39810E-13  8.56379E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.39807E-13  8.56365E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.39803E-13  8.56351E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.39799E-13  8.56336E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.39794E-13  8.56322E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.39790E-13  8.56307E+03  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.39742E-13  8.56133E+03  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.39683E-13  8.55922E+03  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.39613E-13  8.55672E+03  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.39532E-13  8.55384E+03  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.39440E-13  8.55058E+03  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.39338E-13  8.54693E+03  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.39226E-13  8.54290E+03  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.39102E-13  8.53849E+03  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.38968E-13  8.53370E+03  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.38823E-13  8.52854E+03  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.38668E-13  8.52299E+03  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.38502E-13  8.51707E+03  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.38326E-13  8.51078E+03  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.38139E-13  8.50411E+03  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.37942E-13  8.49707E+03  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.37735E-13  8.48966E+03  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.37517E-13  8.48188E+03  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.37289E-13  8.47373E+03  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.37050E-13  8.46521E+03  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.36802E-13  8.45634E+03  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.36543E-13  8.44710E+03  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.36274E-13  8.43750E+03  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.35995E-13  8.42754E+03  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.35706E-13  8.41723E+03  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.35408E-13  8.40656E+03  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.35099E-13  8.39554E+03  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.34781E-13  8.38417E+03  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.34453E-13  8.37246E+03  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.34115E-13  8.36040E+03  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.33768E-13  8.34800E+03  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.33411E-13  8.33526E+03  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.33045E-13  8.32219E+03  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.32669E-13  8.30878E+03  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  2.32285E-13  8.29504E+03  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  2.31891E-13  8.28096E+03  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  2.31487E-13  8.26657E+03  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  2.26974E-13  8.10538E+03  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  2.21648E-13  7.91518E+03  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  2.15591E-13  7.69891E+03  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  2.08964E-13  7.46225E+03  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  2.01819E-13  7.20709E+03  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.94308E-13  6.93887E+03  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.86553E-13  6.66193E+03  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.78589E-13  6.37752E+03  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.70586E-13  6.09172E+03  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.62597E-13  5.80645E+03  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.54676E-13  5.52360E+03  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.46938E-13  5.24725E+03  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  1.39381E-13  4.97737E+03  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  1.32071E-13  4.71634E+03  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  1.25061E-13  4.46602E+03  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  1.18315E-13  4.22512E+03  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  1.11901E-13  3.99607E+03  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  1.05816E-13  3.77876E+03  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  1.00033E-13  3.57226E+03  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  9.45882E-14  3.37781E+03  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  8.94521E-14  3.19439E+03  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  8.46160E-14  3.02169E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  8.00851E-14  2.85989E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  7.58231E-14  2.70769E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  7.18315E-14  2.56515E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  6.81004E-14  2.43191E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  6.45920E-14  2.30662E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  6.13151E-14  2.18960E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  5.82480E-14  2.08007E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  5.53688E-14  1.97726E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  5.26782E-14  1.88117E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  5.01525E-14  1.79098E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  4.77825E-14  1.70634E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  4.55646E-14  1.62714E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  4.34735E-14  1.55247E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  4.15113E-14  1.48240E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  2.70858E-14  9.67253E+02  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  1.85446E-14  6.62240E+02  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  1.29014E-14  4.60716E+02  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  9.39404E-15  3.35467E+02  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  6.82055E-15  2.43566E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  5.05858E-15  1.80645E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  3.81156E-15  1.36113E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  2.87931E-15  1.02822E+02  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  2.21564E-15  7.91220E+01  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  1.72359E-15  6.15507E+01  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  1.35603E-15  4.84247E+01  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  1.08186E-15  3.86338E+01  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  8.72251E-16  3.11486E+01  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  7.11611E-16  2.54121E+01  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  5.87065E-16  2.09645E+01  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  4.88862E-16  1.74576E+01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  4.11113E-16  1.46811E+01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  3.48728E-16  1.24533E+01  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  2.98030E-16  1.06428E+01  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  2.56581E-16  9.16266E+00  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  2.22308E-16  7.93876E+00  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  1.93715E-16  6.91769E+00  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  1.69758E-16  6.06217E+00  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  1.49432E-16  5.33631E+00  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  1.32132E-16  4.71853E+00  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  1.17344E-16  4.19043E+00  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  1.04527E-16  3.73272E+00  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  9.34518E-17  3.33722E+00  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  8.38068E-17  2.99279E+00  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  7.53473E-17  2.69070E+00  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  6.79456E-17  2.42638E+00  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  6.14114E-17  2.19304E+00  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  5.56339E-17  1.98672E+00  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  5.05262E-17  1.80432E+00  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  4.59653E-17  1.64145E+00  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  4.19061E-17  1.49649E+00  0.00000E+00  9.0E-06
  1.100E+00  9.21439E-05  2.94734E-17  1.05251E+00  0.00000E+00  6.5E-06
  1.200E+00  1.09658E-04  2.12600E-17  7.59208E-01  0.00000E+00  3.3E-06
  1.300E+00  1.28695E-04  1.56853E-17  5.60134E-01  0.00000E+00  3.4E-07
  1.400E+00  1.49255E-04  1.18041E-17  4.21531E-01  0.00000E+00  1.8E-06
  1.500E+00  1.71338E-04  9.04396E-18  3.22966E-01  0.00000E+00  2.8E-06
  1.600E+00  1.94942E-04  7.03964E-18  2.51390E-01  0.00000E+00  2.8E-06
  1.700E+00  2.20070E-04  5.56026E-18  1.98561E-01  0.00000E+00  2.1E-06
  1.800E+00  2.46720E-04  4.45033E-18  1.58924E-01  0.00000E+00  1.0E-06
  1.900E+00  2.74892E-04  3.60495E-18  1.28735E-01  0.00000E+00  1.0E-07
  2.000E+00  3.04586E-04  2.95080E-18  1.05375E-01  0.00000E+00  8.5E-07
  2.100E+00  3.35803E-04  2.43940E-18  8.71124E-02  0.00000E+00  1.3E-06
  2.200E+00  3.68542E-04  2.03469E-18  7.26603E-02  0.00000E+00  1.3E-06
