 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+02 eV = 1.83747E+01 a.u.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Electron density: Read from file ./database/z_026.den                                                                                                    
 #                   Number of data points =  763
 #                   Volume integral = 2.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 2.53808E-16 cm**2 = 9.06364E+00 a0**2
 # 1st transport cross section = 7.10013E-17 cm**2 = 2.53550E+00 a0**2
 # 2nd transport cross section = 6.59786E-17 cm**2 = 2.35614E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.25177E-15  8.04120E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.25177E-15  8.04120E+01  1.05606E-09  1.0E-07
  1.250E-04  1.18994E-12  2.25177E-15  8.04120E+01  1.32007E-09  1.0E-07
  1.500E-04  1.71346E-12  2.25177E-15  8.04120E+01  1.58409E-09  1.0E-07
  1.750E-04  2.33225E-12  2.25177E-15  8.04120E+01  1.84810E-09  1.0E-07
  2.000E-04  3.04617E-12  2.25177E-15  8.04120E+01  2.11212E-09  1.0E-07
  2.250E-04  3.85530E-12  2.25177E-15  8.04120E+01  2.37613E-09  1.0E-07
  2.500E-04  4.75964E-12  2.25177E-15  8.04120E+01  2.64015E-09  1.0E-07
  2.750E-04  5.75917E-12  2.25177E-15  8.04120E+01  2.90416E-09  1.0E-07
  3.000E-04  6.85391E-12  2.25177E-15  8.04120E+01  3.16818E-09  1.0E-07
  3.250E-04  8.04379E-12  2.25177E-15  8.04120E+01  3.43219E-09  1.0E-07
  3.500E-04  9.32893E-12  2.25177E-15  8.04120E+01  3.69621E-09  1.0E-07
  3.750E-04  1.07092E-11  2.25177E-15  8.04120E+01  3.96022E-09  1.0E-07
  4.000E-04  1.21847E-11  2.25177E-15  8.04120E+01  4.22424E-09  1.0E-07
  4.250E-04  1.37554E-11  2.25177E-15  8.04120E+01  4.48825E-09  1.0E-07
  4.500E-04  1.54213E-11  2.25177E-15  8.04120E+01  4.75227E-09  1.0E-07
  4.750E-04  1.71823E-11  2.25177E-15  8.04120E+01  5.01628E-09  1.0E-07
  5.000E-04  1.90386E-11  2.25177E-15  8.04120E+01  5.28030E-09  1.0E-07
  5.250E-04  2.09900E-11  2.25177E-15  8.04120E+01  5.54431E-09  1.0E-07
  5.500E-04  2.30367E-11  2.25177E-15  8.04120E+01  5.80832E-09  1.0E-07
  5.750E-04  2.51785E-11  2.25177E-15  8.04120E+01  6.07234E-09  1.0E-07
  6.000E-04  2.74156E-11  2.25177E-15  8.04120E+01  6.33635E-09  1.0E-07
  6.250E-04  2.97478E-11  2.25177E-15  8.04120E+01  6.60037E-09  1.0E-07
  6.500E-04  3.21752E-11  2.25177E-15  8.04120E+01  6.86438E-09  1.0E-07
  6.750E-04  3.46979E-11  2.25177E-15  8.04120E+01  7.12840E-09  1.0E-07
  7.000E-04  3.73157E-11  2.25177E-15  8.04120E+01  7.39241E-09  1.0E-07
  7.250E-04  4.00286E-11  2.25177E-15  8.04120E+01  7.65643E-09  1.0E-07
  7.500E-04  4.28368E-11  2.25177E-15  8.04120E+01  7.92044E-09  1.0E-07
