 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+04 eV = 3.30744E+03 a.u.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Electron density: Read from file ./database/z_026.den                                                                                                    
 #                   Number of data points =  763
 #                   Volume integral = 2.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 6.85166E-18 cm**2 = 2.44677E-01 a0**2
 # 1st transport cross section = 2.10898E-20 cm**2 = 7.53129E-04 a0**2
 # 2nd transport cross section = 5.40037E-20 cm**2 = 1.92851E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.87245E-15  2.45420E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  6.87245E-15  2.45420E+02  3.04499E-10  1.0E-07
  1.250E-04  1.18994E-12  6.87245E-15  2.45420E+02  3.80624E-10  1.0E-07
  1.500E-04  1.71346E-12  6.87245E-15  2.45420E+02  4.56749E-10  1.0E-07
  1.750E-04  2.33225E-12  6.87245E-15  2.45420E+02  5.32874E-10  1.0E-07
  2.000E-04  3.04617E-12  6.87245E-15  2.45420E+02  6.08998E-10  1.0E-07
  2.250E-04  3.85530E-12  6.87245E-15  2.45420E+02  6.85123E-10  1.0E-07
  2.500E-04  4.75964E-12  6.87245E-15  2.45420E+02  7.61248E-10  1.0E-07
  2.750E-04  5.75917E-12  6.87245E-15  2.45420E+02  8.37373E-10  1.0E-07
  3.000E-04  6.85391E-12  6.87245E-15  2.45420E+02  9.13498E-10  1.0E-07
  3.250E-04  8.04379E-12  6.87245E-15  2.45420E+02  9.89623E-10  1.0E-07
  3.500E-04  9.32893E-12  6.87245E-15  2.45420E+02  1.06575E-09  1.0E-07
  3.750E-04  1.07092E-11  6.87245E-15  2.45419E+02  1.14187E-09  1.0E-07
  4.000E-04  1.21847E-11  6.87245E-15  2.45419E+02  1.21800E-09  1.0E-07
  4.250E-04  1.37554E-11  6.87244E-15  2.45419E+02  1.29412E-09  1.0E-07
  4.500E-04  1.54213E-11  6.87244E-15  2.45419E+02  1.37025E-09  1.0E-07
  4.750E-04  1.71823E-11  6.87244E-15  2.45419E+02  1.44637E-09  1.0E-07
  5.000E-04  1.90386E-11  6.87244E-15  2.45419E+02  1.52250E-09  1.0E-07
  5.250E-04  2.09900E-11  6.87244E-15  2.45419E+02  1.59862E-09  1.0E-07
  5.500E-04  2.30367E-11  6.87244E-15  2.45419E+02  1.67475E-09  1.0E-07
  5.750E-04  2.51785E-11  6.87244E-15  2.45419E+02  1.75087E-09  1.0E-07
  6.000E-04  2.74156E-11  6.87244E-15  2.45419E+02  1.82700E-09  1.0E-07
  6.250E-04  2.97478E-11  6.87244E-15  2.45419E+02  1.90312E-09  1.0E-07
  6.500E-04  3.21752E-11  6.87244E-15  2.45419E+02  1.97925E-09  1.0E-07
  6.750E-04  3.46979E-11  6.87244E-15  2.45419E+02  2.05537E-09  1.0E-07
  7.000E-04  3.73157E-11  6.87244E-15  2.45419E+02  2.13150E-09  1.0E-07
  7.250E-04  4.00286E-11  6.87244E-15  2.45419E+02  2.20762E-09  1.0E-07
  7.500E-04  4.28368E-11  6.87244E-15  2.45419E+02  2.28375E-09  1.0E-07
  7.750E-04  4.57402E-11  6.87244E-15  2.45419E+02  2.35987E-09  1.0E-07
  8.000E-04  4.87388E-11  6.87244E-15  2.45419E+02  2.43600E-09  1.0E-07
  8.250E-04  5.18325E-11  6.87243E-15  2.45419E+02  2.51212E-09  1.0E-07
  8.500E-04  5.50215E-11  6.87243E-15  2.45419E+02  2.58825E-09  1.0E-07
  8.750E-04  5.83057E-11  6.87243E-15  2.45419E+02  2.66437E-09  1.0E-07
  9.000E-04  6.16850E-11  6.87243E-15  2.45419E+02  2.74050E-09  1.0E-07
  9.250E-04  6.51595E-11  6.87243E-15  2.45419E+02  2.81662E-09  1.0E-07
  9.500E-04  6.87293E-11  6.87243E-15  2.45419E+02  2.89275E-09  1.0E-07
  9.750E-04  7.23943E-11  6.87243E-15  2.45419E+02  2.96887E-09  1.0E-07
  1.000E-03  7.61544E-11  6.87243E-15  2.45419E+02  3.04500E-09  1.0E-07
  1.250E-03  1.18991E-10  6.87242E-15  2.45418E+02  3.80625E-09  1.0E-07
  1.500E-03  1.71347E-10  6.87240E-15  2.45418E+02  4.56750E-09  1.0E-07
  1.750E-03  2.33223E-10  6.87239E-15  2.45417E+02  5.32876E-09  1.0E-07
  2.000E-03  3.04617E-10  6.87237E-15  2.45417E+02  6.09002E-09  1.0E-07
  2.250E-03  3.85531E-10  6.87234E-15  2.45416E+02  6.85128E-09  1.0E-07
  2.500E-03  4.75965E-10  6.87232E-15  2.45415E+02  7.61254E-09  1.0E-07
  2.750E-03  5.75917E-10  6.87229E-15  2.45414E+02  8.37381E-09  1.0E-07
  3.000E-03  6.85389E-10  6.87226E-15  2.45413E+02  9.13508E-09  1.0E-07
  3.250E-03  8.04380E-10  6.87223E-15  2.45412E+02  9.89636E-09  1.0E-07
  3.500E-03  9.32891E-10  6.87220E-15  2.45411E+02  1.06576E-08  1.0E-07
  3.750E-03  1.07092E-09  6.87216E-15  2.45409E+02  1.14189E-08  1.0E-07
  4.000E-03  1.21847E-09  6.87212E-15  2.45408E+02  1.21802E-08  1.0E-07
  4.250E-03  1.37554E-09  6.87207E-15  2.45406E+02  1.29415E-08  1.0E-07
  4.500E-03  1.54213E-09  6.87203E-15  2.45405E+02  1.37028E-08  1.0E-07
  4.750E-03  1.71823E-09  6.87198E-15  2.45403E+02  1.44641E-08  1.0E-07
  5.000E-03  1.90386E-09  6.87193E-15  2.45401E+02  1.52255E-08  1.0E-07
  5.250E-03  2.09900E-09  6.87188E-15  2.45399E+02  1.59868E-08  1.0E-07
  5.500E-03  2.30367E-09  6.87182E-15  2.45397E+02  1.67481E-08  1.0E-07
  5.750E-03  2.51785E-09  6.87176E-15  2.45395E+02  1.75095E-08  1.0E-07
  6.000E-03  2.74156E-09  6.87170E-15  2.45393E+02  1.82708E-08  1.0E-07
  6.250E-03  2.97478E-09  6.87164E-15  2.45391E+02  1.90322E-08  1.0E-07
  6.500E-03  3.21752E-09  6.87157E-15  2.45388E+02  1.97935E-08  1.0E-07
  6.750E-03  3.46978E-09  6.87151E-15  2.45386E+02  2.05549E-08  1.0E-07
  7.000E-03  3.73156E-09  6.87143E-15  2.45383E+02  2.13163E-08  1.0E-07
  7.250E-03  4.00286E-09  6.87136E-15  2.45381E+02  2.20777E-08  1.0E-07
  7.500E-03  4.28368E-09  6.87128E-15  2.45378E+02  2.28391E-08  1.0E-07
  7.750E-03  4.57402E-09  6.87121E-15  2.45375E+02  2.36005E-08  1.0E-07
  8.000E-03  4.87388E-09  6.87112E-15  2.45372E+02  2.43620E-08  1.0E-07
  8.250E-03  5.18326E-09  6.87104E-15  2.45369E+02  2.51234E-08  1.0E-07
  8.500E-03  5.50215E-09  6.87095E-15  2.45366E+02  2.58849E-08  1.0E-07
  8.750E-03  5.83057E-09  6.87086E-15  2.45363E+02  2.66463E-08  1.0E-07
  9.000E-03  6.16850E-09  6.87077E-15  2.45360E+02  2.74078E-08  1.0E-07
  9.250E-03  6.51596E-09  6.87068E-15  2.45356E+02  2.81693E-08  1.0E-07
  9.500E-03  6.87293E-09  6.87058E-15  2.45353E+02  2.89308E-08  1.0E-07
  9.750E-03  7.23942E-09  6.87048E-15  2.45349E+02  2.96924E-08  1.0E-07
  1.000E-02  7.61544E-09  6.87038E-15  2.45346E+02  3.04539E-08  1.0E-07
  1.250E-02  1.18991E-08  6.86922E-15  2.45304E+02  3.80702E-08  1.0E-07
  1.500E-02  1.71347E-08  6.86780E-15  2.45253E+02  4.56883E-08  1.0E-07
  1.750E-02  2.33223E-08  6.86612E-15  2.45194E+02  5.33087E-08  1.0E-07
  2.000E-02  3.04617E-08  6.86418E-15  2.45124E+02  6.09316E-08  1.0E-07
  2.250E-02  3.85531E-08  6.86199E-15  2.45046E+02  6.85576E-08  1.0E-07
  2.500E-02  4.75965E-08  6.85954E-15  2.44959E+02  7.61869E-08  1.0E-07
  2.750E-02  5.75917E-08  6.85683E-15  2.44862E+02  8.38199E-08  1.0E-07
  3.000E-02  6.85389E-08  6.85387E-15  2.44756E+02  9.14570E-08  1.0E-07
  3.250E-02  8.04380E-08  6.85065E-15  2.44641E+02  9.90986E-08  1.0E-07
  3.500E-02  9.32891E-08  6.84718E-15  2.44517E+02  1.06745E-07  1.0E-07
  3.750E-02  1.07092E-07  6.84345E-15  2.44384E+02  1.14397E-07  1.0E-07
  4.000E-02  1.21847E-07  6.83948E-15  2.44242E+02  1.22054E-07  1.0E-07
  4.250E-02  1.37554E-07  6.83524E-15  2.44091E+02  1.29717E-07  1.0E-07
  4.500E-02  1.54213E-07  6.83076E-15  2.43931E+02  1.37387E-07  1.0E-07
  4.750E-02  1.71823E-07  6.82602E-15  2.43762E+02  1.45063E-07  1.0E-07
  5.000E-02  1.90386E-07  6.82104E-15  2.43584E+02  1.52746E-07  1.0E-07
  5.250E-02  2.09900E-07  6.81580E-15  2.43397E+02  1.60437E-07  1.0E-07
  5.500E-02  2.30367E-07  6.81032E-15  2.43201E+02  1.68135E-07  1.0E-07
  5.750E-02  2.51785E-07  6.80459E-15  2.42996E+02  1.75842E-07  1.0E-07
  6.000E-02  2.74156E-07  6.79861E-15  2.42783E+02  1.83557E-07  1.0E-07
  6.250E-02  2.97478E-07  6.79239E-15  2.42561E+02  1.91281E-07  1.0E-07
  6.500E-02  3.21752E-07  6.78593E-15  2.42330E+02  1.99015E-07  1.0E-07
  6.750E-02  3.46978E-07  6.77922E-15  2.42090E+02  2.06758E-07  1.0E-07
  7.000E-02  3.73156E-07  6.77226E-15  2.41842E+02  2.14511E-07  1.0E-07
  7.250E-02  4.00286E-07  6.76507E-15  2.41585E+02  2.22274E-07  1.0E-07
  7.500E-02  4.28368E-07  6.75764E-15  2.41320E+02  2.30048E-07  1.0E-07
  7.750E-02  4.57402E-07  6.74997E-15  2.41046E+02  2.37834E-07  1.0E-07
  8.000E-02  4.87388E-07  6.74206E-15  2.40763E+02  2.45630E-07  1.0E-07
  8.250E-02  5.18325E-07  6.73392E-15  2.40473E+02  2.53439E-07  1.0E-07
  8.500E-02  5.50215E-07  6.72555E-15  2.40174E+02  2.61260E-07  1.0E-07
  8.750E-02  5.83057E-07  6.71694E-15  2.39866E+02  2.69093E-07  1.0E-07
  9.000E-02  6.16850E-07  6.70810E-15  2.39550E+02  2.76940E-07  1.0E-07
  9.250E-02  6.51596E-07  6.69903E-15  2.39227E+02  2.84799E-07  1.0E-07
  9.500E-02  6.87293E-07  6.68973E-15  2.38895E+02  2.92672E-07  1.0E-07
  9.750E-02  7.23942E-07  6.68021E-15  2.38555E+02  3.00560E-07  1.0E-07
  1.000E-01  7.61543E-07  6.67046E-15  2.38206E+02  3.08462E-07  1.0E-07
  1.250E-01  1.18991E-06  6.56100E-15  2.34298E+02  3.88349E-07  1.0E-07
  1.500E-01  1.71347E-06  6.43110E-15  2.29659E+02  4.70068E-07  1.0E-07
  1.750E-01  2.33223E-06  6.28286E-15  2.24365E+02  5.53968E-07  1.0E-07
  2.000E-01  3.04617E-06  6.11858E-15  2.18498E+02  6.40388E-07  1.0E-07
  2.250E-01  3.85531E-06  5.94068E-15  2.12145E+02  7.29654E-07  1.0E-07
  2.500E-01  4.75964E-06  5.75163E-15  2.05394E+02  8.22079E-07  1.0E-07
  2.750E-01  5.75916E-06  5.55390E-15  1.98333E+02  9.17960E-07  1.0E-07
  3.000E-01  6.85388E-06  5.34986E-15  1.91047E+02  1.01758E-06  1.0E-07
  3.250E-01  8.04378E-06  5.14176E-15  1.83616E+02  1.12119E-06  1.0E-07
  3.500E-01  9.32888E-06  4.93172E-15  1.76115E+02  1.22903E-06  1.0E-07
  3.750E-01  1.07092E-05  4.72161E-15  1.68612E+02  1.34133E-06  1.0E-07
  4.000E-01  1.21846E-05  4.51314E-15  1.61167E+02  1.45827E-06  1.0E-07
  4.250E-01  1.37553E-05  4.30777E-15  1.53833E+02  1.58004E-06  1.0E-07
  4.500E-01  1.54212E-05  4.10673E-15  1.46654E+02  1.70677E-06  1.0E-07
  4.750E-01  1.71822E-05  3.91105E-15  1.39666E+02  1.83862E-06  1.0E-07
  5.000E-01  1.90385E-05  3.72154E-15  1.32899E+02  1.97567E-06  1.0E-07
  5.250E-01  2.09899E-05  3.53885E-15  1.26375E+02  2.11802E-06  1.0E-07
  5.500E-01  2.30365E-05  3.36341E-15  1.20109E+02  2.26573E-06  1.0E-07
  5.750E-01  2.51783E-05  3.19552E-15  1.14114E+02  2.41884E-06  1.0E-07
  6.000E-01  2.74153E-05  3.03535E-15  1.08394E+02  2.57737E-06  1.0E-07
  6.250E-01  2.97475E-05  2.88295E-15  1.02952E+02  2.74134E-06  1.0E-07
  6.500E-01  3.21749E-05  2.73827E-15  9.77855E+01  2.91074E-06  1.0E-07
  6.750E-01  3.46974E-05  2.60119E-15  9.28903E+01  3.08553E-06  1.0E-07
  7.000E-01  3.73152E-05  2.47152E-15  8.82597E+01  3.26568E-06  1.0E-07
  7.250E-01  4.00281E-05  2.34903E-15  8.38853E+01  3.45116E-06  1.0E-07
  7.500E-01  4.28362E-05  2.23344E-15  7.97576E+01  3.64189E-06  1.0E-07
