 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.50000E+01 eV = 5.51240E-01 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file ./database/z_029.den                                                                                                    
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 2.44681E-16 cm**2 = 8.73773E+00 a0**2
 # 1st transport cross section = 2.84000E-16 cm**2 = 1.01418E+01 a0**2
 # 2nd transport cross section = 9.46583E-17 cm**2 = 3.38031E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.40916E-16  5.03222E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.40916E-16  5.03222E+00  2.27244E-10  1.0E-07
  1.250E-04  1.18994E-12  1.40916E-16  5.03222E+00  2.84055E-10  1.0E-07
  1.500E-04  1.71346E-12  1.40916E-16  5.03222E+00  3.40866E-10  1.0E-07
  1.750E-04  2.33225E-12  1.40916E-16  5.03222E+00  3.97677E-10  1.0E-07
  2.000E-04  3.04617E-12  1.40916E-16  5.03222E+00  4.54488E-10  1.0E-07
  2.250E-04  3.85530E-12  1.40916E-16  5.03222E+00  5.11298E-10  1.0E-07
  2.500E-04  4.75964E-12  1.40916E-16  5.03222E+00  5.68109E-10  1.0E-07
  2.750E-04  5.75917E-12  1.40916E-16  5.03222E+00  6.24920E-10  1.0E-07
  3.000E-04  6.85391E-12  1.40916E-16  5.03222E+00  6.81731E-10  1.0E-07
  3.250E-04  8.04379E-12  1.40916E-16  5.03222E+00  7.38542E-10  1.0E-07
  3.500E-04  9.32893E-12  1.40916E-16  5.03222E+00  7.95353E-10  1.0E-07
  3.750E-04  1.07092E-11  1.40916E-16  5.03222E+00  8.52164E-10  1.0E-07
  4.000E-04  1.21847E-11  1.40916E-16  5.03222E+00  9.08975E-10  1.0E-07
  4.250E-04  1.37554E-11  1.40916E-16  5.03222E+00  9.65786E-10  1.0E-07
  4.500E-04  1.54213E-11  1.40916E-16  5.03222E+00  1.02260E-09  1.0E-07
  4.750E-04  1.71823E-11  1.40916E-16  5.03222E+00  1.07941E-09  1.0E-07
  5.000E-04  1.90386E-11  1.40916E-16  5.03222E+00  1.13622E-09  1.0E-07
  5.250E-04  2.09900E-11  1.40916E-16  5.03222E+00  1.19303E-09  1.0E-07
  5.500E-04  2.30367E-11  1.40916E-16  5.03222E+00  1.24984E-09  1.0E-07
  5.750E-04  2.51785E-11  1.40916E-16  5.03222E+00  1.30665E-09  1.0E-07
  6.000E-04  2.74156E-11  1.40916E-16  5.03222E+00  1.36346E-09  1.0E-07
  6.250E-04  2.97478E-11  1.40916E-16  5.03222E+00  1.42027E-09  1.0E-07
  6.500E-04  3.21752E-11  1.40916E-16  5.03222E+00  1.47708E-09  1.0E-07
  6.750E-04  3.46979E-11  1.40916E-16  5.03222E+00  1.53390E-09  1.0E-07
  7.000E-04  3.73157E-11  1.40916E-16  5.03222E+00  1.59071E-09  1.0E-07
  7.250E-04  4.00286E-11  1.40916E-16  5.03222E+00  1.64752E-09  1.0E-07
  7.500E-04  4.28368E-11  1.40916E-16  5.03222E+00  1.70433E-09  1.0E-07
  7.750E-04  4.57402E-11  1.40916E-16  5.03222E+00  1.76114E-09  1.0E-07
  8.000E-04  4.87388E-11  1.40916E-16  5.03222E+00  1.81795E-09  1.0E-07
  8.250E-04  5.18325E-11  1.40916E-16  5.03222E+00  1.87476E-09  1.0E-07
  8.500E-04  5.50215E-11  1.40916E-16  5.03222E+00  1.93157E-09  1.0E-07
  8.750E-04  5.83057E-11  1.40916E-16  5.03222E+00  1.98838E-09  1.0E-07
  9.000E-04  6.16850E-11  1.40916E-16  5.03222E+00  2.04519E-09  1.0E-07
  9.250E-04  6.51595E-11  1.40916E-16  5.03222E+00  2.10200E-09  1.0E-07
  9.500E-04  6.87293E-11  1.40916E-16  5.03222E+00  2.15882E-09  1.0E-07
  9.750E-04  7.23943E-11  1.40916E-16  5.03222E+00  2.21563E-09  1.0E-07
  1.000E-03  7.61544E-11  1.40916E-16  5.03222E+00  2.27244E-09  1.0E-07
  1.250E-03  1.18991E-10  1.40916E-16  5.03222E+00  2.84055E-09  1.0E-07
  1.500E-03  1.71347E-10  1.40916E-16  5.03222E+00  3.40866E-09  1.0E-07
  1.750E-03  2.33223E-10  1.40916E-16  5.03222E+00  3.97677E-09  1.0E-07
  2.000E-03  3.04617E-10  1.40916E-16  5.03222E+00  4.54487E-09  1.0E-07
  2.250E-03  3.85531E-10  1.40916E-16  5.03222E+00  5.11298E-09  1.0E-07
  2.500E-03  4.75965E-10  1.40916E-16  5.03222E+00  5.68109E-09  1.0E-07
  2.750E-03  5.75917E-10  1.40916E-16  5.03222E+00  6.24920E-09  1.0E-07
  3.000E-03  6.85389E-10  1.40916E-16  5.03222E+00  6.81731E-09  1.0E-07
  3.250E-03  8.04380E-10  1.40916E-16  5.03222E+00  7.38542E-09  1.0E-07
  3.500E-03  9.32891E-10  1.40916E-16  5.03222E+00  7.95353E-09  1.0E-07
  3.750E-03  1.07092E-09  1.40916E-16  5.03222E+00  8.52164E-09  1.0E-07
  4.000E-03  1.21847E-09  1.40916E-16  5.03222E+00  9.08974E-09  1.0E-07
  4.250E-03  1.37554E-09  1.40916E-16  5.03222E+00  9.65785E-09  1.0E-07
  4.500E-03  1.54213E-09  1.40916E-16  5.03222E+00  1.02260E-08  1.0E-07
  4.750E-03  1.71823E-09  1.40916E-16  5.03222E+00  1.07941E-08  1.0E-07
  5.000E-03  1.90386E-09  1.40916E-16  5.03222E+00  1.13622E-08  1.0E-07
  5.250E-03  2.09900E-09  1.40916E-16  5.03222E+00  1.19303E-08  1.0E-07
  5.500E-03  2.30367E-09  1.40916E-16  5.03222E+00  1.24984E-08  1.0E-07
  5.750E-03  2.51785E-09  1.40916E-16  5.03222E+00  1.30665E-08  1.0E-07
  6.000E-03  2.74156E-09  1.40916E-16  5.03222E+00  1.36346E-08  1.0E-07
  6.250E-03  2.97478E-09  1.40916E-16  5.03222E+00  1.42027E-08  1.0E-07
  6.500E-03  3.21752E-09  1.40916E-16  5.03222E+00  1.47708E-08  1.0E-07
  6.750E-03  3.46978E-09  1.40916E-16  5.03222E+00  1.53389E-08  1.0E-07
  7.000E-03  3.73156E-09  1.40916E-16  5.03222E+00  1.59070E-08  1.0E-07
  7.250E-03  4.00286E-09  1.40916E-16  5.03222E+00  1.64751E-08  1.0E-07
  7.500E-03  4.28368E-09  1.40916E-16  5.03222E+00  1.70432E-08  1.0E-07
  7.750E-03  4.57402E-09  1.40916E-16  5.03222E+00  1.76113E-08  1.0E-07
  8.000E-03  4.87388E-09  1.40916E-16  5.03222E+00  1.81794E-08  1.0E-07
  8.250E-03  5.18326E-09  1.40916E-16  5.03222E+00  1.87476E-08  1.0E-07
  8.500E-03  5.50215E-09  1.40916E-16  5.03222E+00  1.93157E-08  1.0E-07
  8.750E-03  5.83057E-09  1.40916E-16  5.03222E+00  1.98838E-08  1.0E-07
  9.000E-03  6.16850E-09  1.40916E-16  5.03222E+00  2.04519E-08  1.0E-07
  9.250E-03  6.51596E-09  1.40916E-16  5.03222E+00  2.10200E-08  1.0E-07
  9.500E-03  6.87293E-09  1.40916E-16  5.03222E+00  2.15881E-08  1.0E-07
  9.750E-03  7.23942E-09  1.40916E-16  5.03222E+00  2.21562E-08  1.0E-07
  1.000E-02  7.61544E-09  1.40916E-16  5.03222E+00  2.27243E-08  1.0E-07
  1.250E-02  1.18991E-08  1.40916E-16  5.03222E+00  2.84053E-08  1.0E-07
  1.500E-02  1.71347E-08  1.40916E-16  5.03222E+00  3.40862E-08  1.0E-07
  1.750E-02  2.33223E-08  1.40916E-16  5.03222E+00  3.97671E-08  1.0E-07
  2.000E-02  3.04617E-08  1.40916E-16  5.03222E+00  4.54479E-08  1.0E-07
  2.250E-02  3.85531E-08  1.40916E-16  5.03221E+00  5.11287E-08  1.0E-07
  2.500E-02  4.75965E-08  1.40916E-16  5.03221E+00  5.68094E-08  1.0E-07
  2.750E-02  5.75917E-08  1.40916E-16  5.03221E+00  6.24899E-08  1.0E-07
  3.000E-02  6.85389E-08  1.40916E-16  5.03221E+00  6.81704E-08  1.0E-07
  3.250E-02  8.04380E-08  1.40916E-16  5.03221E+00  7.38508E-08  1.0E-07
  3.500E-02  9.32891E-08  1.40916E-16  5.03221E+00  7.95310E-08  1.0E-07
  3.750E-02  1.07092E-07  1.40916E-16  5.03221E+00  8.52111E-08  1.0E-07
  4.000E-02  1.21847E-07  1.40916E-16  5.03221E+00  9.08911E-08  1.0E-07
  4.250E-02  1.37554E-07  1.40916E-16  5.03220E+00  9.65709E-08  1.0E-07
  4.500E-02  1.54213E-07  1.40916E-16  5.03220E+00  1.02251E-07  1.0E-07
  4.750E-02  1.71823E-07  1.40916E-16  5.03220E+00  1.07930E-07  1.0E-07
  5.000E-02  1.90386E-07  1.40916E-16  5.03220E+00  1.13609E-07  1.0E-07
  5.250E-02  2.09900E-07  1.40916E-16  5.03220E+00  1.19288E-07  1.0E-07
  5.500E-02  2.30367E-07  1.40916E-16  5.03219E+00  1.24967E-07  1.0E-07
  5.750E-02  2.51785E-07  1.40916E-16  5.03219E+00  1.30646E-07  1.0E-07
