 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+06 eV = 1.83747E+05 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file ./database/z_029.den                                                                                                    
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Integrated cross sections:
 # Total elastic cross section = 1.86162E-18 cm**2 = 6.64797E-02 a0**2
 # 1st transport cross section = 4.38358E-23 cm**2 = 1.56540E-06 a0**2
 # 2nd transport cross section = 1.24245E-22 cm**2 = 4.43685E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.59563E-13  1.28402E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.59560E-13  1.28401E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.59559E-13  1.28401E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.59557E-13  1.28400E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.59555E-13  1.28399E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.59552E-13  1.28398E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.59549E-13  1.28397E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.59546E-13  1.28396E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.59543E-13  1.28395E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.59539E-13  1.28394E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.59535E-13  1.28392E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.59531E-13  1.28391E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.59526E-13  1.28389E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.59521E-13  1.28387E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.59515E-13  1.28385E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.59510E-13  1.28383E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.59504E-13  1.28381E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.59497E-13  1.28379E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.59490E-13  1.28376E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.59483E-13  1.28374E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.59476E-13  1.28371E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.59468E-13  1.28368E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.59460E-13  1.28366E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.59452E-13  1.28363E+04  0.00000E+00  1.0E-05
