 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+02 eV = 2.20496E+01 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file ./database/z_029.den                                                                                                    
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 1.77557E-16 cm**2 = 6.34068E+00 a0**2
 # 1st transport cross section = 6.06594E-17 cm**2 = 2.16619E+00 a0**2
 # 2nd transport cross section = 5.25322E-17 cm**2 = 1.87596E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.26361E-15  4.51242E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.26361E-15  4.51242E+01  1.57718E-09  1.0E-07
  1.250E-04  1.18994E-12  1.26361E-15  4.51242E+01  1.97148E-09  1.0E-07
  1.500E-04  1.71346E-12  1.26361E-15  4.51242E+01  2.36577E-09  1.0E-07
  1.750E-04  2.33225E-12  1.26361E-15  4.51242E+01  2.76007E-09  1.0E-07
  2.000E-04  3.04617E-12  1.26361E-15  4.51242E+01  3.15436E-09  1.0E-07
  2.250E-04  3.85530E-12  1.26361E-15  4.51242E+01  3.54866E-09  1.0E-07
  2.500E-04  4.75964E-12  1.26361E-15  4.51242E+01  3.94295E-09  1.0E-07
  2.750E-04  5.75917E-12  1.26361E-15  4.51242E+01  4.33725E-09  1.0E-07
  3.000E-04  6.85391E-12  1.26361E-15  4.51242E+01  4.73154E-09  1.0E-07
  3.250E-04  8.04379E-12  1.26361E-15  4.51242E+01  5.12584E-09  1.0E-07
  3.500E-04  9.32893E-12  1.26361E-15  4.51242E+01  5.52014E-09  1.0E-07
  3.750E-04  1.07092E-11  1.26361E-15  4.51242E+01  5.91443E-09  1.0E-07
