 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+04 eV = 2.93995E+03 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file ./database/z_029.den                                                                                                    
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 6.94487E-18 cm**2 = 2.48006E-01 a0**2
 # 1st transport cross section = 3.15979E-20 cm**2 = 1.12838E-03 a0**2
 # 2nd transport cross section = 7.99554E-20 cm**2 = 2.85526E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.99199E-15  1.42557E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.99199E-15  1.42557E+02  5.00815E-10  1.0E-07
  1.250E-04  1.18994E-12  3.99199E-15  1.42557E+02  6.26019E-10  1.0E-07
  1.500E-04  1.71346E-12  3.99199E-15  1.42557E+02  7.51223E-10  1.0E-07
  1.750E-04  2.33225E-12  3.99199E-15  1.42557E+02  8.76427E-10  1.0E-07
  2.000E-04  3.04617E-12  3.99199E-15  1.42557E+02  1.00163E-09  1.0E-07
  2.250E-04  3.85530E-12  3.99199E-15  1.42557E+02  1.12683E-09  1.0E-07
  2.500E-04  4.75964E-12  3.99199E-15  1.42557E+02  1.25204E-09  1.0E-07
  2.750E-04  5.75917E-12  3.99199E-15  1.42557E+02  1.37724E-09  1.0E-07
  3.000E-04  6.85391E-12  3.99199E-15  1.42557E+02  1.50245E-09  1.0E-07
  3.250E-04  8.04379E-12  3.99199E-15  1.42557E+02  1.62765E-09  1.0E-07
  3.500E-04  9.32893E-12  3.99199E-15  1.42557E+02  1.75285E-09  1.0E-07
  3.750E-04  1.07092E-11  3.99199E-15  1.42557E+02  1.87806E-09  1.0E-07
  4.000E-04  1.21847E-11  3.99199E-15  1.42557E+02  2.00326E-09  1.0E-07
  4.250E-04  1.37554E-11  3.99199E-15  1.42557E+02  2.12846E-09  1.0E-07
  4.500E-04  1.54213E-11  3.99199E-15  1.42556E+02  2.25367E-09  1.0E-07
  4.750E-04  1.71823E-11  3.99199E-15  1.42556E+02  2.37887E-09  1.0E-07
  5.000E-04  1.90386E-11  3.99199E-15  1.42556E+02  2.50408E-09  1.0E-07
  5.250E-04  2.09900E-11  3.99199E-15  1.42556E+02  2.62928E-09  1.0E-07
  5.500E-04  2.30367E-11  3.99199E-15  1.42556E+02  2.75448E-09  1.0E-07
  5.750E-04  2.51785E-11  3.99199E-15  1.42556E+02  2.87969E-09  1.0E-07
