 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file ./database/z_029.den                                                                                                    
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 3.66412E-17 cm**2 = 1.30848E+00 a0**2
 # 1st transport cross section = 1.26423E-18 cm**2 = 4.51463E-02 a0**2
 # 2nd transport cross section = 2.67977E-18 cm**2 = 9.56962E-02 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.52225E-15  9.00712E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.52225E-15  9.00712E+01  3.95543E-10  1.0E-07
  1.250E-04  1.18994E-12  2.52225E-15  9.00712E+01  4.94429E-10  1.0E-07
  1.500E-04  1.71346E-12  2.52225E-15  9.00712E+01  5.93315E-10  1.0E-07
  1.750E-04  2.33225E-12  2.52225E-15  9.00712E+01  6.92201E-10  1.0E-07
  2.000E-04  3.04617E-12  2.52225E-15  9.00712E+01  7.91087E-10  1.0E-07
  2.250E-04  3.85530E-12  2.52225E-15  9.00712E+01  8.89972E-10  1.0E-07
  2.500E-04  4.75964E-12  2.52225E-15  9.00712E+01  9.88858E-10  1.0E-07
  2.750E-04  5.75917E-12  2.52225E-15  9.00712E+01  1.08774E-09  1.0E-07
  3.000E-04  6.85391E-12  2.52225E-15  9.00712E+01  1.18663E-09  1.0E-07
  3.250E-04  8.04379E-12  2.52225E-15  9.00712E+01  1.28552E-09  1.0E-07
  3.500E-04  9.32893E-12  2.52225E-15  9.00712E+01  1.38440E-09  1.0E-07
  3.750E-04  1.07092E-11  2.52225E-15  9.00712E+01  1.48329E-09  1.0E-07
  4.000E-04  1.21847E-11  2.52225E-15  9.00712E+01  1.58217E-09  1.0E-07
  4.250E-04  1.37554E-11  2.52225E-15  9.00712E+01  1.68106E-09  1.0E-07
  4.500E-04  1.54213E-11  2.52225E-15  9.00712E+01  1.77994E-09  1.0E-07
  4.750E-04  1.71823E-11  2.52225E-15  9.00712E+01  1.87883E-09  1.0E-07
  5.000E-04  1.90386E-11  2.52225E-15  9.00712E+01  1.97772E-09  1.0E-07
  5.250E-04  2.09900E-11  2.52225E-15  9.00712E+01  2.07660E-09  1.0E-07
  5.500E-04  2.30367E-11  2.52225E-15  9.00712E+01  2.17549E-09  1.0E-07
  5.750E-04  2.51785E-11  2.52225E-15  9.00712E+01  2.27437E-09  1.0E-07
  6.000E-04  2.74156E-11  2.52225E-15  9.00712E+01  2.37326E-09  1.0E-07
  6.250E-04  2.97478E-11  2.52225E-15  9.00712E+01  2.47215E-09  1.0E-07
