 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  29,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+01  5.74342E-16  5.27251E-16  3.40725E-16  0.00000E+00  1.0E-07
   1.50000E+01  2.44681E-16  2.84000E-16  9.46583E-17  0.00000E+00  1.0E-07
   2.00000E+01  1.54234E-16  1.95121E-16  4.89907E-17  0.00000E+00  1.0E-07
   2.50000E+01  1.34505E-16  1.56643E-16  5.53302E-17  0.00000E+00  1.0E-07
   3.00000E+01  1.39720E-16  1.39735E-16  7.63189E-17  0.00000E+00  1.0E-07
   3.50000E+01  1.53924E-16  1.33222E-16  1.00039E-16  0.00000E+00  1.0E-07
   4.00000E+01  1.70810E-16  1.32015E-16  1.22319E-16  0.00000E+00  1.0E-07
   4.50000E+01  1.87734E-16  1.33561E-16  1.41750E-16  0.00000E+00  1.0E-07
   5.00000E+01  2.03589E-16  1.36496E-16  1.58000E-16  0.00000E+00  1.0E-07
   5.50000E+01  2.17958E-16  1.40058E-16  1.71172E-16  0.00000E+00  1.0E-07
   6.00000E+01  2.30737E-16  1.43811E-16  1.81538E-16  0.00000E+00  1.0E-07
   6.50000E+01  2.41967E-16  1.47503E-16  1.89420E-16  0.00000E+00  1.0E-07
   7.00000E+01  2.51753E-16  1.50987E-16  1.95143E-16  0.00000E+00  1.0E-07
   7.50000E+01  2.60221E-16  1.54182E-16  1.99011E-16  0.00000E+00  1.0E-07
   8.00000E+01  2.67501E-16  1.57044E-16  2.01302E-16  0.00000E+00  1.0E-07
   8.50000E+01  2.73718E-16  1.59555E-16  2.02262E-16  0.00000E+00  5.0E-07
   9.00000E+01  2.78987E-16  1.61715E-16  2.02108E-16  0.00000E+00  1.0E-07
   9.50000E+01  2.83410E-16  1.63528E-16  2.01029E-16  0.00000E+00  1.0E-07
   1.00000E+02  2.87079E-16  1.65006E-16  1.99191E-16  0.00000E+00  1.0E-07
   2.00000E+02  2.83731E-16  1.52036E-16  1.25876E-16  0.00000E+00  1.0E-07
   3.00000E+02  2.47157E-16  1.18927E-16  8.52107E-17  0.00000E+00  1.0E-07
   4.00000E+02  2.17051E-16  9.27736E-17  6.79641E-17  0.00000E+00  1.0E-07
   5.00000E+02  1.94607E-16  7.41024E-17  5.87725E-17  0.00000E+00  1.0E-07
   6.00000E+02  1.77557E-16  6.06594E-17  5.25322E-17  0.00000E+00  1.0E-07
   7.00000E+02  1.64160E-16  5.07166E-17  4.76344E-17  0.00000E+00  1.0E-07
   8.00000E+02  1.53301E-16  4.31569E-17  4.35208E-17  0.00000E+00  1.0E-07
   9.00000E+02  1.44269E-16  3.72658E-17  3.99614E-17  0.00000E+00  1.1E-07
   1.00000E+03  1.36596E-16  3.25767E-17  3.68387E-17  0.00000E+00  1.2E-07
   2.00000E+03  9.41239E-17  1.26450E-17  1.90964E-17  0.00000E+00  3.9E-07
   3.00000E+03  7.45171E-17  6.99124E-18  1.19397E-17  0.00000E+00  6.6E-07
   4.00000E+03  6.25790E-17  4.52892E-18  8.30264E-18  0.00000E+00  1.0E-07
   5.00000E+03  5.43581E-17  3.21144E-18  6.17188E-18  0.00000E+00  1.0E-07
   6.00000E+03  4.82751E-17  2.41471E-18  4.80196E-18  0.00000E+00  1.0E-07
   7.00000E+03  4.35542E-17  1.89198E-18  3.86197E-18  0.00000E+00  1.0E-07
   8.00000E+03  3.97637E-17  1.52842E-18  3.18526E-18  0.00000E+00  1.0E-07
   9.00000E+03  3.66412E-17  1.26423E-18  2.67977E-18  0.00000E+00  1.0E-07
   1.00000E+04  3.40173E-17  1.06557E-18  2.29096E-18  0.00000E+00  1.0E-07
   2.00000E+04  2.03561E-17  3.37411E-19  7.81318E-19  0.00000E+00  1.0E-07
   3.00000E+04  1.48533E-17  1.69477E-19  4.05114E-19  0.00000E+00  1.0E-07
   4.00000E+04  1.18468E-17  1.03560E-19  2.52296E-19  0.00000E+00  1.0E-07
   5.00000E+04  9.94664E-18  7.06144E-20  1.74322E-19  0.00000E+00  1.0E-07
   6.00000E+04  8.63585E-18  5.16548E-20  1.28802E-19  0.00000E+00  1.0E-07
   7.00000E+04  7.67687E-18  3.96796E-20  9.97382E-20  0.00000E+00  1.0E-07
   8.00000E+04  6.94487E-18  3.15979E-20  7.99554E-20  0.00000E+00  1.0E-07
   9.00000E+04  6.36792E-18  2.58665E-20  6.58260E-20  0.00000E+00  1.0E-07
   1.00000E+05  5.90160E-18  2.16418E-20  5.53486E-20  0.00000E+00  1.0E-07
   2.00000E+05  3.75703E-18  6.85696E-21  1.80703E-20  0.00000E+00  1.0E-07
   3.00000E+05  3.03538E-18  3.58642E-21  9.59897E-21  0.00000E+00  1.0E-07
   4.00000E+05  2.68010E-18  2.29025E-21  6.19084E-21  0.00000E+00  1.0E-07
   5.00000E+05  2.47199E-18  1.62625E-21  4.42673E-21  0.00000E+00  1.0E-07
   6.00000E+05  2.34441E-18  1.23303E-21  3.37489E-21  0.00000E+00  1.0E-05
   7.00000E+05  2.24844E-18  9.76541E-22  2.68348E-21  0.00000E+00  1.0E-05
   8.00000E+05  2.17814E-18  7.98196E-22  2.20042E-21  0.00000E+00  1.0E-05
   9.00000E+05  2.12561E-18  6.68142E-22  1.84677E-21  0.00000E+00  1.0E-05
   1.00000E+06  2.08484E-18  5.69725E-22  1.57825E-21  0.00000E+00  1.0E-05
   2.00000E+06  1.92365E-18  1.95998E-22  5.49443E-22  0.00000E+00  1.0E-05
   3.00000E+06  1.88245E-18  1.02430E-22  2.88671E-22  0.00000E+00  1.0E-05
   4.00000E+06  1.86590E-18  6.37723E-23  1.80318E-22  0.00000E+00  1.0E-05
   5.00000E+06  1.86162E-18  4.38358E-23  1.24245E-22  0.00000E+00  1.0E-05
   6.00000E+06  1.85288E-18  3.20992E-23  9.11477E-23  0.00000E+00  1.0E-05
   7.00000E+06  1.84951E-18  2.45922E-23  6.99392E-23  0.00000E+00  1.0E-05
   8.00000E+06  1.84798E-18  1.94823E-23  5.54809E-23  0.00000E+00  1.0E-05
   9.00000E+06  1.84686E-18  1.58382E-23  4.51566E-23  0.00000E+00  1.0E-05
   1.00000E+07  1.84580E-18  1.31432E-23  3.75130E-23  0.00000E+00  1.0E-05
