 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+07 eV = 3.67493E+05 a.u.
 #
 # Z =  47
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.00000E-45  3.57106E-29  6.41232E+19   1.0E+00
  1.000E-04  7.61557E-13  1.79557E-01  6.41209E+15  6.41232E+15   1.0E+00
  1.250E-04  1.18994E-12  7.35460E-02  2.62638E+15  2.62649E+15   1.0E+00
  1.500E-04  1.71346E-12  3.54697E-02  1.26665E+15  1.26663E+15   1.0E+00
  1.750E-04  2.33225E-12  1.91451E-02  6.83685E+14  6.83697E+14   1.0E+00
  2.000E-04  3.04617E-12  1.12227E-02  4.00770E+14  4.00770E+14   1.0E+00
  2.250E-04  3.85530E-12  7.00632E-03  2.50200E+14  2.50199E+14   1.0E+00
  2.500E-04  4.75964E-12  4.59684E-03  1.64156E+14  1.64156E+14   1.0E+00
  2.750E-04  5.75917E-12  3.13970E-03  1.12121E+14  1.12121E+14   1.0E+00
  3.000E-04  6.85391E-12  2.21682E-03  7.91642E+13  7.91646E+13   1.0E+00
  3.250E-04  8.04379E-12  1.60948E-03  5.74757E+13  5.74755E+13   1.0E+00
  3.500E-04  9.32893E-12  1.19659E-03  4.27309E+13  4.27311E+13   1.0E+00
  3.750E-04  1.07092E-11  9.08014E-04  3.24258E+13  3.24258E+13   1.0E+00
  4.000E-04  1.21847E-11  7.01420E-04  2.50482E+13  2.50482E+13   1.0E+00
  4.250E-04  1.37554E-11  5.50380E-04  1.96544E+13  1.96544E+13   1.0E+00
  4.500E-04  1.54213E-11  4.37892E-04  1.56374E+13  1.56375E+13   1.0E+00
  4.750E-04  1.71823E-11  3.52732E-04  1.25963E+13  1.25963E+13   1.0E+00
  5.000E-04  1.90386E-11  2.87301E-04  1.02597E+13  1.02598E+13   1.0E+00
  5.250E-04  2.09900E-11  2.36364E-04  8.44071E+12  8.44073E+12   1.0E+00
  5.500E-04  2.30367E-11  1.96231E-04  7.00755E+12  7.00755E+12   1.0E+00
  5.750E-04  2.51785E-11  1.64266E-04  5.86605E+12  5.86605E+12   1.0E+00
  6.000E-04  2.74156E-11  1.38552E-04  4.94779E+12  4.94780E+12   1.0E+00
  6.250E-04  2.97478E-11  1.17679E-04  4.20239E+12  4.20240E+12   1.0E+00
  6.500E-04  3.21752E-11  1.00593E-04  3.59223E+12  3.59223E+12   1.0E+00
  6.750E-04  3.46979E-11  8.64974E-05  3.08888E+12  3.08889E+12   1.0E+00
  7.000E-04  3.73157E-11  7.47871E-05  2.67070E+12  2.67070E+12   1.0E+00
  7.250E-04  4.00286E-11  6.49930E-05  2.32094E+12  2.32095E+12   1.0E+00
