 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+06 eV = 2.20496E+05 a.u.
 #
 # Element: Ag,  Z =  47,  atomic weight = 1.07868E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.09348E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 47
 #
 # Electron density: Read from file ./database/z_047.den                                                                                                    
 #                   Number of data points =  813
 #                   Volume integral = 4.70000E+01
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Integrated cross sections:
 # Total elastic cross section = 4.31075E-18 cm**2 = 1.53940E-01 a0**2
 # 1st transport cross section = 8.56143E-23 cm**2 = 3.05734E-06 a0**2
 # 2nd transport cross section = 2.39968E-22 cm**2 = 8.56940E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.18117E-12  4.21805E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.18116E-12  4.21801E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.18116E-12  4.21799E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.18115E-12  4.21796E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.18114E-12  4.21793E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.18113E-12  4.21789E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.18112E-12  4.21785E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.18111E-12  4.21781E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.18109E-12  4.21776E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.18108E-12  4.21770E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.18106E-12  4.21764E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.18104E-12  4.21758E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.18102E-12  4.21751E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.18100E-12  4.21744E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.18098E-12  4.21736E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.18096E-12  4.21728E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.18093E-12  4.21719E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.18091E-12  4.21710E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.18088E-12  4.21700E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.18085E-12  4.21690E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.18082E-12  4.21679E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.18079E-12  4.21668E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.18076E-12  4.21656E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.18072E-12  4.21644E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.18069E-12  4.21631E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.18065E-12  4.21618E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.18061E-12  4.21605E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.18057E-12  4.21591E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.18053E-12  4.21576E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.18049E-12  4.21561E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.18045E-12  4.21546E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.18040E-12  4.21530E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.18036E-12  4.21514E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.18031E-12  4.21497E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.18026E-12  4.21480E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.18021E-12  4.21462E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.18016E-12  4.21444E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.18011E-12  4.21425E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.17951E-12  4.21212E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.17878E-12  4.20951E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.17792E-12  4.20644E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.17693E-12  4.20290E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.17581E-12  4.19890E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.17456E-12  4.19443E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.17318E-12  4.18951E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.17167E-12  4.18413E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.17004E-12  4.17829E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.16828E-12  4.17201E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.16640E-12  4.16529E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.16439E-12  4.15813E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.16227E-12  4.15053E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.16002E-12  4.14250E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.15765E-12  4.13404E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.15516E-12  4.12517E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.15256E-12  4.11588E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.14985E-12  4.10618E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.14702E-12  4.09609E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.14408E-12  4.08559E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.14103E-12  4.07471E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.13788E-12  4.06344E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.13462E-12  4.05180E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.13126E-12  4.03979E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.12779E-12  4.02742E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.12423E-12  4.01470E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.12057E-12  4.00162E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.11681E-12  3.98822E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.11297E-12  3.97447E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.10902E-12  3.96039E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.10496E-12  3.94590E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.10083E-12  3.93113E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.09662E-12  3.91609E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.09233E-12  3.90079E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.08798E-12  3.88523E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.08355E-12  3.86944E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.03553E-12  3.69793E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  9.82321E-13  3.50793E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  9.26116E-13  3.30722E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  8.68903E-13  3.10291E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  8.12214E-13  2.90047E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  7.57180E-13  2.70394E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  7.04553E-13  2.51600E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  6.54578E-13  2.33754E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  6.07741E-13  2.17028E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  5.64107E-13  2.01446E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  5.23619E-13  1.86988E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  4.86148E-13  1.73607E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  4.51400E-13  1.61198E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  4.19241E-13  1.49714E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  3.89561E-13  1.39115E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  3.62165E-13  1.29332E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  3.36867E-13  1.20297E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  3.13477E-13  1.11945E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  2.91746E-13  1.04184E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  2.71656E-13  9.70102E+03  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  2.53073E-13  9.03740E+03  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  2.35874E-13  8.42320E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  2.19945E-13  7.85439E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  2.05137E-13  7.32556E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  1.91391E-13  6.83471E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  1.78652E-13  6.37977E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  1.66839E-13  5.95793E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  1.55881E-13  5.56661E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  1.45703E-13  5.20317E+03  0.00000E+00  1.0E-05
