 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+04 eV = 2.93995E+03 a.u.
 #
 # Element: Ag,  Z =  47,  atomic weight = 1.07868E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.09348E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 47
 #
 # Electron density: Read from file ./database/z_047.den                                                                                                    
 #                   Number of data points =  813
 #                   Volume integral = 4.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 1.51102E-17 cm**2 = 5.39595E-01 a0**2
 # 1st transport cross section = 7.88736E-20 cm**2 = 2.81663E-03 a0**2
 # 2nd transport cross section = 1.91727E-19 cm**2 = 6.84669E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  9.03763E-15  3.22740E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  9.03763E-15  3.22740E+02  7.20457E-10  1.0E-07
  1.250E-04  1.18994E-12  9.03763E-15  3.22740E+02  9.00571E-10  1.0E-07
  1.500E-04  1.71346E-12  9.03763E-15  3.22740E+02  1.08068E-09  1.0E-07
  1.750E-04  2.33225E-12  9.03763E-15  3.22740E+02  1.26080E-09  1.0E-07
  2.000E-04  3.04617E-12  9.03763E-15  3.22740E+02  1.44091E-09  1.0E-07
  2.250E-04  3.85530E-12  9.03763E-15  3.22740E+02  1.62103E-09  1.0E-07
  2.500E-04  4.75964E-12  9.03763E-15  3.22740E+02  1.80114E-09  1.0E-07
  2.750E-04  5.75917E-12  9.03763E-15  3.22739E+02  1.98126E-09  1.0E-07
  3.000E-04  6.85391E-12  9.03763E-15  3.22739E+02  2.16137E-09  1.0E-07
  3.250E-04  8.04379E-12  9.03763E-15  3.22739E+02  2.34148E-09  1.0E-07
  3.500E-04  9.32893E-12  9.03763E-15  3.22739E+02  2.52160E-09  1.0E-07
  3.750E-04  1.07092E-11  9.03763E-15  3.22739E+02  2.70171E-09  1.0E-07
  4.000E-04  1.21847E-11  9.03762E-15  3.22739E+02  2.88183E-09  1.0E-07
  4.250E-04  1.37554E-11  9.03762E-15  3.22739E+02  3.06194E-09  1.0E-07
  4.500E-04  1.54213E-11  9.03762E-15  3.22739E+02  3.24206E-09  1.0E-07
  4.750E-04  1.71823E-11  9.03762E-15  3.22739E+02  3.42217E-09  1.0E-07
  5.000E-04  1.90386E-11  9.03762E-15  3.22739E+02  3.60228E-09  1.0E-07
  5.250E-04  2.09900E-11  9.03762E-15  3.22739E+02  3.78240E-09  1.0E-07
  5.500E-04  2.30367E-11  9.03762E-15  3.22739E+02  3.96251E-09  1.0E-07
  5.750E-04  2.51785E-11  9.03762E-15  3.22739E+02  4.14263E-09  1.0E-07
  6.000E-04  2.74156E-11  9.03762E-15  3.22739E+02  4.32274E-09  1.0E-07
  6.250E-04  2.97478E-11  9.03762E-15  3.22739E+02  4.50286E-09  1.0E-07
  6.500E-04  3.21752E-11  9.03762E-15  3.22739E+02  4.68297E-09  1.0E-07
  6.750E-04  3.46979E-11  9.03762E-15  3.22739E+02  4.86308E-09  1.0E-07
  7.000E-04  3.73157E-11  9.03762E-15  3.22739E+02  5.04320E-09  1.0E-07
  7.250E-04  4.00286E-11  9.03762E-15  3.22739E+02  5.22331E-09  1.0E-07
  7.500E-04  4.28368E-11  9.03762E-15  3.22739E+02  5.40343E-09  1.0E-07
  7.750E-04  4.57402E-11  9.03762E-15  3.22739E+02  5.58354E-09  1.0E-07
  8.000E-04  4.87388E-11  9.03762E-15  3.22739E+02  5.76366E-09  1.0E-07
  8.250E-04  5.18325E-11  9.03762E-15  3.22739E+02  5.94377E-09  1.0E-07
  8.500E-04  5.50215E-11  9.03762E-15  3.22739E+02  6.12388E-09  1.0E-07
  8.750E-04  5.83057E-11  9.03761E-15  3.22739E+02  6.30400E-09  1.0E-07
  9.000E-04  6.16850E-11  9.03761E-15  3.22739E+02  6.48411E-09  1.0E-07
  9.250E-04  6.51595E-11  9.03761E-15  3.22739E+02  6.66423E-09  1.0E-07
  9.500E-04  6.87293E-11  9.03761E-15  3.22739E+02  6.84434E-09  1.0E-07
  9.750E-04  7.23943E-11  9.03761E-15  3.22739E+02  7.02446E-09  1.0E-07
  1.000E-03  7.61544E-11  9.03761E-15  3.22739E+02  7.20457E-09  1.0E-07
  1.250E-03  1.18991E-10  9.03760E-15  3.22739E+02  9.00572E-09  1.0E-07
  1.500E-03  1.71347E-10  9.03759E-15  3.22738E+02  1.08069E-08  1.0E-07
  1.750E-03  2.33223E-10  9.03757E-15  3.22738E+02  1.26080E-08  1.0E-07
  2.000E-03  3.04617E-10  9.03756E-15  3.22737E+02  1.44092E-08  1.0E-07
  2.250E-03  3.85531E-10  9.03754E-15  3.22736E+02  1.62103E-08  1.0E-07
  2.500E-03  4.75965E-10  9.03752E-15  3.22736E+02  1.80115E-08  1.0E-07
  2.750E-03  5.75917E-10  9.03750E-15  3.22735E+02  1.98127E-08  1.0E-07
  3.000E-03  6.85389E-10  9.03747E-15  3.22734E+02  2.16139E-08  1.0E-07
  3.250E-03  8.04380E-10  9.03744E-15  3.22733E+02  2.34151E-08  1.0E-07
  3.500E-03  9.32891E-10  9.03741E-15  3.22732E+02  2.52163E-08  1.0E-07
  3.750E-03  1.07092E-09  9.03738E-15  3.22731E+02  2.70175E-08  1.0E-07
  4.000E-03  1.21847E-09  9.03735E-15  3.22730E+02  2.88187E-08  1.0E-07
  4.250E-03  1.37554E-09  9.03731E-15  3.22728E+02  3.06199E-08  1.0E-07
  4.500E-03  1.54213E-09  9.03727E-15  3.22727E+02  3.24211E-08  1.0E-07
  4.750E-03  1.71823E-09  9.03723E-15  3.22725E+02  3.42224E-08  1.0E-07
  5.000E-03  1.90386E-09  9.03719E-15  3.22724E+02  3.60236E-08  1.0E-07
  5.250E-03  2.09900E-09  9.03715E-15  3.22722E+02  3.78249E-08  1.0E-07
  5.500E-03  2.30367E-09  9.03710E-15  3.22721E+02  3.96262E-08  1.0E-07
  5.750E-03  2.51785E-09  9.03705E-15  3.22719E+02  4.14275E-08  1.0E-07
  6.000E-03  2.74156E-09  9.03700E-15  3.22717E+02  4.32288E-08  1.0E-07
  6.250E-03  2.97478E-09  9.03695E-15  3.22715E+02  4.50301E-08  1.0E-07
  6.500E-03  3.21752E-09  9.03689E-15  3.22713E+02  4.68315E-08  1.0E-07
  6.750E-03  3.46978E-09  9.03683E-15  3.22711E+02  4.86328E-08  1.0E-07
  7.000E-03  3.73156E-09  9.03677E-15  3.22709E+02  5.04342E-08  1.0E-07
  7.250E-03  4.00286E-09  9.03671E-15  3.22707E+02  5.22356E-08  1.0E-07
  7.500E-03  4.28368E-09  9.03665E-15  3.22704E+02  5.40370E-08  1.0E-07
  7.750E-03  4.57402E-09  9.03658E-15  3.22702E+02  5.58384E-08  1.0E-07
  8.000E-03  4.87388E-09  9.03651E-15  3.22700E+02  5.76398E-08  1.0E-07
  8.250E-03  5.18326E-09  9.03644E-15  3.22697E+02  5.94413E-08  1.0E-07
  8.500E-03  5.50215E-09  9.03637E-15  3.22694E+02  6.12428E-08  1.0E-07
  8.750E-03  5.83057E-09  9.03629E-15  3.22692E+02  6.30443E-08  1.0E-07
  9.000E-03  6.16850E-09  9.03621E-15  3.22689E+02  6.48458E-08  1.0E-07
  9.250E-03  6.51596E-09  9.03613E-15  3.22686E+02  6.66473E-08  1.0E-07
