 #
 # Differential cross section:               MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #--------------------------------------------------------------
  0.000E+00  0.00000E+00  4.36837E-12  1.55997E+05  0.00000E+00
  1.000E-04  7.61557E-13  4.36830E-12  1.55995E+05  0.00000E+00
  1.250E-04  1.18994E-12  4.36825E-12  1.55993E+05  0.00000E+00
  1.500E-04  1.71346E-12  4.36820E-12  1.55991E+05  0.00000E+00
  1.750E-04  2.33225E-12  4.36814E-12  1.55989E+05  0.00000E+00
  2.000E-04  3.04617E-12  4.36807E-12  1.55987E+05  0.00000E+00
  2.250E-04  3.85530E-12  4.36799E-12  1.55984E+05  0.00000E+00
  2.500E-04  4.75964E-12  4.36791E-12  1.55981E+05  0.00000E+00
  2.750E-04  5.75917E-12  4.36781E-12  1.55977E+05  0.00000E+00
  3.000E-04  6.85391E-12  4.36770E-12  1.55973E+05  0.00000E+00
  3.250E-04  8.04379E-12  4.36759E-12  1.55969E+05  0.00000E+00
  3.500E-04  9.32893E-12  4.36746E-12  1.55965E+05  0.00000E+00
  3.750E-04  1.07092E-11  4.36733E-12  1.55960E+05  0.00000E+00
  4.000E-04  1.21847E-11  4.36718E-12  1.55955E+05  0.00000E+00
  4.250E-04  1.37554E-11  4.36703E-12  1.55949E+05  0.00000E+00
  4.500E-04  1.54213E-11  4.36687E-12  1.55944E+05  0.00000E+00
  4.750E-04  1.71823E-11  4.36669E-12  1.55938E+05  0.00000E+00
  5.000E-04  1.90386E-11  4.36651E-12  1.55931E+05  0.00000E+00
  5.250E-04  2.09900E-11  4.36632E-12  1.55924E+05  0.00000E+00
  5.500E-04  2.30367E-11  4.36612E-12  1.55917E+05  0.00000E+00
  5.750E-04  2.51785E-11  4.36592E-12  1.55910E+05  0.00000E+00
  6.000E-04  2.74156E-11  4.36570E-12  1.55902E+05  0.00000E+00
  6.250E-04  2.97478E-11  4.36547E-12  1.55894E+05  0.00000E+00
  6.500E-04  3.21752E-11  4.36523E-12  1.55885E+05  0.00000E+00
  6.750E-04  3.46979E-11  4.36499E-12  1.55877E+05  0.00000E+00
  7.000E-04  3.73157E-11  4.36473E-12  1.55867E+05  0.00000E+00
  7.250E-04  4.00286E-11  4.36447E-12  1.55858E+05  0.00000E+00
  7.500E-04  4.28368E-11  4.36420E-12  1.55848E+05  0.00000E+00
  7.750E-04  4.57402E-11  4.36391E-12  1.55838E+05  0.00000E+00
  8.000E-04  4.87388E-11  4.36362E-12  1.55828E+05  0.00000E+00
  8.250E-04  5.18325E-11  4.36332E-12  1.55817E+05  0.00000E+00
  8.500E-04  5.50215E-11  4.36301E-12  1.55806E+05  0.00000E+00
  8.750E-04  5.83057E-11  4.36269E-12  1.55795E+05  0.00000E+00
  9.000E-04  6.16850E-11  4.36236E-12  1.55783E+05  0.00000E+00
  9.250E-04  6.51595E-11  4.36203E-12  1.55771E+05  0.00000E+00
  9.500E-04  6.87293E-11  4.36168E-12  1.55758E+05  0.00000E+00
  9.750E-04  7.23943E-11  4.36132E-12  1.55746E+05  0.00000E+00
  1.000E-03  7.61544E-11  4.36096E-12  1.55733E+05  0.00000E+00
  1.250E-03  1.18991E-10  4.35680E-12  1.55584E+05  0.00000E+00
  1.500E-03  1.71347E-10  4.35172E-12  1.55403E+05  0.00000E+00
  1.750E-03  2.33223E-10  4.34574E-12  1.55189E+05  0.00000E+00
  2.000E-03  3.04617E-10  4.33886E-12  1.54943E+05  0.00000E+00
  2.250E-03  3.85531E-10  4.33108E-12  1.54666E+05  0.00000E+00
  2.500E-03  4.75965E-10  4.32242E-12  1.54356E+05  0.00000E+00
  2.750E-03  5.75917E-10  4.31289E-12  1.54016E+05  0.00000E+00
  3.000E-03  6.85389E-10  4.30249E-12  1.53645E+05  0.00000E+00
  3.250E-03  8.04380E-10  4.29124E-12  1.53243E+05  0.00000E+00
  3.500E-03  9.32891E-10  4.27915E-12  1.52811E+05  0.00000E+00
  3.750E-03  1.07092E-09  4.26624E-12  1.52350E+05  0.00000E+00
  4.000E-03  1.21847E-09  4.25252E-12  1.51860E+05  0.00000E+00
  4.250E-03  1.37554E-09  4.23800E-12  1.51342E+05  0.00000E+00
  4.500E-03  1.54213E-09  4.22270E-12  1.50795E+05  0.00000E+00
  4.750E-03  1.71823E-09  4.20664E-12  1.50222E+05  0.00000E+00
  5.000E-03  1.90386E-09  4.18984E-12  1.49622E+05  0.00000E+00
  5.250E-03  2.09900E-09  4.17230E-12  1.48996E+05  0.00000E+00
  5.500E-03  2.30367E-09  4.15406E-12  1.48344E+05  0.00000E+00
  5.750E-03  2.51785E-09  4.13513E-12  1.47668E+05  0.00000E+00
  6.000E-03  2.74156E-09  4.11553E-12  1.46968E+05  0.00000E+00
  6.250E-03  2.97478E-09  4.09528E-12  1.46245E+05  0.00000E+00
  6.500E-03  3.21752E-09  4.07440E-12  1.45499E+05  0.00000E+00
  6.750E-03  3.46978E-09  4.05291E-12  1.44732E+05  0.00000E+00
  7.000E-03  3.73156E-09  4.03083E-12  1.43944E+05  0.00000E+00
  7.250E-03  4.00286E-09  4.00818E-12  1.43135E+05  0.00000E+00
  7.500E-03  4.28368E-09  3.98499E-12  1.42307E+05  0.00000E+00
  7.750E-03  4.57402E-09  3.96128E-12  1.41460E+05  0.00000E+00
  8.000E-03  4.87388E-09  3.93706E-12  1.40595E+05  0.00000E+00
  8.250E-03  5.18326E-09  3.91236E-12  1.39713E+05  0.00000E+00
  8.500E-03  5.50215E-09  3.88720E-12  1.38815E+05  0.00000E+00
  8.750E-03  5.83057E-09  3.86161E-12  1.37901E+05  0.00000E+00
  9.000E-03  6.16850E-09  3.83560E-12  1.36972E+05  0.00000E+00
  9.250E-03  6.51596E-09  3.80920E-12  1.36029E+05  0.00000E+00
  9.500E-03  6.87293E-09  3.78242E-12  1.35073E+05  0.00000E+00
  9.750E-03  7.23942E-09  3.75529E-12  1.34104E+05  0.00000E+00
  1.000E-02  7.61544E-09  3.72784E-12  1.33123E+05  0.00000E+00
  1.250E-02  1.18991E-08  3.43961E-12  1.22831E+05  0.00000E+00
  1.500E-02  1.71347E-08  3.13936E-12  1.12108E+05  0.00000E+00
  1.750E-02  2.33223E-08  2.84193E-12  1.01487E+05  0.00000E+00
  2.000E-02  3.04617E-08  2.55758E-12  9.13327E+04  0.00000E+00
  2.250E-02  3.85531E-08  2.29248E-12  8.18659E+04  0.00000E+00
  2.500E-02  4.75965E-08  2.04970E-12  7.31960E+04  0.00000E+00
  2.750E-02  5.75917E-08  1.83012E-12  6.53547E+04  0.00000E+00
  3.000E-02  6.85389E-08  1.63323E-12  5.83236E+04  0.00000E+00
  3.250E-02  8.04380E-08  1.45769E-12  5.20551E+04  0.00000E+00
  3.500E-02  9.32891E-08  1.30177E-12  4.64870E+04  0.00000E+00
  3.750E-02  1.07092E-07  1.16358E-12  4.15523E+04  0.00000E+00
  4.000E-02  1.21847E-07  1.04127E-12  3.71846E+04  0.00000E+00
  4.250E-02  1.37554E-07  9.33089E-13  3.33212E+04  0.00000E+00
  4.500E-02  1.54213E-07  8.37400E-13  2.99041E+04  0.00000E+00
  4.750E-02  1.71823E-07  7.52729E-13  2.68805E+04  0.00000E+00
  5.000E-02  1.90386E-07  6.77755E-13  2.42031E+04  0.00000E+00
  5.250E-02  2.09900E-07  6.11307E-13  2.18302E+04  0.00000E+00
  5.500E-02  2.30367E-07  5.52356E-13  1.97250E+04  0.00000E+00
  5.750E-02  2.51785E-07  4.99999E-13  1.78553E+04  0.00000E+00
  6.000E-02  2.74156E-07  4.53439E-13  1.61926E+04  0.00000E+00
  6.250E-02  2.97478E-07  4.11977E-13  1.47120E+04  0.00000E+00
  6.500E-02  3.21752E-07  3.74998E-13  1.33914E+04  0.00000E+00
  6.750E-02  3.46978E-07  3.41970E-13  1.22120E+04  0.00000E+00
  7.000E-02  3.73156E-07  3.12427E-13  1.11570E+04  0.00000E+00
  7.250E-02  4.00286E-07  2.85960E-13  1.02118E+04  0.00000E+00
  7.500E-02  4.28368E-07  2.62212E-13  9.36374E+03  0.00000E+00
  7.750E-02  4.57402E-07  2.40865E-13  8.60146E+03  0.00000E+00
  8.000E-02  4.87388E-07  2.21646E-13  7.91512E+03  0.00000E+00
  8.250E-02  5.18325E-07  2.04312E-13  7.29611E+03  0.00000E+00
  8.500E-02  5.50215E-07  1.88653E-13  6.73693E+03  0.00000E+00
  8.750E-02  5.83057E-07  1.74484E-13  6.23094E+03  0.00000E+00
