 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+02 eV = 1.46997E+01 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.22560E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file ./database/z_079.den                                                                                                    
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 4.09494E-16 cm**2 = 1.46233E+01 a0**2
 # 1st transport cross section = 1.01071E-16 cm**2 = 3.60930E+00 a0**2
 # 2nd transport cross section = 1.40112E-16 cm**2 = 5.00350E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.35511E-15  8.41026E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.35511E-15  8.41026E+01  1.69627E-08  1.0E-07
  1.250E-04  1.18994E-12  2.35511E-15  8.41026E+01  2.12033E-08  1.0E-07
  1.500E-04  1.71346E-12  2.35511E-15  8.41026E+01  2.54440E-08  1.0E-07
  1.750E-04  2.33225E-12  2.35511E-15  8.41026E+01  2.96847E-08  1.0E-07
  2.000E-04  3.04617E-12  2.35511E-15  8.41026E+01  3.39253E-08  1.0E-07
  2.250E-04  3.85530E-12  2.35511E-15  8.41026E+01  3.81660E-08  1.0E-07
  2.500E-04  4.75964E-12  2.35511E-15  8.41026E+01  4.24067E-08  1.0E-07
  2.750E-04  5.75917E-12  2.35511E-15  8.41026E+01  4.66473E-08  1.0E-07
  3.000E-04  6.85391E-12  2.35511E-15  8.41026E+01  5.08880E-08  1.0E-07
  3.250E-04  8.04379E-12  2.35511E-15  8.41026E+01  5.51287E-08  1.0E-07
  3.500E-04  9.32893E-12  2.35511E-15  8.41026E+01  5.93693E-08  1.0E-07
  3.750E-04  1.07092E-11  2.35511E-15  8.41026E+01  6.36100E-08  1.0E-07
  4.000E-04  1.21847E-11  2.35511E-15  8.41026E+01  6.78507E-08  1.0E-07
  4.250E-04  1.37554E-11  2.35511E-15  8.41026E+01  7.20913E-08  1.0E-07
  4.500E-04  1.54213E-11  2.35511E-15  8.41026E+01  7.63320E-08  1.0E-07
  4.750E-04  1.71823E-11  2.35511E-15  8.41026E+01  8.05727E-08  1.0E-07
  5.000E-04  1.90386E-11  2.35511E-15  8.41026E+01  8.48133E-08  1.0E-07
  5.250E-04  2.09900E-11  2.35511E-15  8.41026E+01  8.90540E-08  1.0E-07
  5.500E-04  2.30367E-11  2.35511E-15  8.41026E+01  9.32947E-08  1.0E-07
  5.750E-04  2.51785E-11  2.35511E-15  8.41026E+01  9.75353E-08  1.0E-07
  6.000E-04  2.74156E-11  2.35511E-15  8.41026E+01  1.01776E-07  1.0E-07
  6.250E-04  2.97478E-11  2.35511E-15  8.41026E+01  1.06017E-07  1.0E-07
  6.500E-04  3.21752E-11  2.35511E-15  8.41026E+01  1.10257E-07  1.0E-07
  6.750E-04  3.46979E-11  2.35511E-15  8.41026E+01  1.14498E-07  1.0E-07
  7.000E-04  3.73157E-11  2.35511E-15  8.41026E+01  1.18739E-07  1.0E-07
  7.250E-04  4.00286E-11  2.35511E-15  8.41026E+01  1.22979E-07  1.0E-07
  7.500E-04  4.28368E-11  2.35511E-15  8.41026E+01  1.27220E-07  1.0E-07
  7.750E-04  4.57402E-11  2.35511E-15  8.41026E+01  1.31461E-07  1.0E-07
  8.000E-04  4.87388E-11  2.35511E-15  8.41026E+01  1.35701E-07  1.0E-07
  8.250E-04  5.18325E-11  2.35511E-15  8.41026E+01  1.39942E-07  1.0E-07
  8.500E-04  5.50215E-11  2.35511E-15  8.41026E+01  1.44183E-07  1.0E-07
  8.750E-04  5.83057E-11  2.35511E-15  8.41026E+01  1.48423E-07  1.0E-07
  9.000E-04  6.16850E-11  2.35511E-15  8.41026E+01  1.52664E-07  1.0E-07
  9.250E-04  6.51595E-11  2.35511E-15  8.41026E+01  1.56905E-07  1.0E-07
  9.500E-04  6.87293E-11  2.35511E-15  8.41026E+01  1.61145E-07  1.0E-07
  9.750E-04  7.23943E-11  2.35511E-15  8.41026E+01  1.65386E-07  1.0E-07
  1.000E-03  7.61544E-11  2.35511E-15  8.41026E+01  1.69627E-07  1.0E-07
  1.250E-03  1.18991E-10  2.35511E-15  8.41026E+01  2.12033E-07  1.0E-07
  1.500E-03  1.71347E-10  2.35511E-15  8.41026E+01  2.54440E-07  1.0E-07
  1.750E-03  2.33223E-10  2.35511E-15  8.41026E+01  2.96847E-07  1.0E-07
