 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 5.00000E+04 eV = 1.83747E+03 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.22560E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file ./database/z_079.den                                                                                                    
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 3.16964E-17 cm**2 = 1.13190E+00 a0**2
 # 1st transport cross section = 4.16740E-19 cm**2 = 1.48821E-02 a0**2
 # 2nd transport cross section = 8.63127E-19 cm**2 = 3.08228E-02 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.01012E-14  3.60719E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.01012E-14  3.60719E+02  8.40890E-10  1.0E-07
  1.250E-04  1.18994E-12  1.01012E-14  3.60719E+02  1.05111E-09  1.0E-07
  1.500E-04  1.71346E-12  1.01012E-14  3.60719E+02  1.26133E-09  1.0E-07
  1.750E-04  2.33225E-12  1.01012E-14  3.60719E+02  1.47156E-09  1.0E-07
  2.000E-04  3.04617E-12  1.01012E-14  3.60719E+02  1.68178E-09  1.0E-07
  2.250E-04  3.85530E-12  1.01012E-14  3.60719E+02  1.89200E-09  1.0E-07
  2.500E-04  4.75964E-12  1.01012E-14  3.60719E+02  2.10222E-09  1.0E-07
  2.750E-04  5.75917E-12  1.01012E-14  3.60719E+02  2.31245E-09  1.0E-07
  3.000E-04  6.85391E-12  1.01012E-14  3.60719E+02  2.52267E-09  1.0E-07
  3.250E-04  8.04379E-12  1.01012E-14  3.60719E+02  2.73289E-09  1.0E-07
  3.500E-04  9.32893E-12  1.01012E-14  3.60719E+02  2.94311E-09  1.0E-07
  3.750E-04  1.07092E-11  1.01012E-14  3.60719E+02  3.15334E-09  1.0E-07
  4.000E-04  1.21847E-11  1.01012E-14  3.60719E+02  3.36356E-09  1.0E-07
  4.250E-04  1.37554E-11  1.01012E-14  3.60719E+02  3.57378E-09  1.0E-07
  4.500E-04  1.54213E-11  1.01012E-14  3.60719E+02  3.78400E-09  1.0E-07
  4.750E-04  1.71823E-11  1.01012E-14  3.60719E+02  3.99423E-09  1.0E-07
  5.000E-04  1.90386E-11  1.01012E-14  3.60719E+02  4.20445E-09  1.0E-07
  5.250E-04  2.09900E-11  1.01012E-14  3.60719E+02  4.41467E-09  1.0E-07
  5.500E-04  2.30367E-11  1.01012E-14  3.60719E+02  4.62489E-09  1.0E-07
  5.750E-04  2.51785E-11  1.01012E-14  3.60719E+02  4.83512E-09  1.0E-07
  6.000E-04  2.74156E-11  1.01012E-14  3.60719E+02  5.04534E-09  1.0E-07
  6.250E-04  2.97478E-11  1.01012E-14  3.60719E+02  5.25556E-09  1.0E-07
  6.500E-04  3.21752E-11  1.01012E-14  3.60719E+02  5.46578E-09  1.0E-07
  6.750E-04  3.46979E-11  1.01012E-14  3.60719E+02  5.67601E-09  1.0E-07
  7.000E-04  3.73157E-11  1.01012E-14  3.60719E+02  5.88623E-09  1.0E-07
  7.250E-04  4.00286E-11  1.01012E-14  3.60719E+02  6.09645E-09  1.0E-07
  7.500E-04  4.28368E-11  1.01012E-14  3.60719E+02  6.30667E-09  1.0E-07
  7.750E-04  4.57402E-11  1.01012E-14  3.60719E+02  6.51690E-09  1.0E-07
  8.000E-04  4.87388E-11  1.01012E-14  3.60719E+02  6.72712E-09  1.0E-07
  8.250E-04  5.18325E-11  1.01012E-14  3.60719E+02  6.93734E-09  1.0E-07
  8.500E-04  5.50215E-11  1.01012E-14  3.60719E+02  7.14756E-09  1.0E-07
  8.750E-04  5.83057E-11  1.01012E-14  3.60719E+02  7.35779E-09  1.0E-07
  9.000E-04  6.16850E-11  1.01012E-14  3.60719E+02  7.56801E-09  1.0E-07
  9.250E-04  6.51595E-11  1.01012E-14  3.60719E+02  7.77823E-09  1.0E-07
  9.500E-04  6.87293E-11  1.01012E-14  3.60719E+02  7.98845E-09  1.0E-07
  9.750E-04  7.23943E-11  1.01012E-14  3.60719E+02  8.19868E-09  1.0E-07
  1.000E-03  7.61544E-11  1.01012E-14  3.60719E+02  8.40890E-09  1.0E-07
  1.250E-03  1.18991E-10  1.01012E-14  3.60719E+02  1.05111E-08  1.0E-07
  1.500E-03  1.71347E-10  1.01011E-14  3.60719E+02  1.26134E-08  1.0E-07
  1.750E-03  2.33223E-10  1.01011E-14  3.60718E+02  1.47156E-08  1.0E-07
  2.000E-03  3.04617E-10  1.01011E-14  3.60718E+02  1.68178E-08  1.0E-07
  2.250E-03  3.85531E-10  1.01011E-14  3.60718E+02  1.89201E-08  1.0E-07
  2.500E-03  4.75965E-10  1.01011E-14  3.60717E+02  2.10223E-08  1.0E-07
  2.750E-03  5.75917E-10  1.01011E-14  3.60717E+02  2.31245E-08  1.0E-07
  3.000E-03  6.85389E-10  1.01011E-14  3.60716E+02  2.52268E-08  1.0E-07
  3.250E-03  8.04380E-10  1.01011E-14  3.60716E+02  2.73290E-08  1.0E-07
  3.500E-03  9.32891E-10  1.01011E-14  3.60715E+02  2.94313E-08  1.0E-07
  3.750E-03  1.07092E-09  1.01010E-14  3.60715E+02  3.15335E-08  1.0E-07
  4.000E-03  1.21847E-09  1.01010E-14  3.60714E+02  3.36358E-08  1.0E-07
  4.250E-03  1.37554E-09  1.01010E-14  3.60713E+02  3.57380E-08  1.0E-07
  4.500E-03  1.54213E-09  1.01010E-14  3.60713E+02  3.78403E-08  1.0E-07
  4.750E-03  1.71823E-09  1.01010E-14  3.60712E+02  3.99426E-08  1.0E-07
  5.000E-03  1.90386E-09  1.01009E-14  3.60711E+02  4.20449E-08  1.0E-07
  5.250E-03  2.09900E-09  1.01009E-14  3.60710E+02  4.41471E-08  1.0E-07
  5.500E-03  2.30367E-09  1.01009E-14  3.60710E+02  4.62494E-08  1.0E-07
  5.750E-03  2.51785E-09  1.01009E-14  3.60709E+02  4.83517E-08  1.0E-07
  6.000E-03  2.74156E-09  1.01008E-14  3.60708E+02  5.04540E-08  1.0E-07
  6.250E-03  2.97478E-09  1.01008E-14  3.60707E+02  5.25563E-08  1.0E-07
  6.500E-03  3.21752E-09  1.01008E-14  3.60706E+02  5.46587E-08  1.0E-07
  6.750E-03  3.46978E-09  1.01008E-14  3.60705E+02  5.67610E-08  1.0E-07
  7.000E-03  3.73156E-09  1.01007E-14  3.60703E+02  5.88633E-08  1.0E-07
  7.250E-03  4.00286E-09  1.01007E-14  3.60702E+02  6.09656E-08  1.0E-07
  7.500E-03  4.28368E-09  1.01007E-14  3.60701E+02  6.30680E-08  1.0E-07
  7.750E-03  4.57402E-09  1.01006E-14  3.60700E+02  6.51704E-08  1.0E-07
  8.000E-03  4.87388E-09  1.01006E-14  3.60699E+02  6.72727E-08  1.0E-07
  8.250E-03  5.18326E-09  1.01006E-14  3.60697E+02  6.93751E-08  1.0E-07
  8.500E-03  5.50215E-09  1.01005E-14  3.60696E+02  7.14775E-08  1.0E-07
  8.750E-03  5.83057E-09  1.01005E-14  3.60695E+02  7.35799E-08  1.0E-07
  9.000E-03  6.16850E-09  1.01004E-14  3.60693E+02  7.56823E-08  1.0E-07
  9.250E-03  6.51596E-09  1.01004E-14  3.60692E+02  7.77847E-08  1.0E-07
  9.500E-03  6.87293E-09  1.01004E-14  3.60690E+02  7.98871E-08  1.0E-07
  9.750E-03  7.23942E-09  1.01003E-14  3.60689E+02  8.19895E-08  1.0E-07
  1.000E-02  7.61544E-09  1.01003E-14  3.60687E+02  8.40920E-08  1.0E-07
  1.250E-02  1.18991E-08  1.00998E-14  3.60669E+02  1.05117E-07  1.0E-07
  1.500E-02  1.71347E-08  1.00991E-14  3.60647E+02  1.26144E-07  1.0E-07
  1.750E-02  2.33223E-08  1.00984E-14  3.60621E+02  1.47172E-07  1.0E-07
  2.000E-02  3.04617E-08  1.00976E-14  3.60590E+02  1.68202E-07  1.0E-07
  2.250E-02  3.85531E-08  1.00966E-14  3.60556E+02  1.89234E-07  1.0E-07
  2.500E-02  4.75965E-08  1.00955E-14  3.60518E+02  2.10269E-07  1.0E-07
  2.750E-02  5.75917E-08  1.00943E-14  3.60476E+02  2.31307E-07  1.0E-07
  3.000E-02  6.85389E-08  1.00931E-14  3.60430E+02  2.52348E-07  1.0E-07
  3.250E-02  8.04380E-08  1.00916E-14  3.60379E+02  2.73392E-07  1.0E-07
  3.500E-02  9.32891E-08  1.00901E-14  3.60325E+02  2.94440E-07  1.0E-07
  3.750E-02  1.07092E-07  1.00885E-14  3.60267E+02  3.15492E-07  1.0E-07
  4.000E-02  1.21847E-07  1.00868E-14  3.60204E+02  3.36548E-07  1.0E-07
  4.250E-02  1.37554E-07  1.00849E-14  3.60138E+02  3.57609E-07  1.0E-07
  4.500E-02  1.54213E-07  1.00829E-14  3.60068E+02  3.78674E-07  1.0E-07
  4.750E-02  1.71823E-07  1.00809E-14  3.59994E+02  3.99744E-07  1.0E-07
  5.000E-02  1.90386E-07  1.00787E-14  3.59915E+02  4.20820E-07  1.0E-07
  5.250E-02  2.09900E-07  1.00764E-14  3.59833E+02  4.41902E-07  1.0E-07
  5.500E-02  2.30367E-07  1.00739E-14  3.59747E+02  4.62989E-07  1.0E-07
  5.750E-02  2.51785E-07  1.00714E-14  3.59657E+02  4.84082E-07  1.0E-07
  6.000E-02  2.74156E-07  1.00688E-14  3.59563E+02  5.05182E-07  1.0E-07
  6.250E-02  2.97478E-07  1.00660E-14  3.59465E+02  5.26289E-07  1.0E-07
  6.500E-02  3.21752E-07  1.00632E-14  3.59363E+02  5.47403E-07  1.0E-07
  6.750E-02  3.46978E-07  1.00602E-14  3.59257E+02  5.68524E-07  1.0E-07
  7.000E-02  3.73156E-07  1.00571E-14  3.59147E+02  5.89652E-07  1.0E-07
  7.250E-02  4.00286E-07  1.00539E-14  3.59033E+02  6.10789E-07  1.0E-07
  7.500E-02  4.28368E-07  1.00507E-14  3.58915E+02  6.31933E-07  1.0E-07
  7.750E-02  4.57402E-07  1.00472E-14  3.58794E+02  6.53086E-07  1.0E-07
  8.000E-02  4.87388E-07  1.00437E-14  3.58668E+02  6.74248E-07  1.0E-07
  8.250E-02  5.18325E-07  1.00401E-14  3.58539E+02  6.95419E-07  1.0E-07
  8.500E-02  5.50215E-07  1.00364E-14  3.58405E+02  7.16599E-07  1.0E-07
  8.750E-02  5.83057E-07  1.00325E-14  3.58268E+02  7.37788E-07  1.0E-07
  9.000E-02  6.16850E-07  1.00286E-14  3.58127E+02  7.58987E-07  1.0E-07
  9.250E-02  6.51596E-07  1.00245E-14  3.57982E+02  7.80197E-07  1.0E-07
  9.500E-02  6.87293E-07  1.00203E-14  3.57833E+02  8.01416E-07  1.0E-07
  9.750E-02  7.23942E-07  1.00161E-14  3.57680E+02  8.22647E-07  1.0E-07
  1.000E-01  7.61543E-07  1.00117E-14  3.57523E+02  8.43888E-07  1.0E-07
  1.250E-01  1.18991E-06  9.96196E-15  3.55748E+02  1.05696E-06  1.0E-07
  1.500E-01  1.71347E-06  9.90179E-15  3.53599E+02  1.27142E-06  1.0E-07
  1.750E-01  2.33223E-06  9.83153E-15  3.51090E+02  1.48755E-06  1.0E-07
  2.000E-01  3.04617E-06  9.75155E-15  3.48234E+02  1.70560E-06  1.0E-07
  2.250E-01  3.85531E-06  9.66232E-15  3.45048E+02  1.92584E-06  1.0E-07
  2.500E-01  4.75964E-06  9.56431E-15  3.41548E+02  2.14851E-06  1.0E-07
  2.750E-01  5.75916E-06  9.45804E-15  3.37753E+02  2.37387E-06  1.0E-07
  3.000E-01  6.85388E-06  9.34405E-15  3.33682E+02  2.60216E-06  1.0E-07
  3.250E-01  8.04378E-06  9.22292E-15  3.29357E+02  2.83360E-06  1.0E-07
  3.500E-01  9.32888E-06  9.09523E-15  3.24797E+02  3.06842E-06  1.0E-07
  3.750E-01  1.07092E-05  8.96157E-15  3.20023E+02  3.30684E-06  1.0E-07
  4.000E-01  1.21846E-05  8.82253E-15  3.15058E+02  3.54905E-06  1.0E-07
  4.250E-01  1.37553E-05  8.67870E-15  3.09922E+02  3.79526E-06  1.0E-07
  4.500E-01  1.54212E-05  8.53069E-15  3.04636E+02  4.04566E-06  1.0E-07
  4.750E-01  1.71822E-05  8.37905E-15  2.99221E+02  4.30041E-06  1.0E-07
  5.000E-01  1.90385E-05  8.22435E-15  2.93697E+02  4.55968E-06  1.0E-07
  5.250E-01  2.09899E-05  8.06714E-15  2.88083E+02  4.82365E-06  1.0E-07
  5.500E-01  2.30365E-05  7.90792E-15  2.82397E+02  5.09244E-06  1.0E-07
  5.750E-01  2.51783E-05  7.74720E-15  2.76658E+02  5.36620E-06  1.0E-07
  6.000E-01  2.74153E-05  7.58544E-15  2.70881E+02  5.64507E-06  1.0E-07
  6.250E-01  2.97475E-05  7.42308E-15  2.65083E+02  5.92916E-06  1.0E-07
  6.500E-01  3.21749E-05  7.26054E-15  2.59278E+02  6.21858E-06  1.0E-07
  6.750E-01  3.46974E-05  7.09819E-15  2.53481E+02  6.51347E-06  1.0E-07
