 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+01 eV = 2.57245E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.22560E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file ./database/z_079.den                                                                                                    
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 9.66195E-16 cm**2 = 3.45034E+01 a0**2
 # 1st transport cross section = 3.32363E-16 cm**2 = 1.18689E+01 a0**2
 # 2nd transport cross section = 4.89188E-16 cm**2 = 1.74692E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.30765E-15  4.66972E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.30765E-15  4.66972E+01  1.02137E-08  1.0E-07
  1.250E-04  1.18994E-12  1.30765E-15  4.66972E+01  1.27672E-08  1.0E-07
  1.500E-04  1.71346E-12  1.30765E-15  4.66972E+01  1.53206E-08  1.0E-07
  1.750E-04  2.33225E-12  1.30765E-15  4.66972E+01  1.78740E-08  1.0E-07
  2.000E-04  3.04617E-12  1.30765E-15  4.66972E+01  2.04274E-08  1.0E-07
  2.250E-04  3.85530E-12  1.30765E-15  4.66972E+01  2.29809E-08  1.0E-07
  2.500E-04  4.75964E-12  1.30765E-15  4.66972E+01  2.55343E-08  1.0E-07
  2.750E-04  5.75917E-12  1.30765E-15  4.66972E+01  2.80877E-08  1.0E-07
  3.000E-04  6.85391E-12  1.30765E-15  4.66972E+01  3.06412E-08  1.0E-07
  3.250E-04  8.04379E-12  1.30765E-15  4.66972E+01  3.31946E-08  1.0E-07
  3.500E-04  9.32893E-12  1.30765E-15  4.66972E+01  3.57480E-08  1.0E-07
  3.750E-04  1.07092E-11  1.30765E-15  4.66972E+01  3.83015E-08  1.0E-07
  4.000E-04  1.21847E-11  1.30765E-15  4.66972E+01  4.08549E-08  1.0E-07
  4.250E-04  1.37554E-11  1.30765E-15  4.66972E+01  4.34083E-08  1.0E-07
  4.500E-04  1.54213E-11  1.30765E-15  4.66972E+01  4.59617E-08  1.0E-07
  4.750E-04  1.71823E-11  1.30765E-15  4.66972E+01  4.85152E-08  1.0E-07
  5.000E-04  1.90386E-11  1.30765E-15  4.66972E+01  5.10686E-08  1.0E-07
  5.250E-04  2.09900E-11  1.30765E-15  4.66972E+01  5.36220E-08  1.0E-07
  5.500E-04  2.30367E-11  1.30765E-15  4.66972E+01  5.61755E-08  1.0E-07
  5.750E-04  2.51785E-11  1.30765E-15  4.66972E+01  5.87289E-08  1.0E-07
  6.000E-04  2.74156E-11  1.30765E-15  4.66972E+01  6.12823E-08  1.0E-07
  6.250E-04  2.97478E-11  1.30765E-15  4.66972E+01  6.38358E-08  1.0E-07
  6.500E-04  3.21752E-11  1.30765E-15  4.66972E+01  6.63892E-08  1.0E-07
  6.750E-04  3.46979E-11  1.30765E-15  4.66972E+01  6.89426E-08  1.0E-07
  7.000E-04  3.73157E-11  1.30765E-15  4.66972E+01  7.14961E-08  1.0E-07
  7.250E-04  4.00286E-11  1.30765E-15  4.66972E+01  7.40495E-08  1.0E-07
  7.500E-04  4.28368E-11  1.30765E-15  4.66972E+01  7.66029E-08  1.0E-07
  7.750E-04  4.57402E-11  1.30765E-15  4.66972E+01  7.91563E-08  1.0E-07
  8.000E-04  4.87388E-11  1.30765E-15  4.66972E+01  8.17098E-08  1.0E-07
  8.250E-04  5.18325E-11  1.30765E-15  4.66972E+01  8.42632E-08  1.0E-07
  8.500E-04  5.50215E-11  1.30765E-15  4.66972E+01  8.68166E-08  1.0E-07
  8.750E-04  5.83057E-11  1.30765E-15  4.66972E+01  8.93701E-08  1.0E-07
  9.000E-04  6.16850E-11  1.30765E-15  4.66972E+01  9.19235E-08  1.0E-07
  9.250E-04  6.51595E-11  1.30765E-15  4.66972E+01  9.44769E-08  1.0E-07
  9.500E-04  6.87293E-11  1.30765E-15  4.66972E+01  9.70304E-08  1.0E-07
  9.750E-04  7.23943E-11  1.30765E-15  4.66972E+01  9.95838E-08  1.0E-07
  1.000E-03  7.61544E-11  1.30765E-15  4.66972E+01  1.02137E-07  1.0E-07
  1.250E-03  1.18991E-10  1.30765E-15  4.66972E+01  1.27672E-07  1.0E-07
  1.500E-03  1.71347E-10  1.30765E-15  4.66972E+01  1.53206E-07  1.0E-07
  1.750E-03  2.33223E-10  1.30765E-15  4.66972E+01  1.78740E-07  1.0E-07
  2.000E-03  3.04617E-10  1.30765E-15  4.66972E+01  2.04274E-07  1.0E-07
  2.250E-03  3.85531E-10  1.30765E-15  4.66972E+01  2.29809E-07  1.0E-07
  2.500E-03  4.75965E-10  1.30765E-15  4.66972E+01  2.55343E-07  1.0E-07
  2.750E-03  5.75917E-10  1.30765E-15  4.66972E+01  2.80877E-07  1.0E-07
  3.000E-03  6.85389E-10  1.30765E-15  4.66972E+01  3.06412E-07  1.0E-07
  3.250E-03  8.04380E-10  1.30765E-15  4.66972E+01  3.31946E-07  1.0E-07
  3.500E-03  9.32891E-10  1.30765E-15  4.66972E+01  3.57480E-07  1.0E-07
  3.750E-03  1.07092E-09  1.30765E-15  4.66972E+01  3.83015E-07  1.0E-07
  4.000E-03  1.21847E-09  1.30765E-15  4.66972E+01  4.08549E-07  1.0E-07
  4.250E-03  1.37554E-09  1.30765E-15  4.66972E+01  4.34083E-07  1.0E-07
  4.500E-03  1.54213E-09  1.30765E-15  4.66972E+01  4.59618E-07  1.0E-07
  4.750E-03  1.71823E-09  1.30765E-15  4.66972E+01  4.85152E-07  1.0E-07
  5.000E-03  1.90386E-09  1.30765E-15  4.66972E+01  5.10686E-07  1.0E-07
  5.250E-03  2.09900E-09  1.30765E-15  4.66972E+01  5.36221E-07  1.0E-07
  5.500E-03  2.30367E-09  1.30765E-15  4.66972E+01  5.61755E-07  1.0E-07
  5.750E-03  2.51785E-09  1.30765E-15  4.66972E+01  5.87289E-07  1.0E-07
  6.000E-03  2.74156E-09  1.30765E-15  4.66972E+01  6.12824E-07  1.0E-07
  6.250E-03  2.97478E-09  1.30765E-15  4.66972E+01  6.38358E-07  1.0E-07
