 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+04 eV = 2.57245E+03 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.22560E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file ./database/z_079.den                                                                                                    
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 2.58592E-17 cm**2 = 9.23450E-01 a0**2
 # 1st transport cross section = 2.49053E-19 cm**2 = 8.89384E-03 a0**2
 # 2nd transport cross section = 5.35681E-19 cm**2 = 1.91295E-02 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.13615E-14  4.05726E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  1.13615E-14  4.05726E+02  6.91085E-10  1.0E-07
  1.250E-04  1.18994E-12  1.13615E-14  4.05726E+02  8.63857E-10  1.0E-07
  1.500E-04  1.71346E-12  1.13615E-14  4.05726E+02  1.03663E-09  1.0E-07
  1.750E-04  2.33225E-12  1.13615E-14  4.05726E+02  1.20940E-09  1.0E-07
  2.000E-04  3.04617E-12  1.13615E-14  4.05726E+02  1.38217E-09  1.0E-07
  2.250E-04  3.85530E-12  1.13615E-14  4.05726E+02  1.55494E-09  1.0E-07
  2.500E-04  4.75964E-12  1.13615E-14  4.05726E+02  1.72771E-09  1.0E-07
  2.750E-04  5.75917E-12  1.13615E-14  4.05726E+02  1.90048E-09  1.0E-07
  3.000E-04  6.85391E-12  1.13615E-14  4.05726E+02  2.07326E-09  1.0E-07
  3.250E-04  8.04379E-12  1.13615E-14  4.05726E+02  2.24603E-09  1.0E-07
  3.500E-04  9.32893E-12  1.13615E-14  4.05726E+02  2.41880E-09  1.0E-07
  3.750E-04  1.07092E-11  1.13615E-14  4.05726E+02  2.59157E-09  1.0E-07
  4.000E-04  1.21847E-11  1.13615E-14  4.05726E+02  2.76434E-09  1.0E-07
  4.250E-04  1.37554E-11  1.13615E-14  4.05726E+02  2.93711E-09  1.0E-07
  4.500E-04  1.54213E-11  1.13615E-14  4.05726E+02  3.10988E-09  1.0E-07
  4.750E-04  1.71823E-11  1.13615E-14  4.05726E+02  3.28266E-09  1.0E-07
  5.000E-04  1.90386E-11  1.13615E-14  4.05726E+02  3.45543E-09  1.0E-07
  5.250E-04  2.09900E-11  1.13615E-14  4.05726E+02  3.62820E-09  1.0E-07
  5.500E-04  2.30367E-11  1.13615E-14  4.05726E+02  3.80097E-09  1.0E-07
  5.750E-04  2.51785E-11  1.13615E-14  4.05726E+02  3.97374E-09  1.0E-07
  6.000E-04  2.74156E-11  1.13615E-14  4.05726E+02  4.14651E-09  1.0E-07
  6.250E-04  2.97478E-11  1.13615E-14  4.05726E+02  4.31928E-09  1.0E-07
  6.500E-04  3.21752E-11  1.13615E-14  4.05726E+02  4.49206E-09  1.0E-07
  6.750E-04  3.46979E-11  1.13615E-14  4.05726E+02  4.66483E-09  1.0E-07
  7.000E-04  3.73157E-11  1.13615E-14  4.05726E+02  4.83760E-09  1.0E-07
  7.250E-04  4.00286E-11  1.13615E-14  4.05726E+02  5.01037E-09  1.0E-07
  7.500E-04  4.28368E-11  1.13615E-14  4.05726E+02  5.18314E-09  1.0E-07
  7.750E-04  4.57402E-11  1.13615E-14  4.05726E+02  5.35591E-09  1.0E-07
  8.000E-04  4.87388E-11  1.13615E-14  4.05726E+02  5.52868E-09  1.0E-07
  8.250E-04  5.18325E-11  1.13615E-14  4.05726E+02  5.70146E-09  1.0E-07
  8.500E-04  5.50215E-11  1.13615E-14  4.05726E+02  5.87423E-09  1.0E-07
  8.750E-04  5.83057E-11  1.13615E-14  4.05726E+02  6.04700E-09  1.0E-07
  9.000E-04  6.16850E-11  1.13615E-14  4.05726E+02  6.21977E-09  1.0E-07
  9.250E-04  6.51595E-11  1.13615E-14  4.05726E+02  6.39254E-09  1.0E-07
  9.500E-04  6.87293E-11  1.13615E-14  4.05726E+02  6.56531E-09  1.0E-07
  9.750E-04  7.23943E-11  1.13615E-14  4.05726E+02  6.73809E-09  1.0E-07
  1.000E-03  7.61544E-11  1.13615E-14  4.05726E+02  6.91086E-09  1.0E-07
  1.250E-03  1.18991E-10  1.13615E-14  4.05725E+02  8.63857E-09  1.0E-07
  1.500E-03  1.71347E-10  1.13615E-14  4.05725E+02  1.03663E-08  1.0E-07
  1.750E-03  2.33223E-10  1.13614E-14  4.05725E+02  1.20940E-08  1.0E-07
  2.000E-03  3.04617E-10  1.13614E-14  4.05724E+02  1.38217E-08  1.0E-07
  2.250E-03  3.85531E-10  1.13614E-14  4.05724E+02  1.55495E-08  1.0E-07
  2.500E-03  4.75965E-10  1.13614E-14  4.05723E+02  1.72772E-08  1.0E-07
  2.750E-03  5.75917E-10  1.13614E-14  4.05722E+02  1.90049E-08  1.0E-07
  3.000E-03  6.85389E-10  1.13614E-14  4.05722E+02  2.07327E-08  1.0E-07
  3.250E-03  8.04380E-10  1.13613E-14  4.05721E+02  2.24604E-08  1.0E-07
  3.500E-03  9.32891E-10  1.13613E-14  4.05720E+02  2.41881E-08  1.0E-07
  3.750E-03  1.07092E-09  1.13613E-14  4.05719E+02  2.59159E-08  1.0E-07
  4.000E-03  1.21847E-09  1.13613E-14  4.05718E+02  2.76436E-08  1.0E-07
  4.250E-03  1.37554E-09  1.13612E-14  4.05717E+02  2.93714E-08  1.0E-07
  4.500E-03  1.54213E-09  1.13612E-14  4.05716E+02  3.10992E-08  1.0E-07
  4.750E-03  1.71823E-09  1.13612E-14  4.05715E+02  3.28269E-08  1.0E-07
  5.000E-03  1.90386E-09  1.13611E-14  4.05714E+02  3.45547E-08  1.0E-07
  5.250E-03  2.09900E-09  1.13611E-14  4.05712E+02  3.62825E-08  1.0E-07
  5.500E-03  2.30367E-09  1.13611E-14  4.05711E+02  3.80103E-08  1.0E-07
  5.750E-03  2.51785E-09  1.13610E-14  4.05709E+02  3.97381E-08  1.0E-07
  6.000E-03  2.74156E-09  1.13610E-14  4.05708E+02  4.14659E-08  1.0E-07
  6.250E-03  2.97478E-09  1.13609E-14  4.05706E+02  4.31937E-08  1.0E-07
  6.500E-03  3.21752E-09  1.13609E-14  4.05705E+02  4.49215E-08  1.0E-07
  6.750E-03  3.46978E-09  1.13608E-14  4.05703E+02  4.66493E-08  1.0E-07
  7.000E-03  3.73156E-09  1.13608E-14  4.05701E+02  4.83772E-08  1.0E-07
  7.250E-03  4.00286E-09  1.13607E-14  4.05700E+02  5.01050E-08  1.0E-07
  7.500E-03  4.28368E-09  1.13607E-14  4.05698E+02  5.18329E-08  1.0E-07
  7.750E-03  4.57402E-09  1.13606E-14  4.05696E+02  5.35607E-08  1.0E-07
  8.000E-03  4.87388E-09  1.13606E-14  4.05694E+02  5.52886E-08  1.0E-07
  8.250E-03  5.18326E-09  1.13605E-14  4.05692E+02  5.70165E-08  1.0E-07
  8.500E-03  5.50215E-09  1.13605E-14  4.05690E+02  5.87444E-08  1.0E-07
  8.750E-03  5.83057E-09  1.13604E-14  4.05687E+02  6.04723E-08  1.0E-07
  9.000E-03  6.16850E-09  1.13603E-14  4.05685E+02  6.22002E-08  1.0E-07
  9.250E-03  6.51596E-09  1.13603E-14  4.05683E+02  6.39281E-08  1.0E-07
  9.500E-03  6.87293E-09  1.13602E-14  4.05680E+02  6.56561E-08  1.0E-07
  9.750E-03  7.23942E-09  1.13601E-14  4.05678E+02  6.73840E-08  1.0E-07
  1.000E-02  7.61544E-09  1.13601E-14  4.05676E+02  6.91120E-08  1.0E-07
  1.250E-02  1.18991E-08  1.13593E-14  4.05647E+02  8.63925E-08  1.0E-07
  1.500E-02  1.71347E-08  1.13583E-14  4.05612E+02  1.03675E-07  1.0E-07
  1.750E-02  2.33223E-08  1.13571E-14  4.05571E+02  1.20959E-07  1.0E-07
  2.000E-02  3.04617E-08  1.13558E-14  4.05523E+02  1.38245E-07  1.0E-07
  2.250E-02  3.85531E-08  1.13543E-14  4.05469E+02  1.55534E-07  1.0E-07
  2.500E-02  4.75965E-08  1.13526E-14  4.05409E+02  1.72826E-07  1.0E-07
  2.750E-02  5.75917E-08  1.13507E-14  4.05343E+02  1.90121E-07  1.0E-07
  3.000E-02  6.85389E-08  1.13487E-14  4.05270E+02  2.07420E-07  1.0E-07
  3.250E-02  8.04380E-08  1.13465E-14  4.05191E+02  2.24722E-07  1.0E-07
  3.500E-02  9.32891E-08  1.13441E-14  4.05105E+02  2.42029E-07  1.0E-07
  3.750E-02  1.07092E-07  1.13415E-14  4.05013E+02  2.59340E-07  1.0E-07
  4.000E-02  1.21847E-07  1.13388E-14  4.04915E+02  2.76657E-07  1.0E-07
  4.250E-02  1.37554E-07  1.13359E-14  4.04811E+02  2.93978E-07  1.0E-07
  4.500E-02  1.54213E-07  1.13328E-14  4.04701E+02  3.11305E-07  1.0E-07
  4.750E-02  1.71823E-07  1.13295E-14  4.04584E+02  3.28638E-07  1.0E-07
  5.000E-02  1.90386E-07  1.13260E-14  4.04461E+02  3.45977E-07  1.0E-07
  5.250E-02  2.09900E-07  1.13224E-14  4.04331E+02  3.63323E-07  1.0E-07
  5.500E-02  2.30367E-07  1.13186E-14  4.04196E+02  3.80675E-07  1.0E-07
  5.750E-02  2.51785E-07  1.13147E-14  4.04054E+02  3.98035E-07  1.0E-07
  6.000E-02  2.74156E-07  1.13105E-14  4.03906E+02  4.15402E-07  1.0E-07
  6.250E-02  2.97478E-07  1.13062E-14  4.03752E+02  4.32777E-07  1.0E-07
  6.500E-02  3.21752E-07  1.13017E-14  4.03591E+02  4.50160E-07  1.0E-07
  6.750E-02  3.46978E-07  1.12970E-14  4.03425E+02  4.67551E-07  1.0E-07
  7.000E-02  3.73156E-07  1.12922E-14  4.03252E+02  4.84951E-07  1.0E-07
  7.250E-02  4.00286E-07  1.12872E-14  4.03073E+02  5.02361E-07  1.0E-07
  7.500E-02  4.28368E-07  1.12820E-14  4.02888E+02  5.19779E-07  1.0E-07
  7.750E-02  4.57402E-07  1.12767E-14  4.02697E+02  5.37208E-07  1.0E-07
  8.000E-02  4.87388E-07  1.12712E-14  4.02500E+02  5.54646E-07  1.0E-07
  8.250E-02  5.18325E-07  1.12655E-14  4.02297E+02  5.72095E-07  1.0E-07
  8.500E-02  5.50215E-07  1.12596E-14  4.02088E+02  5.89555E-07  1.0E-07
  8.750E-02  5.83057E-07  1.12536E-14  4.01873E+02  6.07025E-07  1.0E-07
  9.000E-02  6.16850E-07  1.12474E-14  4.01651E+02  6.24507E-07  1.0E-07
  9.250E-02  6.51596E-07  1.12410E-14  4.01424E+02  6.42001E-07  1.0E-07
  9.500E-02  6.87293E-07  1.12345E-14  4.01191E+02  6.59506E-07  1.0E-07
  9.750E-02  7.23942E-07  1.12278E-14  4.00951E+02  6.77024E-07  1.0E-07
  1.000E-01  7.61543E-07  1.12209E-14  4.00706E+02  6.94554E-07  1.0E-07
  1.250E-01  1.18991E-06  1.11432E-14  3.97932E+02  8.70620E-07  1.0E-07
  1.500E-01  1.71347E-06  1.10496E-14  3.94587E+02  1.04829E-06  1.0E-07
  1.750E-01  2.33223E-06  1.09407E-14  3.90700E+02  1.22787E-06  1.0E-07
  2.000E-01  3.04617E-06  1.08175E-14  3.86301E+02  1.40967E-06  1.0E-07
  2.250E-01  3.85531E-06  1.06809E-14  3.81422E+02  1.59397E-06  1.0E-07
  2.500E-01  4.75964E-06  1.05319E-14  3.76100E+02  1.78105E-06  1.0E-07
  2.750E-01  5.75916E-06  1.03715E-14  3.70373E+02  1.97119E-06  1.0E-07
  3.000E-01  6.85388E-06  1.02008E-14  3.64278E+02  2.16464E-06  1.0E-07
  3.250E-01  8.04378E-06  1.00210E-14  3.57857E+02  2.36166E-06  1.0E-07
  3.500E-01  9.32888E-06  9.83316E-15  3.51148E+02  2.56249E-06  1.0E-07
  3.750E-01  1.07092E-05  9.63835E-15  3.44192E+02  2.76733E-06  1.0E-07
  4.000E-01  1.21846E-05  9.43770E-15  3.37026E+02  2.97641E-06  1.0E-07
