 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+02 eV = 3.67493E+00 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file ./database/z_008.den                                                                                                    
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 2.53585E-16 cm**2 = 9.05569E+00 a0**2
 # 1st transport cross section = 1.57677E-16 cm**2 = 5.63076E+00 a0**2
 # 2nd transport cross section = 1.32595E-16 cm**2 = 4.73507E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.07660E-16  7.41566E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.07660E-16  7.41566E+00  2.51179E-10  1.0E-07
  1.250E-04  1.18994E-12  2.07660E-16  7.41566E+00  3.13974E-10  1.0E-07
  1.500E-04  1.71346E-12  2.07660E-16  7.41566E+00  3.76769E-10  1.0E-07
  1.750E-04  2.33225E-12  2.07660E-16  7.41566E+00  4.39563E-10  1.0E-07
  2.000E-04  3.04617E-12  2.07660E-16  7.41566E+00  5.02358E-10  1.0E-07
  2.250E-04  3.85530E-12  2.07660E-16  7.41566E+00  5.65153E-10  1.0E-07
  2.500E-04  4.75964E-12  2.07660E-16  7.41566E+00  6.27948E-10  1.0E-07
  2.750E-04  5.75917E-12  2.07660E-16  7.41566E+00  6.90742E-10  1.0E-07
  3.000E-04  6.85391E-12  2.07660E-16  7.41566E+00  7.53537E-10  1.0E-07
  3.250E-04  8.04379E-12  2.07660E-16  7.41566E+00  8.16332E-10  1.0E-07
  3.500E-04  9.32893E-12  2.07660E-16  7.41566E+00  8.79127E-10  1.0E-07
  3.750E-04  1.07092E-11  2.07660E-16  7.41566E+00  9.41922E-10  1.0E-07
  4.000E-04  1.21847E-11  2.07660E-16  7.41566E+00  1.00472E-09  1.0E-07
  4.250E-04  1.37554E-11  2.07660E-16  7.41566E+00  1.06751E-09  1.0E-07
  4.500E-04  1.54213E-11  2.07660E-16  7.41566E+00  1.13031E-09  1.0E-07
  4.750E-04  1.71823E-11  2.07660E-16  7.41566E+00  1.19310E-09  1.0E-07
  5.000E-04  1.90386E-11  2.07660E-16  7.41566E+00  1.25590E-09  1.0E-07
  5.250E-04  2.09900E-11  2.07660E-16  7.41566E+00  1.31869E-09  1.0E-07
  5.500E-04  2.30367E-11  2.07660E-16  7.41566E+00  1.38148E-09  1.0E-07
  5.750E-04  2.51785E-11  2.07660E-16  7.41566E+00  1.44428E-09  1.0E-07
  6.000E-04  2.74156E-11  2.07660E-16  7.41566E+00  1.50707E-09  1.0E-07
  6.250E-04  2.97478E-11  2.07660E-16  7.41566E+00  1.56987E-09  1.0E-07
  6.500E-04  3.21752E-11  2.07660E-16  7.41566E+00  1.63266E-09  1.0E-07
  6.750E-04  3.46979E-11  2.07660E-16  7.41566E+00  1.69546E-09  1.0E-07
  7.000E-04  3.73157E-11  2.07660E-16  7.41566E+00  1.75825E-09  1.0E-07
  7.250E-04  4.00286E-11  2.07660E-16  7.41566E+00  1.82105E-09  1.0E-07
  7.500E-04  4.28368E-11  2.07660E-16  7.41566E+00  1.88384E-09  1.0E-07
  7.750E-04  4.57402E-11  2.07660E-16  7.41566E+00  1.94664E-09  1.0E-07
  8.000E-04  4.87388E-11  2.07660E-16  7.41566E+00  2.00943E-09  1.0E-07
  8.250E-04  5.18325E-11  2.07660E-16  7.41566E+00  2.07223E-09  1.0E-07
  8.500E-04  5.50215E-11  2.07660E-16  7.41566E+00  2.13502E-09  1.0E-07
  8.750E-04  5.83057E-11  2.07660E-16  7.41566E+00  2.19782E-09  1.0E-07
  9.000E-04  6.16850E-11  2.07660E-16  7.41566E+00  2.26061E-09  1.0E-07
  9.250E-04  6.51595E-11  2.07660E-16  7.41566E+00  2.32341E-09  1.0E-07
  9.500E-04  6.87293E-11  2.07660E-16  7.41566E+00  2.38620E-09  1.0E-07
  9.750E-04  7.23943E-11  2.07660E-16  7.41566E+00  2.44900E-09  1.0E-07
  1.000E-03  7.61544E-11  2.07660E-16  7.41566E+00  2.51179E-09  1.0E-07
  1.250E-03  1.18991E-10  2.07660E-16  7.41566E+00  3.13974E-09  1.0E-07
  1.500E-03  1.71347E-10  2.07660E-16  7.41566E+00  3.76769E-09  1.0E-07
  1.750E-03  2.33223E-10  2.07660E-16  7.41566E+00  4.39563E-09  1.0E-07
  2.000E-03  3.04617E-10  2.07660E-16  7.41566E+00  5.02358E-09  1.0E-07
  2.250E-03  3.85531E-10  2.07660E-16  7.41566E+00  5.65153E-09  1.0E-07
  2.500E-03  4.75965E-10  2.07660E-16  7.41566E+00  6.27948E-09  1.0E-07
