 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+02 eV = 1.46997E+01 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file ./database/z_008.den                                                                                                    
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # No absorption potential
 #
 # No correlation-polarization potential
 #
 # Integrated cross sections:
 # Total elastic cross section = 1.04564E-16 cm**2 = 3.73405E+00 a0**2
 # 1st transport cross section = 2.53578E-17 cm**2 = 9.05542E-01 a0**2
 # 2nd transport cross section = 4.02998E-17 cm**2 = 1.43913E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.69879E-16  9.63754E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.69879E-16  9.63754E+00  3.81910E-10  1.0E-07
  1.250E-04  1.18994E-12  2.69879E-16  9.63754E+00  4.77388E-10  1.0E-07
  1.500E-04  1.71346E-12  2.69879E-16  9.63754E+00  5.72865E-10  1.0E-07
  1.750E-04  2.33225E-12  2.69879E-16  9.63754E+00  6.68343E-10  1.0E-07
  2.000E-04  3.04617E-12  2.69879E-16  9.63754E+00  7.63820E-10  1.0E-07
  2.250E-04  3.85530E-12  2.69879E-16  9.63754E+00  8.59298E-10  1.0E-07
  2.500E-04  4.75964E-12  2.69879E-16  9.63754E+00  9.54775E-10  1.0E-07
  2.750E-04  5.75917E-12  2.69879E-16  9.63754E+00  1.05025E-09  1.0E-07
  3.000E-04  6.85391E-12  2.69879E-16  9.63754E+00  1.14573E-09  1.0E-07
  3.250E-04  8.04379E-12  2.69879E-16  9.63754E+00  1.24121E-09  1.0E-07
  3.500E-04  9.32893E-12  2.69879E-16  9.63754E+00  1.33669E-09  1.0E-07
  3.750E-04  1.07092E-11  2.69879E-16  9.63754E+00  1.43216E-09  1.0E-07
  4.000E-04  1.21847E-11  2.69879E-16  9.63754E+00  1.52764E-09  1.0E-07
  4.250E-04  1.37554E-11  2.69879E-16  9.63754E+00  1.62312E-09  1.0E-07
