 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+05 eV = 2.57245E+04 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file ./database/z_008.den                                                                                                    
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Integrated cross sections:
 # Total elastic cross section = 3.33861E-19 cm**2 = 1.19224E-02 a0**2
 # 1st transport cross section = 7.77524E-23 cm**2 = 2.77659E-06 a0**2
 # 2nd transport cross section = 2.17609E-22 cm**2 = 7.77094E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.21264E-15  7.90147E+01  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.21264E-15  7.90146E+01  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.21264E-15  7.90146E+01  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.21264E-15  7.90146E+01  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.21263E-15  7.90146E+01  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.21263E-15  7.90146E+01  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.21263E-15  7.90146E+01  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.21263E-15  7.90146E+01  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.21263E-15  7.90146E+01  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.21263E-15  7.90146E+01  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.21263E-15  7.90146E+01  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.21263E-15  7.90145E+01  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.21263E-15  7.90145E+01  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.21263E-15  7.90145E+01  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.21263E-15  7.90145E+01  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.21263E-15  7.90145E+01  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.21263E-15  7.90145E+01  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.21263E-15  7.90144E+01  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.21263E-15  7.90144E+01  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.21263E-15  7.90144E+01  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.21263E-15  7.90144E+01  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.21263E-15  7.90143E+01  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.21263E-15  7.90143E+01  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.21263E-15  7.90143E+01  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.21262E-15  7.90142E+01  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.21262E-15  7.90142E+01  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.21262E-15  7.90142E+01  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.21262E-15  7.90142E+01  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.21262E-15  7.90141E+01  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.21262E-15  7.90141E+01  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.21262E-15  7.90140E+01  0.00000E+00  1.0E-05
