Photon   	Nuclear 	Electron	
Energy   	Pr. Prd.	Pr. Prd.	

1.000E-03	0.000E+00	0.000E+00	
1.500E-03	0.000E+00	0.000E+00	
2.000E-03	0.000E+00	0.000E+00	
3.000E-03	0.000E+00	0.000E+00	
3.351E-03	0.000E+00	0.000E+00	
3.351E-03	0.000E+00	0.000E+00	
3.436E-03	0.000E+00	0.000E+00	
3.524E-03	0.000E+00	0.000E+00	
3.524E-03	0.000E+00	0.000E+00	
3.662E-03	0.000E+00	0.000E+00	
3.806E-03	0.000E+00	0.000E+00	
3.806E-03	0.000E+00	0.000E+00	
4.000E-03	0.000E+00	0.000E+00	
5.000E-03	0.000E+00	0.000E+00	
6.000E-03	0.000E+00	0.000E+00	
8.000E-03	0.000E+00	0.000E+00	
1.000E-02	0.000E+00	0.000E+00	
1.500E-02	0.000E+00	0.000E+00	
2.000E-02	0.000E+00	0.000E+00	
2.551E-02	0.000E+00	0.000E+00	
2.551E-02	0.000E+00	0.000E+00	
3.000E-02	0.000E+00	0.000E+00	
4.000E-02	0.000E+00	0.000E+00	
5.000E-02	0.000E+00	0.000E+00	
6.000E-02	0.000E+00	0.000E+00	
8.000E-02	0.000E+00	0.000E+00	
1.000E-01	0.000E+00	0.000E+00	
1.500E-01	0.000E+00	0.000E+00	
2.000E-01	0.000E+00	0.000E+00	
3.000E-01	0.000E+00	0.000E+00	
4.000E-01	0.000E+00	0.000E+00	
5.000E-01	0.000E+00	0.000E+00	
6.000E-01	0.000E+00	0.000E+00	
8.000E-01	0.000E+00	0.000E+00	
1.000E+00	0.000E+00	0.000E+00	
1.022E+00	0.000E+00	0.000E+00	
1.250E+00	1.603E-04	0.000E+00	
1.500E+00	7.503E-04	0.000E+00	
2.000E+00	2.602E-03	0.000E+00	
2.044E+00	2.784E-03	0.000E+00	
3.000E+00	6.739E-03	1.058E-05	
4.000E+00	1.043E-02	4.315E-05	
5.000E+00	1.364E-02	8.592E-05	
6.000E+00	1.642E-02	1.318E-04	
7.000E+00	1.889E-02	1.775E-04	
8.000E+00	2.112E-02	2.218E-04	
9.000E+00	2.315E-02	2.641E-04	
1.000E+01	2.500E-02	3.044E-04	
1.100E+01	2.670E-02	3.425E-04	
1.200E+01	2.827E-02	3.783E-04	
1.300E+01	2.972E-02	4.121E-04	
1.400E+01	3.106E-02	4.443E-04	
1.500E+01	3.230E-02	4.748E-04	
1.600E+01	3.346E-02	5.037E-04	
1.800E+01	3.558E-02	5.573E-04	
2.000E+01	3.747E-02	6.063E-04	
2.200E+01	3.919E-02	6.504E-04	
2.400E+01	4.075E-02	6.917E-04	
2.600E+01	4.218E-02	7.297E-04	
2.800E+01	4.348E-02	7.643E-04	
3.000E+01	4.469E-02	7.972E-04	
4.000E+01	4.956E-02	9.323E-04	
5.000E+01	5.318E-02	1.035E-03	
6.000E+01	5.600E-02	1.117E-03	
8.000E+01	6.018E-02	1.239E-03	
1.000E+02	6.314E-02	1.328E-03	
1.500E+02	6.783E-02	1.476E-03	
2.000E+02	7.062E-02	1.568E-03	
3.000E+02	7.392E-02	1.682E-03	
4.000E+02	7.576E-02	1.749E-03	
5.000E+02	7.699E-02	1.795E-03	
6.000E+02	7.788E-02	1.829E-03	
8.000E+02	7.905E-02	1.875E-03	
1.000E+03	7.983E-02	1.907E-03	
1.500E+03	8.095E-02	1.952E-03	
2.000E+03	8.151E-02	1.978E-03	
3.000E+03	8.218E-02	2.006E-03	
4.000E+03	8.251E-02	2.023E-03	
5.000E+03	8.274E-02	2.033E-03	
6.000E+03	8.291E-02	2.040E-03	
8.000E+03	8.307E-02	2.049E-03	
1.000E+04	8.324E-02	2.056E-03	
1.500E+04	8.341E-02	2.063E-03	
2.000E+04	8.352E-02	2.068E-03	
3.000E+04	8.358E-02	2.073E-03	
4.000E+04	8.363E-02	2.076E-03	
5.000E+04	8.369E-02	2.077E-03	
6.000E+04	8.369E-02	2.079E-03	
8.000E+04	8.374E-02	2.080E-03	
1.000E+05	8.374E-02	2.081E-03	
