Photon      Nuclear     Electron
Energy      Pr. Prd.    Pr. Prd.

1.000E-03   0.000E+00   0.000E+00
1.500E-03   0.000E+00   0.000E+00
2.000E-03   0.000E+00   0.000E+00
3.000E-03   0.000E+00   0.000E+00
4.000E-03   0.000E+00   0.000E+00
5.000E-03   0.000E+00   0.000E+00
6.000E-03   0.000E+00   0.000E+00
8.000E-03   0.000E+00   0.000E+00
1.000E-02   0.000E+00   0.000E+00
1.500E-02   0.000E+00   0.000E+00
2.000E-02   0.000E+00   0.000E+00
3.000E-02   0.000E+00   0.000E+00
4.000E-02   0.000E+00   0.000E+00
5.000E-02   0.000E+00   0.000E+00
6.000E-02   0.000E+00   0.000E+00
8.000E-02   0.000E+00   0.000E+00
1.000E-01   0.000E+00   0.000E+00
1.500E-01   0.000E+00   0.000E+00
2.000E-01   0.000E+00   0.000E+00
3.000E-01   0.000E+00   0.000E+00
4.000E-01   0.000E+00   0.000E+00
5.000E-01   0.000E+00   0.000E+00
6.000E-01   0.000E+00   0.000E+00
8.000E-01   0.000E+00   0.000E+00
1.000E+00   0.000E+00   0.000E+00
1.022E+00   0.000E+00   0.000E+00
1.250E+00   1.942E-05   0.000E+00
1.500E+00   1.073E-04   0.000E+00
2.000E+00   4.268E-04   0.000E+00
2.044E+00   4.600E-04   0.000E+00
3.000E+00   1.220E-03   1.215E-05
4.000E+00   1.978E-03   4.961E-05
5.000E+00   2.654E-03   9.884E-05
6.000E+00   3.261E-03   1.518E-04
7.000E+00   3.802E-03   2.047E-04
8.000E+00   4.287E-03   2.561E-04
9.000E+00   4.731E-03   3.053E-04
1.000E+01   5.130E-03   3.522E-04
1.100E+01   5.495E-03   3.967E-04
1.200E+01   5.830E-03   4.389E-04
1.300E+01   6.143E-03   4.788E-04
1.400E+01   6.433E-03   5.168E-04
1.500E+01   6.704E-03   5.526E-04
1.600E+01   6.960E-03   5.872E-04
1.800E+01   7.426E-03   6.512E-04
2.000E+01   7.844E-03   7.095E-04
2.200E+01   8.224E-03   7.637E-04
2.400E+01   8.571E-03   8.134E-04
2.600E+01   8.887E-03   8.597E-04
2.800E+01   9.180E-03   9.030E-04
3.000E+01   9.451E-03   9.433E-04
4.000E+01   1.055E-02   1.113E-03
5.000E+01   1.140E-02   1.245E-03
6.000E+01   1.206E-02   1.353E-03
8.000E+01   1.307E-02   1.519E-03
1.000E+02   1.381E-02   1.644E-03
1.500E+02   1.503E-02   1.860E-03
2.000E+02   1.578E-02   2.001E-03
3.000E+02   1.669E-02   2.180E-03
4.000E+02   1.721E-02   2.290E-03
5.000E+02   1.756E-02   2.366E-03
6.000E+02   1.781E-02   2.422E-03
8.000E+02   1.815E-02   2.501E-03
1.000E+03   1.838E-02   2.553E-03
1.500E+03   1.870E-02   2.632E-03
2.000E+03   1.888E-02   2.677E-03
3.000E+03   1.907E-02   2.725E-03
4.000E+03   1.917E-02   2.754E-03
5.000E+03   1.923E-02   2.772E-03
6.000E+03   1.928E-02   2.784E-03
8.000E+03   1.934E-02   2.800E-03
1.000E+04   1.938E-02   2.811E-03
1.500E+04   1.943E-02   2.825E-03
2.000E+04   1.946E-02   2.833E-03
3.000E+04   1.949E-02   2.841E-03
4.000E+04   1.950E-02   2.846E-03
5.000E+04   1.951E-02   2.849E-03
6.000E+04   1.952E-02   2.851E-03
8.000E+04   1.953E-02   2.853E-03
1.000E+05   1.954E-02   2.855E-03
